Original Description,Normalized Description,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,CHRG_CLS,Voting Algorithm,Confidence Score,Match_Jaro,Match_DLevenshtein,Match_Logistic,Match_DeepNN,Match_Voted
*ALBUMIN SERUM,albumin serum,Laboratory,0.85,Laboratory,0.88,Laboratory,0.96,Laboratory,0.994311033208,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.921077758302,1,1,1,1,1
007T OBSERVATION,007t observation,Supply,0.73,Supply,0.47,Laboratory,0.76,Room and Board,0.642635753338,Supply,Room and Board,"Jaro, DLevenshtein",0.3,0,0,0,1,0
01621001 - RB 6E STEP DOWN ICU,room_and_board 6e step down intensive_care_unit,Room and Board,0.74,Room and Board,0.88,Room and Board,0.96,Room and Board,0.999867891789,Room and Board,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.894966972947,1,1,1,1,1
11041282 - ALTEPLASE 1MG  INJ,alteplase 1_mg injection,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.952271774144,Pharmacy,0.994556923454,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899207174399,1,1,1,1,1
11065262 - INFUSION  ALBUMIN 25% 50 ML,infusion albumin 25% 50_ml,Diluent / Flush / Irrigant,0.69,Pharmacy,0.43,Pharmacy,0.911521903495,Pharmacy,0.99860643743,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.585032085231,0,1,1,1,1
11475062 - BUDESONIDE 0.5MG PER 2ML NEB,budesonide 0.5_mg per 2_ml nebulizer,Pharmacy,0.71,Pharmacy,0.81,Pharmacy,0.96,Pharmacy,0.945536258681,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.85638406467,1,1,1,1,1
11482222 - BUMETANIDE 0.25MG/ML 10ML,bumetanide 0.25_mg/ml 10_ml,Pharmacy,0.75,Pharmacy,0.88,Pharmacy,0.971997807186,Pharmacy,0.996233425182,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899557808092,1,1,1,1,1
12432212 - BASE FLUID *QS* INJ,base fluid quantity_sufficient injection,Pharmacy,0.66,Pharmacy,0.38,Supply,0.341933471611,Supply,0.98100421861,Supply,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",0.330734422555,0,0,0,0,0
12455600 - VANCOMYCIN 50MG PER 1ML ORAL,vancomycin 50_mg per 1_ml oral,Laboratory,0.77,Pharmacy,0.81,Pharmacy,0.918308744736,Pharmacy,0.999269461104,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.68189455146,0,1,1,1,1
12671082 - GABAPENTIN SOLN 50MG/1ML,gabapentin solution 50_mg/1_ml,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.972300963544,Pharmacy,0.999923584965,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.925556137127,1,1,1,1,1
12858252 - HYDROCODONE/ACETAMIN 5/325 TAB,hydrocodone/acetamin 5/325 tablet,Pharmacy,0.85,Pharmacy,0.81,Pharmacy,0.950775059876,Pharmacy,0.997908734798,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.902170948668,1,1,1,1,1
12882012 - HYDROPHOR OINTMENT 454GM,hydrophor ointment 454_gm,Pharmacy,0.7,Pharmacy,0.41,Pharmacy,0.494208813566,Supply,0.975219349996,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.401052203392,1,1,1,0,1
13250212 - LIDOCAINE 2% TOPICAL JELLY 5ML,lidocaine 2% topical jelly 5_ml,Pharmacy,0.71,Pharmacy,0.81,Pharmacy,0.949045899024,Pharmacy,0.999585291449,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.867157797618,1,1,1,1,1
13510592 - MGSO4 PER 500MG (100ML),13510592_mgso4 per 500_mg 100_ml,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.935296917069,Pharmacy,0.999322490037,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.896154851776,1,1,1,1,1
13754012 - MONTELUKAST SODIUM TABLET 10MG,montelukast sodium tablet 10_mg,Pharmacy,0.74,Pharmacy,0.81,Pharmacy,0.972174060581,Pharmacy,0.998567102183,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.880185290691,1,1,1,1,1
13802212 - MUPIROCIN 2% OINT 22GM,mupirocin 2% ointment 22_gm,Pharmacy,0.68,Pharmacy,0.48,Pharmacy,0.92,Supply,0.63733786466,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.52,1,1,1,0,1
14113252 - ONDANSETRON HCL  PER 1MG  INJ,ondansetron hcl per 1_mg injection,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.962592692139,Pharmacy,0.999160417858,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.902938277499,1,1,1,1,1
14151192 - OXYCODONE HCL TABLET 5MG,oxycodone hcl tablet 5_mg,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.956397182374,Pharmacy,0.999226847064,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.933906007359,1,1,1,1,1
14382121 - PHARMACY TDM COMP CONSULT,pharmacy tdm component consultation,Professional Fee,0.85,Professional Fee,0.93,Laboratory,0.258670534866,Supply,0.226357926687,Professional Fee,Pharmacy,"Jaro, DLevenshtein",0.445,0,0,0,0,0
14668212 - PROPOFOL PER 10MG/ 5ML SYR INJ,propofol per 10_mg/5_ml syringe injection,Pharmacy,0.78,Pharmacy,0.88,Pharmacy,0.965746618945,Pharmacy,0.999732363858,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.906369745701,1,1,1,1,1
14668262 - PROPOFOL PER 10MG/100ML INJ,propofol per 10_mg/100_ml injection,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.950566256969,Pharmacy,0.999881256186,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.920111878289,1,1,1,1,1
14987242 - SODIUM CITRATE SOLN 4% 3ML,sodium citrate solution 4% 3_ml,Monitoring,0.74,Pharmacy,0.47,Pharmacy,0.533782821417,Supply,0.693988698861,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR",0.250945705354,0,1,1,0,1
15601252 - VANOMYCIN NEBS FOR INH,vancomycin nebs for inhaled,Pharmacy,0.71,Pharmacy,0.81,Pharmacy,0.537053474561,Plan Benefit,0.792098546875,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.51426336864,1,1,1,0,1
15610212 - VASOPRESSIN 20U/ML 1ML,vasopressin 20_units/ml 1_ml,Diluent / Flush / Irrigant,0.71,Pharmacy,0.81,Pharmacy,0.953645866742,Pharmacy,0.994742370454,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.689597059299,0,1,1,1,1
20 GA ARTERIAL LINE CATHETER,20 ga arterial line catheter,Supply,0.71,Supply,0.81,Supply,0.92,Supply,0.999465646607,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.859866411652,1,1,1,1,1
25000522-DORNASE ALPHA 1 MG/ML SOLN 2.5 ML PLAS CONT,dornase alpha 1_mg/ml solution 2.5_ml plastic container,Plan Benefit,0.85,Plan Benefit,0.93,Plan Benefit,0.96,Plan Benefit,0.999905820718,Plan Benefit,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.93497645518,1,1,1,1,1
27054009 - FLUORO GDE CVAD ACCESS/REM,fluroscopy gde cvad access/rem,Radiology,0.75,Radiology,0.42,Laboratory,0.545205972083,Procedure,0.277335402666,Radiology,Radiology,"Jaro, DLevenshtein",0.2925,1,1,0,0,1
27102000 - XR CHEST 2 VWS PA LATERAL,x_ray chest 2 vws posterior_anterior lateral,Radiology,0.85,Radiology,0.81,Radiology,0.76,Radiology,0.616594523781,Radiology,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.759148630945,1,1,1,1,1
27670505 - US ABDOMEN LTD OTHER QUAD,27670505_us abdomen ltd other quad,Radiology,0.77,Radiology,0.45,Supply,0.96,Supply,0.995895777988,Supply,Radiology,"Logistic_OvR, DeepNN",0.488973944497,1,1,0,0,0
27677000 - US RETROPERITONEAL COMP,27677000_us retroperitoneal component,Radiology,0.73,Radiology,0.81,Laboratory,0.92,Supply,0.928590504627,Radiology,Radiology,"Jaro, DLevenshtein",0.385,1,1,0,0,1
27907888 - ANGIO PACK,angiography pack,Supply,0.62,Pharmacy,0.32,Supply,0.92,Supply,0.996324439155,Supply,Supply,"Jaro, Logistic_OvR, DeepNN",0.634081109789,1,0,1,1,1
27907923 - PERIPH INS PICC >5 NO PRT/PMP,peripheral insert peripherally_inserted_central_catheter greater_than 5 no_catheter port/pmp,Procedure,0.7,Procedure,0.47,Procedure,0.96,Procedure,0.999989057288,Procedure,Procedure,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.782497264322,1,1,1,1,1
30572000 - VENOUS DUPLEX IMAGE BILAT,venous duplex image bilateral,Radiology,0.75,Radiology,0.47,Radiology,0.76,Radiology,0.97978625783,Radiology,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.739946564458,1,1,1,1,1
36592 BLOOD DRAW-CENTRL/PERI,blood draw central/peri,Nursing Services,0.73,Nursing Services,0.44,Nursing Services,0.96,Nursing Services,0.967183532393,Nursing Services,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.774295883098,1,1,1,1,1
46720000 - RB 6 EAST SEMI-PVT,room_and_board 6 east semi private,Room and Board,0.76,Room and Board,0.81,Room and Board,0.905066790177,Room and Board,0.999992626353,Room and Board,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.868764854133,1,1,1,1,1
53277000 - ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw for analysis,Nursing Services,0.73,Nursing Services,0.41,Nursing Services,0.76,Nursing Services,0.98418192152,Nursing Services,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.72104548038,1,1,1,1,1
58119000 - BIPAP/CPAP SET UP,bipap/continuous_positive_airway_pressure set up,Laboratory,0.72,Respiratory Therapy,0.41,Supply,0.76,Supply,0.998818517113,Supply,Respiratory Therapy,"Logistic_OvR, DeepNN",0.439704629278,0,1,0,0,0
58341000 - RESPIRATORY WEANING MECHANICS,respiratory weaning mechanics,Respiratory Therapy,0.79,Respiratory Therapy,0.81,Respiratory Therapy,0.510073523452,Supply,0.585892797163,Respiratory Therapy,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR",0.527518380863,1,1,1,0,1
58858001 - ADLT VENT SUBSEQ DAYW EPOPROST,adult ventilation subsequent dayw epoprostenol,Diluent / Flush / Irrigant,0.69,Respiratory Therapy,0.44,Respiratory Therapy,0.96,Respiratory Therapy,0.973894458133,Respiratory Therapy,Respiratory Therapy,"DLevenshtein, Logistic_OvR, DeepNN",0.593473614533,0,1,1,1,1
59541000 - PRESSURE TRANSDUCER,pressure transducer,Room and Board,0.69,OR / Anesthesia / Recovery Room,0.38,Supply,0.96,Supply,0.999636255404,Supply,Supply,"Logistic_OvR, DeepNN",0.489909063851,0,0,1,1,1
59757000 - CATH SINGLE LUMEN SC14701,catheter single lumen sc14701,Supply,0.69,Other,0.37,Supply,0.94212456979,Supply,0.999929467875,Supply,Supply,"Jaro, Logistic_OvR, DeepNN",0.658013509416,1,0,1,1,1
5F FEED TUBE,5 feed tube,Pharmacy,0.7,Capital Equipment,0.45,Supply,0.96,Supply,0.999323720046,Supply,Supply,"Logistic_OvR, DeepNN",0.489830930011,0,0,1,1,1
63003201 - BUN URINE,blood_urea_nitrogen urine,Laboratory,0.75,Laboratory,0.81,Laboratory,0.933461659287,Laboratory,0.999240762422,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.873175605427,1,1,1,1,1
63015000 - PH BLOOD,hydrogen_ion_concentration blood,Laboratory,0.77,Laboratory,0.47,Laboratory,0.96,Laboratory,0.984047053444,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.796011763361,1,1,1,1,1
63601000 - EXTRA TUBE STATISTICAL CDM,extra tube statistical cdm,Laboratory,0.7,Laboratory,0.48,Supply,0.96,Supply,0.979896427601,Supply,Laboratory,"Logistic_OvR, DeepNN",0.4849741069,1,1,0,0,0
63719001 - TSH,63719001 thyroid-stimulating_hormone,Laboratory,0.77,Pharmacy,0.44,Laboratory,0.96,Laboratory,0.993596495733,Laboratory,Laboratory,"Jaro, Logistic_OvR, DeepNN",0.680899123933,1,0,1,1,1
63972001 - FERRITIN,63972001 ferritin,Laboratory,0.72,Laboratory,0.81,Laboratory,0.96,Laboratory,0.988051061744,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.869512765436,1,1,1,1,1
64266000 - CULTURE ISOLATE ID ADD METHOD,culture isolate id additional method,Laboratory,0.7,Laboratory,0.42,Laboratory,0.970083168088,Laboratory,0.999964478648,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.772511911684,1,1,1,1,1
64402000 - KOH FOR SKIN  HAIR NAILS,koh for skin hair nails,Laboratory,0.69,Laboratory,0.37,Supply,0.941948604879,Supply,0.999980669934,Supply,Laboratory,"Logistic_OvR, DeepNN",0.485482318703,1,1,0,0,0
64944000 - YEAST ID,yeast id,Laboratory,0.69,Laboratory,0.41,Laboratory,0.92,Laboratory,0.670055861477,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.672513965369,1,1,1,1,1
64966000 - URINE CX W/PRESUMP ID,64966000_urine cervix_or_complaint_of w presumptive id,Laboratory,0.73,Laboratory,0.81,Laboratory,0.76,Respiratory Therapy,0.54837721141,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",0.575,1,1,1,0,1
64982000 - RESPIRATORY VIRAL CULTURE,respiratory viral culture,Laboratory,0.85,Laboratory,0.93,Laboratory,0.902259851088,Laboratory,0.99959288163,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.920463183179,1,1,1,1,1
64999000 - COMP GI PANEL BY PCR,component gastrointestinal panel by pcr,Laboratory,0.69,Laboratory,0.81,Laboratory,0.927349403158,Laboratory,0.995708825477,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.855764557159,1,1,1,1,1
67409000 - CYTOLOGY GMS SCREEN,cytology grams screen,Laboratory,0.77,Laboratory,0.81,Laboratory,0.937594428342,Laboratory,0.983108883355,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.875175827924,1,1,1,1,1
69884001 - AMIKACIN,69884001 amikacin,PT / OT / Speech Therapy,0.69,Laboratory,0.44,Pharmacy,0.96,Pharmacy,0.941750132065,Pharmacy,Pharmacy,"Logistic_OvR, DeepNN",0.475437533016,0,0,1,1,1
69893001 - TROPONIN T,troponin tab,Laboratory,0.76,Laboratory,0.47,Laboratory,0.96,Supply,0.748702390495,Laboratory,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.5475,0,0,0,0,0
70046000 - 046 DRUG SCREEN URINE,46 drug screen urine,Laboratory,0.75,Room and Board,0.46,Laboratory,0.911233649639,Laboratory,0.999262253504,Laboratory,Laboratory,"Jaro, Logistic_OvR, DeepNN",0.665123975786,1,0,1,1,1
70046001 - 046 ALKALOIDS ORGANIC BASES,46 alkaloids organic bases,Laboratory,0.69,Laboratory,0.38,Laboratory,0.92,Laboratory,0.989930477178,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.744982619294,1,1,1,1,1
77000453 - FLUTTER VALVE,flutter valve,Respiratory Therapy,0.68,Respiratory Therapy,0.38,Supply,0.92,Supply,0.993759094487,Supply,Supply,"Logistic_OvR, DeepNN",0.478439773622,0,0,1,1,1
77000498 - SUTURE 4-0 CHROMIC U203H,suture 4 0 chromic u203h,Supply,0.72,Supply,0.81,Supply,0.92,Supply,0.999490098903,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.862372524726,1,1,1,1,1
77019412 - DRESSING WOUND CARE POLYMEM,dressing wound care polymem,Supply,0.74,Supply,0.47,Supply,0.92,Supply,0.998291204056,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.782072801014,1,1,1,1,1
77019768 - SURGIFOAM SPONGE SZ100,surgifoam sponge sz100,Supply,0.65,Supply,0.34,Supply,0.76,Supply,0.994078631906,Supply,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.686019657976,0,0,0,0,0
77020121 - VISE MULTI-TORQUE,vise multiple torque,Supply,0.71,Supply,0.39,Supply,0.96,Supply,0.998468153119,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.76461703828,1,1,1,1,1
77020667 - GUIDEWIRE GLIDE SV 018/180ANG,guidewire glide sv 018/180ang,Supply,0.75,Supply,0.32,Supply,0.950211924391,Supply,0.999938428525,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.755037588229,1,1,1,1,1
77042463 - TRAY FOLEY 16FR 350CC TEMP MTR,tray foley 16fr 350_cc temperature mtr,Supply,0.68,Supply,0.33,Supply,0.911054486404,Supply,0.999767149026,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.730205408857,1,1,1,1,1
