,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Voted Output,Voting Algorithm,Sum Correct,Correct_Logistic_OvR,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
0,370,BOSENTAN 62.5 MG TABLET,bosentan 62.5_mg tablet,Plan Benefit,RETROSPECTIVE,12/07/2016,62.5_mg,bosentan,tablet,,Plan Benefit,0.739394045383,Plan Benefit,Logistic_OvR,1,1,0.739394045383,62.5_mg,bosentan,tablet,
1,5562,ISOPROTERENOL IN NS (DUH EP LAB) 0.4 MG/100 ML SOLN,isoproterenol in normal_saline duh ep laboratory 0.4_mg/100_ml solution,Pharmacy,ONLINE,16/09/2016,laboratory,soln,ns,,Pharmacy,0.71494103306,Pharmacy,Logistic_OvR,1,1,0.71494103306,laboratory,soln,ns,
2,5020,DISP: 0.360 ML; 15 MG/ML; USED NDC QTY: 1.000 PCK OF 473.000 ML BOTTLE RANITIDINE 15 MG/ML SYRUP,dispensed 0.360_ml 15_mg/ml used ndc quantity 1 pack of 473.000_ml bottle ranitidine 15_mg/ml syrup,Pharmacy,ONLINE,16/09/2016,ndc,disposable,bottle,quantity,Pharmacy,0.971077164624,Pharmacy,Logistic_OvR,1,1,0.971077164624,used,ndc,dispensed,bottle
3,2834,86921000 - NO CHARGE OT SCREENING,no charge occupational_therapy screening,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,charge,occupational_therapy,screening,nitric_oxide,PT / OT / Speech Therapy,0.737747681507,PT / OT / Speech Therapy,Logistic_OvR,1,1,0.737747681507,charge,ot,screening,
4,1827,HC GLUCOSE QT BY METER FOR,glucose quantitative by meter for,Monitoring,RETROSPECTIVE,12/07/2016,quantitative,bay,meter,glucose,Monitoring,0.529384052737,Monitoring,Logistic_OvR,1,1,0.529384052737,qt,meter,glucose,
5,5379,HC SELF-CARE GOAL STATUS,self care goal status,PT / OT / Speech Therapy,ONLINE,16/09/2016,status,self,goal,care,PT / OT / Speech Therapy,0.525256490353,PT / OT / Speech Therapy,Logistic_OvR,1,1,0.525256490353,status,self,goal,care
6,6225,FOSPHENYTION 50 MG PE/ML I,fosphenytion 50_mg pe/ml i,Pharmacy,ONLINE,19/09/2016,fosphenytion,ml,50_mg,pe,Pharmacy,0.962726889986,Pharmacy,Logistic_OvR,1,1,0.962726889986,fosphenytion,ml,50_mg,pe
7,3970,HB GENTAMICIN 40MG/ML VIAL,gentamicin 40_mg/ml vial,Pharmacy,RETROSPECTIVE,13/07/2016,vial,40_mg/ml,gentamicin,,Pharmacy,0.965279777635,Pharmacy,Logistic_OvR,1,1,0.965279777635,vial,40_mg/ml,gentamicin,
8,4608,HB - UMBILICAL CATHETERIZATION,umbilical catheterization,Procedure,ONLINE,01/09/2016,umbilical,catheterization,,,Supply,0.65387741438,Supply,Logistic_OvR,1,1,0.65387741438,umbilical,catheterization,,
9,2749,63015000 - PH BLOOD,pH blood,Laboratory,RETROSPECTIVE,13/07/2016,past_history,blood,,,Laboratory,0.877013414544,Laboratory,Logistic_OvR,1,1,0.877013414544,ph,blood,,
10,2775,64944000 - YEAST ID,yeast identification,Laboratory,RETROSPECTIVE,13/07/2016,id,yeast,,,Laboratory,0.946946098993,Laboratory,Logistic_OvR,1,1,0.946946098993,identification,yeast,,
11,3514,14530592 - POTASSIUM CHLORIDE  PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,RETROSPECTIVE,13/07/2016,2_meq,potassium,chloride,per,Pharmacy,0.819759979313,Pharmacy,Logistic_OvR,1,1,0.819759979313,2_meq,potassium,chloride,per
12,1546,TUBE SUCTION YANKAUER,tube suction yankauer,Supply,RETROSPECTIVE,12/07/2016,tube,yankauer,suction,,Supply,0.881540169306,Supply,Logistic_OvR,1,1,0.881540169306,tube,yankauer,suction,
13,1573,ELECTRODE ECG FOAM  INF.,electrode electrocardiogram foam infusion,Supply,RETROSPECTIVE,12/07/2016,inf.,foam,electrode,electrocardiogram,Supply,0.905477824525,Supply,Logistic_OvR,1,1,0.905477824525,foam,electrode,infusion,ecg
14,4437,C REACTIVE PROTEIN SE,c reactive protein serum,Laboratory,ONLINE,29/08/2016,reactive,protein,se,,Laboratory,0.944395717688,Laboratory,Logistic_OvR,1,1,0.944395717688,reactive,c,protein,serum
15,2273,SELF CARE,self care,PT / OT / Speech Therapy,RETROSPECTIVE,12/07/2016,self,care,,,PT / OT / Speech Therapy,0.596621351008,PT / OT / Speech Therapy,Logistic_OvR,1,1,0.596621351008,self,care,,
16,4676,ADH TOP MASTISL 2/3ML VI 0523-,adhesive topical mastisol 2/3_ml vi 0523,Supply,ONLINE,16/09/2016,vi,adhesive,topical,,Supply,0.587291683403,Supply,Logistic_OvR,1,1,0.587291683403,adhesive,topical,,
17,210,NACL 0.9% INJ 10ML,sodium_chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,0.90%,injection,10_ml,NaCl,Diluent / Flush / Irrigant,0.573464700823,Diluent / Flush / Irrigant,Logistic_OvR,1,1,0.573464700823,0.9%,inj,10_ml,nacl
18,3102,PICC LINE PLC WO SO PORT >5 YRS,peripherally_inserted_central_catheter line placement without so port greater_than 5 years,Procedure,RETROSPECTIVE,13/07/2016,greater_than,line,without,portable,Procedure,0.672997154014,Procedure,Logistic_OvR,1,1,0.672997154014,greater_than,line,without,picc
19,4427,ACT LR,Activated_Clotting_Time low_range,Laboratory,ONLINE,29/08/2016,lr,act,,,Laboratory,0.798564390405,Laboratory,Logistic_OvR,1,1,0.798564390405,activated_clotting_time,low_range,,
20,5706,NICOTINE 21 MG/24HR PT24,nicotine 21_mg/24 hour patch_24,Plan Benefit,ONLINE,16/09/2016,21_mg/24hr,pt24,nicotine,,Plan Benefit,0.900203532372,Plan Benefit,Logistic_OvR,1,1,0.900203532372,nicotine,21_mg/24,hour,patch_24
21,6232,H IAAD EIA LAV-1 AG W/LAV-,iaad eia lav 1 ag with lavage,Laboratory,ONLINE,19/09/2016,silver,,,,Pharmacy,0.701720115672,Pharmacy,Logistic_OvR,1,1,0.701720115672,eia,lavage,lav,iaad
22,4678,ADMIN SET IV BLD FLD Y 4C8723,administration set intravenous blood fld y 4c8723,Supply,ONLINE,16/09/2016,set,administration,iv,bld,Supply,0.579031365551,Supply,Logistic_OvR,1,1,0.579031365551,set,administration,iv,bld
23,2723,46130010 - POC BS GLUCOSE 5S,point_of_care blood_sugar glucose,Monitoring,RETROSPECTIVE,13/07/2016,point_of_care,blood_sugar,5s,glucose,Monitoring,0.936824848249,Monitoring,Logistic_OvR,1,1,0.936824848249,poc,bs,glucose,
