,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
0,370,BOSENTAN 62.5 MG TABLET,bosentan 62.5_mg tablet,Plan Benefit,RETROSPECTIVE,12/07/2016,62.5_mg,bosentan,tablet,,Plan Benefit,0.739394045383,Plan Benefit,0.903171148367,Plan Benefit,"Logistic_OvR, DeepNN",2,1,1,0.821282596875,62.5_mg,bosentan,tablet,
1,5562,ISOPROTERENOL IN NS (DUH EP LAB) 0.4 MG/100 ML SOLN,isoproterenol in normal_saline duh ep laboratory 0.4_mg/100_ml solution,Pharmacy,ONLINE,16/09/2016,laboratory,soln,ns,,Pharmacy,0.71494103306,Pharmacy,0.956714296142,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.835827664601,laboratory,soln,ns,
2,5020,DISP: 0.360 ML; 15 MG/ML; USED NDC QTY: 1.000 PCK OF 473.000 ML BOTTLE RANITIDINE 15 MG/ML SYRUP,dispensed 0.360_ml 15_mg/ml used ndc quantity 1 pack of 473.000_ml bottle ranitidine 15_mg/ml syrup,Pharmacy,ONLINE,16/09/2016,ndc,disposable,bottle,quantity,Pharmacy,0.971077164624,Pharmacy,0.999632402858,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.985354783741,used,ndc,dispensed,bottle
3,2834,86921000 - NO CHARGE OT SCREENING,no charge occupational_therapy screening,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,charge,occupational_therapy,screening,nitric_oxide,PT / OT / Speech Therapy,0.737747681507,PT / OT / Speech Therapy,0.983899407062,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,1,1,0.860823544285,charge,ot,screening,
4,1827,HC GLUCOSE QT BY METER FOR,glucose quantitative by meter for,Monitoring,RETROSPECTIVE,12/07/2016,quantitative,bay,meter,glucose,Monitoring,0.529384052737,Laboratory,0.920652859975,Laboratory,DeepNN,1,0,1,0.460326429987,qt,meter,glucose,
5,5379,HC SELF-CARE GOAL STATUS,self care goal status,PT / OT / Speech Therapy,ONLINE,16/09/2016,status,self,goal,care,PT / OT / Speech Therapy,0.525256490353,PT / OT / Speech Therapy,0.977142593564,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,1,1,0.751199541959,status,self,goal,care
6,6225,FOSPHENYTION 50 MG PE/ML I,fosphenytion 50_mg pe/ml i,Pharmacy,ONLINE,19/09/2016,fosphenytion,ml,50_mg,pe,Pharmacy,0.962726889986,Pharmacy,0.999797302833,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.98126209641,fosphenytion,ml,50_mg,pe
7,3970,HB GENTAMICIN 40MG/ML VIAL,gentamicin 40_mg/ml vial,Pharmacy,RETROSPECTIVE,13/07/2016,vial,40_mg/ml,gentamicin,,Pharmacy,0.965279777635,Pharmacy,0.999942586698,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.982611182167,vial,40_mg/ml,gentamicin,
8,4608,HB - UMBILICAL CATHETERIZATION,umbilical catheterization,Procedure,ONLINE,01/09/2016,umbilical,catheterization,,,Supply,0.65387741438,Supply,0.971924453675,Supply,"Logistic_OvR, DeepNN",2,1,1,0.812900934027,umbilical,catheterization,,
9,2749,63015000 - PH BLOOD,pH blood,Laboratory,RETROSPECTIVE,13/07/2016,past_history,blood,,,Laboratory,0.877013414544,Laboratory,0.998952657021,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.937983035783,ph,blood,,
10,2775,64944000 - YEAST ID,yeast identification,Laboratory,RETROSPECTIVE,13/07/2016,id,yeast,,,Laboratory,0.946946098993,Laboratory,0.997930960196,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.972438529594,identification,yeast,,
11,3514,14530592 - POTASSIUM CHLORIDE  PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,RETROSPECTIVE,13/07/2016,2_meq,potassium,chloride,per,Pharmacy,0.819759979313,Pharmacy,0.995509652296,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.907634815805,2_meq,potassium,chloride,per
12,1546,TUBE SUCTION YANKAUER,tube suction yankauer,Supply,RETROSPECTIVE,12/07/2016,tube,yankauer,suction,,Supply,0.881540169306,Supply,0.998436251005,Supply,"Logistic_OvR, DeepNN",2,1,1,0.939988210156,tube,yankauer,suction,
13,1573,ELECTRODE ECG FOAM  INF.,electrode electrocardiogram foam infusion,Supply,RETROSPECTIVE,12/07/2016,inf.,foam,electrode,electrocardiogram,Supply,0.905477824525,Supply,0.949875938571,Supply,"Logistic_OvR, DeepNN",2,1,1,0.927676881548,foam,electrode,infusion,ecg
14,4437,C REACTIVE PROTEIN SE,c reactive protein serum,Laboratory,ONLINE,29/08/2016,reactive,protein,se,,Laboratory,0.944395717688,Laboratory,0.999905742667,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.972150730178,reactive,c,protein,serum
15,2273,SELF CARE,self care,PT / OT / Speech Therapy,RETROSPECTIVE,12/07/2016,self,care,,,PT / OT / Speech Therapy,0.596621351008,PT / OT / Speech Therapy,0.96907269235,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,1,1,0.782847021679,self,care,,
16,4676,ADH TOP MASTISL 2/3ML VI 0523-,adhesive topical mastisol 2/3_ml vi 0523,Supply,ONLINE,16/09/2016,vi,adhesive,topical,,Supply,0.587291683403,Supply,0.853577040606,Supply,"Logistic_OvR, DeepNN",2,1,1,0.720434362005,adhesive,topical,,
17,210,NACL 0.9% INJ 10ML,sodium_chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,0.90%,injection,10_ml,NaCl,Diluent / Flush / Irrigant,0.573464700823,Diluent / Flush / Irrigant,0.850638287127,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",2,1,1,0.712051493975,0.9%,inj,10_ml,nacl
18,3102,PICC LINE PLC WO SO PORT >5 YRS,peripherally_inserted_central_catheter line placement without so port greater_than 5 years,Procedure,RETROSPECTIVE,13/07/2016,greater_than,line,without,portable,Procedure,0.672997154014,Procedure,0.988405194345,Procedure,"Logistic_OvR, DeepNN",2,1,1,0.830701174179,greater_than,line,without,picc
19,4427,ACT LR,Activated_Clotting_Time low_range,Laboratory,ONLINE,29/08/2016,lr,act,,,Laboratory,0.798564390405,Laboratory,0.918269326913,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.858416858659,activated_clotting_time,low_range,,
20,5706,NICOTINE 21 MG/24HR PT24,nicotine 21_mg/24 hour patch_24,Plan Benefit,ONLINE,16/09/2016,21_mg/24hr,pt24,nicotine,,Plan Benefit,0.900203532372,Plan Benefit,0.999888365163,Plan Benefit,"Logistic_OvR, DeepNN",2,1,1,0.950045948768,nicotine,21_mg/24,hour,patch_24
21,6232,H IAAD EIA LAV-1 AG W/LAV-,iaad eia lav 1 ag with lavage,Laboratory,ONLINE,19/09/2016,silver,,,,Pharmacy,0.701720115672,Pharmacy,0.992963676908,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.84734189629,eia,lavage,lav,iaad
22,4678,ADMIN SET IV BLD FLD Y 4C8723,administration set intravenous blood fld y 4c8723,Supply,ONLINE,16/09/2016,set,administration,iv,bld,Supply,0.579031365551,Supply,0.954751132436,Supply,"Logistic_OvR, DeepNN",2,1,1,0.766891248993,set,administration,iv,bld
23,2723,46130010 - POC BS GLUCOSE 5S,point_of_care blood_sugar glucose,Monitoring,RETROSPECTIVE,13/07/2016,point_of_care,blood_sugar,5s,glucose,Monitoring,0.936824848249,Monitoring,0.999221027907,Monitoring,"Logistic_OvR, DeepNN",2,1,1,0.968022938078,poc,bs,glucose,
24,3373,THERA ACTIVITIES 15 MIN,therapeutic activities 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,activities,therapy,min,,PT / OT / Speech Therapy,0.891911255801,PT / OT / Speech Therapy,0.991088817185,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,1,1,0.941500036493,activities,15_minutes,therapeutic,
25,2490,PHENYLEPHRINE 1 000MCG/10ML(PREFILL SYR),phenylephrine 1 000_mcg/10_ml prefill syringe,Pharmacy,RETROSPECTIVE,12/07/2016,syringe, , ,,Pharmacy,0.931115358462,Pharmacy,0.99972054011,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.965417949286,prefill,syringe,phenylephrine,000_mcg/10_ml
26,587,HC-LAB-CHLORIDE SERUM,laboratory chloride serum,Laboratory,RETROSPECTIVE,12/07/2016,laboratory,chloride,serum,,Laboratory,0.94284054073,Laboratory,0.999182381286,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.971011461008,laboratory,chloride,serum,
27,5491,HCHG US RETROPERITIONEAL HCHG US RETROPERITIONEAL,ultrasound retroperitioneal,Radiology,ONLINE,16/09/2016,us,,,,Radiology,0.712994414453,Radiology,0.96996544376,Radiology,"Logistic_OvR, DeepNN",2,1,1,0.841479929106,us,retroperitioneal,,
28,1585,HC 94760 NONINVASIVE EAR/PULSE *,non_invasive ear/pulse,Monitoring,RETROSPECTIVE,12/07/2016,NONINVASIVE,ear,pulse,,Radiology,0.345043313427,Supply,0.81946350521,Supply,DeepNN,1,0,1,0.409731752605,noninvasive,ear,pulse,
29,4107,LIVER FUNCTION PANEL (LFPP,liver function panel lfpp,Laboratory,RETROSPECTIVE,13/07/2016,function,liver,lfpp,panel,Laboratory,0.947987902878,Laboratory,0.999982955137,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.973985429008,function,liver,lfpp,panel
30,5458,HCHG MUCOLYSACCHARIDES HCHG MUCOLYSACCHARIDES,mucolysaccharides,Laboratory,ONLINE,16/09/2016,hchg,mucolysaccharides,,,Laboratory,0.163160097645,Laboratory,0.39728729216,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.280223694902,mucolysaccharides,,,
31,5751,OSTOMY POUCH 22771 2 1/2 DISP,ostomy pouch 22771 2 1/2 disposable,Supply,ONLINE,16/09/2016,ostomy,pouch,02/Jan,disp,Supply,0.942490614358,Supply,0.999920217639,Supply,"Logistic_OvR, DeepNN",2,1,1,0.971205415999,ostomy,pouch,1/2,disp
32,4028,HB ZOFRAN 4MG/2ML IV SOLN,zofran 4_mg/2_ml intravenous solution,Pharmacy,RETROSPECTIVE,13/07/2016,zofran,soln,4_mg/2_ml,iv,Pharmacy,0.94358433069,Pharmacy,0.999783515345,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.971683923017,zofran,soln,4_mg/2_ml,iv
33,4697,ALVIMOPAN 12 MG CAP,alvimopan 12_mg capsule,Pharmacy,ONLINE,16/09/2016,12_mg,capsule,alvimopan,,Pharmacy,0.941168459679,Pharmacy,0.999904747609,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.970536603644,12_mg,capsule,alvimopan,
34,1317,CSR-UNDERPAD ULTRASORBS 5PK; UNDERPAD ULTRASORBS 5PK,csr underpad ultrasorbs 5pk underpad ultrasorbs 5pk,Supply,RETROSPECTIVE,12/07/2016,ultrasorbs,underpad,5pk,,Laboratory,0.850295475097,Laboratory,0.949234636317,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.899765055707,ultrasorbs,5pk,underpad,csr
35,1694,HC-LAB-GLUCOSE BLOOD,laboratory glucose blood,Laboratory,RETROSPECTIVE,12/07/2016,laboratory,blood,glucose,,Laboratory,0.633322378163,Laboratory,0.991849122893,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.812585750528,laboratory,blood,glucose,
36,957,HB COPPER 100 MCG/ML DILUTION IN SW FOR TPN,copper 100 mcg/ml dilution in sw for total_parenteral_nutrition,Pharmacy,RETROSPECTIVE,12/07/2016,TPN,dilution,sw,,Pharmacy,0.971630677909,Pharmacy,0.999937215651,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.98578394678,mcg,ml,tpn,
37,2714,27677000 - US RETROPERITONEAL COMP,ultrasound retroperitoneal comprehensive,Radiology,RETROSPECTIVE,13/07/2016,compressors,retroperitoneal,27677000_us,,Radiology,0.787526556775,Radiology,0.997888557755,Radiology,"Logistic_OvR, DeepNN",2,1,1,0.892707557265,us,retroperitoneal,comprehensive,
38,879,PULSE OXIMETRY/DAILY,pulse oximetry/daily,Monitoring,RETROSPECTIVE,12/07/2016,oximetry,daily,pulse,,Monitoring,0.907774497888,Monitoring,0.999935018134,Monitoring,"Logistic_OvR, DeepNN",2,1,1,0.953854758011,oximetry,daily,pulse,
39,4332,VENTILATOR MANAGEMENT,ventilator management,Respiratory Therapy,RETROSPECTIVE,13/07/2016,ventilator,management,,,Respiratory Therapy,0.658941028334,Respiratory Therapy,0.953956932004,Respiratory Therapy,"Logistic_OvR, DeepNN",2,1,1,0.806448980169,ventilator,management,,
40,1296,BLOOD ADMINISTRATION SET,blood administration set,Supply,RETROSPECTIVE,12/07/2016,set,administration,blood,,Supply,0.50279636554,Supply,0.907023079999,Supply,"Logistic_OvR, DeepNN",2,1,1,0.70490972277,set,administration,blood,
41,1486,SET PRIMARY PUMP CLAVE,set primary pump clave,Supply,RETROSPECTIVE,12/07/2016,pump,set,clave,primary,Supply,0.840149104338,Supply,0.995852166484,Supply,"Logistic_OvR, DeepNN",2,1,1,0.918000635411,pump,set,clave,primary
42,5041,DISP: 50.000 ML; 5 %; USED NDC QTY: 1.000 PCK OF 50.000 ML VIAL ALBUMIN HUMAN 5 % IV SOLUTION ANE ALBUMIN 5 % BOLUS (50 ML),dispensed 50.000_ml 5% used ndc quantity 1 pack of 50.000_ml vial albumin human 5% intravenous solution ane albumin 5% bolus 50_ml,Pharmacy,ONLINE,16/09/2016,quantity,vial,ndc,disposable,Pharmacy,0.961929084637,Pharmacy,0.99976403611,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.980846560374,used,vial,albumin,ndc
43,5309,HC HEPATITIS C VIRUS GENOTYPE,hepatitis c virus genotype,Laboratory,ONLINE,16/09/2016,c,virus,hepatitis,genotype,Laboratory,0.795854729193,Laboratory,0.773819211736,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.784836970464,c,virus,hepatitis,genotype
