,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_DLevenshtein,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
0,447,NITRIC OXIDE GAS-EACH HOUR,nitric oxide gas each hour,Plan Benefit,RETROSPECTIVE,12/07/2016,oxide,gas,hour,nitric,Plan Benefit,0.94,Plan Benefit,0.96,Plan Benefit,0.914353946576,Plan Benefit,0.999995017099,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.953587240919,oxide,gas,hour,nitric
1,3912,GAIT TRAINING 5 MIN,gait training 5 minutes,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,training,minutes,gait,,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.92,PT / OT / Speech Therapy,0.997756424469,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.959439106117,training,min,gait,
2,3742,ALBUMIN 5% 250ML 12.5GM IN,albumin 5% 250_ml 12.5_gm individual,Pharmacy,RETROSPECTIVE,13/07/2016,250_ml,albumin,individual,,Pharmacy,0.97,Pharmacy,0.96,Pharmacy,0.92,Pharmacy,0.942759963047,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.948189990762,250_ml,albumin,individual,
3,2834,86921000 - NO CHARGE OT SCREENING,no charge occupational_therapy screening,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,charge,occupational_therapy,screening,nitric_oxide,OR / Anesthesia / Recovery Room,0.7,PT / OT / Speech Therapy,0.38,PT / OT / Speech Therapy,0.92,PT / OT / Speech Therapy,0.977921789427,PT / OT / Speech Therapy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.569480447357,charge,ot,screening,
4,6063,TRACH CARE KIT,tracheostomy care kit,Supply,ONLINE,16/09/2016,trach,kit,care,,Respiratory Therapy,0.85,Respiratory Therapy,0.65,Supply,0.96,Supply,0.977066174791,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.484266543698,trach,kit,care,
5,955,GRANISETRON HCL 100MCG INJ,granisetron hcl 100mcg injection,Pharmacy,RETROSPECTIVE,12/07/2016,granisetron,100mcg,injection,hcl,Pharmacy,0.78,Pharmacy,0.93,Pharmacy,0.969992317162,Pharmacy,0.999829368812,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.919955421493,granisetron,100mcg,inj,hcl
6,5737,OR LEVEL 4 FIRST 30 MINUTE,operating_room level 4 first 30 minute,OR / Anesthesia / Recovery Room,ONLINE,16/09/2016,level,minute,first,or,OR / Anesthesia / Recovery Room,0.98,OR / Anesthesia / Recovery Room,0.95,OR / Anesthesia / Recovery Room,0.96,OR / Anesthesia / Recovery Room,0.98690858809,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.969227147022,level,minute,first,operating_room
7,6037,TB ET CUF INMD HI LO 7.5MM 864,tube et cuff inmd hi lo 7.5mm 864,Supply,ONLINE,16/09/2016,tb,cuff,,,Supply,0.87,Supply,0.93,Supply,0.93211153044,Supply,0.999569915045,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.932920361371,tb,hi,cuff,
8,4739,BACITRACIN 50 000 UNIT SOLR 1 EACH VIAL,bacitracin 50 000_units solution 1 each vial,Pharmacy,ONLINE,16/09/2016,vial,bacitracin,000_units,solution,Pharmacy,0.85,Pharmacy,0.69,Pharmacy,0.974693353321,Pharmacy,0.999915700876,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.878652263549,vial,bacitracin,000_units,solution
9,4446,CBC NO DIFFERENTIAL,complete_blood_count no differential,Laboratory,ONLINE,29/08/2016,cbc,differential,no,,Laboratory,0.84,Laboratory,0.96,Laboratory,0.947312821511,Laboratory,0.999999518351,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.936828084965,cbc,differential,,
