,,,,Voting 1 2 3 4,,,,,,,
Row Labels,Count of Match_Voted2,Sum of Match_Voted,,Confidence Buckets,Total,Accurate,Misclassified,Cum. Total,Cum. Total %,Cum. Accurate,Cum. Accuracy
0.9-1,479,476,,0.9-1,479,476,3,479,36.02%,476,99%
0.8-0.9,288,283,,0.8-0.9,288,283,5,767,57.67%,759,99%
0.7-0.8,144,138,,0.7-0.8,144,138,6,911,68.50%,897,98%
0.6-0.7,85,81,,0.6-0.7,85,81,4,996,74.89%,978,98%
0.5-0.6,76,62,,0.5-0.6,76,62,14,1072,80.60%,1040,97%
0.4-0.5,150,111,,0.4-0.5,150,111,39,1222,91.88%,1151,94%
0.3-0.4,59,31,,0.3-0.4,59,31,28,1281,96.32%,1182,92%
0.2-0.3,39,14,,0.2-0.3,39,14,25,1320,99.25%,1196,91%
0.1-0.2,10,1,,0.1-0.2,10,1,9,1330,100.00%,1197,90%
Grand Total,1330,1197,,Grand Total,1330,1197,133,,,,
,,,,Accuracy,,90.00%,,,,,
