,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Voted Output,Sum Correct,Correct_Logistic_OvR,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
0,5074,03600007 - RB 4 WEST ICU SURG,room_and_board 4 west intensive_care_unit surgical,Room and Board,RETROSPECTIVE,2016-07-13,west,surgical,intensive_care_unit,room_and_board,Room and Board,0.787382814069,Room and Board,1,1,0.787382814069,west,surg,icu,rb
1,1854,AMINO ACIDS PLASMA,amino acids plasma,Laboratory,ONLINE,2016-09-16,acids,plasma,amino,,Laboratory,0.743150367788,Laboratory,1,1,0.743150367788,acids,plasma,amino,
2,517,HC CATEGORY 2 INITIAL 15 MIN,category 2 initial 15_minutes,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,category,initial,min,,OR / Anesthesia / Recovery Room,0.438750826138,OR / Anesthesia / Recovery Room,1,1,0.438750826138,category,initial,15_minutes,
3,706,HCHG CULTURE URINE HCHG CULTURE URINE,culture urine culture urine,Laboratory,ONLINE,2016-09-16,culture,urine,,,Laboratory,0.950027392227,Laboratory,1,1,0.950027392227,culture,urine,,
4,2777,AEROGEN NEB TX INITIAL W/O,aerogen nebulizer treatment initial without,Respiratory Therapy,RETROSPECTIVE,2016-07-12,aerogen,initial,without,nebulizer,Respiratory Therapy,0.758912164211,Respiratory Therapy,1,1,0.758912164211,without,initial,neb,tx
5,861,LEAD PACE NOVUS CAPSUREFIX 5076 52CM,lead pace novus capsurefix 5076 52cm,Implant,ONLINE,2016-09-16,lead,,,,Cardiology,0.459988968366,Cardiology,1,1,0.459988968366,lead,,,
6,6408,HEP B VAC/DPAT/POLIO INJ 0.5ML HEP B VACCINE/DP A T POLIO 0.5 ML V,hepatitis b vaccine/dtap/polio injection 0.5 ml hepatitis b vaccine/dtap polio 0.5 ml v,Pharmacy,ONLINE,2016-10-06,vaccine,,,,Pharmacy,0.915460221922,Pharmacy,1,1,0.915460221922,ml,inj,vaccine,hepatitis
7,5167,13735212 - MIDAZOLAM PER 1MG INJ,midazolam per 1_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,1_mg,injection,midazolam,per,Pharmacy,0.932954639048,Pharmacy,1,1,0.932954639048,1_mg,inj,midazolam,per
8,3428,NESIRITIDE 1.5 MG INJ,nesiritide 1.5_mg injection,Pharmacy,RETROSPECTIVE,2016-07-12,inj,1.5_mg,nesiritide,,Pharmacy,0.866021745826,Pharmacy,1,1,0.866021745826,inj,1.5_mg,nesiritide,
9,649,HC SMEAR GRAM STAIN,smear gram stain,Laboratory,ONLINE,2016-09-16,smear,stain,gram,,Laboratory,0.867508706487,Laboratory,1,1,0.867508706487,smear,stain,gram,
10,6206,DOCUSATE 50 MG/5 ML LIQD 2 ML SYRINGE,docusate 50_mg/5_ml liquid 2_ml syringe,Pharmacy,ONLINE,2016-09-16,syringe,2_ml,liqd,docusate,Pharmacy,0.968306016125,Pharmacy,1,1,0.968306016125,syringe,2_ml,liqd,docusate
11,92,DEX 5%/WATER 100ML,dextrose 5%/water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,100_ml,dextrose,5%/water,,Diluent / Flush / Irrigant,0.880121553548,Diluent / Flush / Irrigant,1,1,0.880121553548,100_ml,dex,5%/water,
