,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Sum Correct,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
0,5074,03600007 - RB 4 WEST ICU SURG,room_and_board 4 west intensive_care_unit surgical,Room and Board,RETROSPECTIVE,2016-07-13,west,surgical,intensive_care_unit,room_and_board,Room and Board,0.787382814069,Room and Board,0.999799973233,Room and Board,2,1,1,0.893591393651,west,surg,icu,rb
1,1854,AMINO ACIDS PLASMA,amino acids plasma,Laboratory,ONLINE,2016-09-16,acids,plasma,amino,,Laboratory,0.743150367788,Laboratory,0.98621615504,Laboratory,2,1,1,0.864683261414,acids,plasma,amino,
2,517,HC CATEGORY 2 INITIAL 15 MIN,category 2 initial 15_minutes,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,category,initial,min,,OR / Anesthesia / Recovery Room,0.438750826138,OR / Anesthesia / Recovery Room,0.464764259399,OR / Anesthesia / Recovery Room,2,1,1,0.451757542768,category,initial,15_minutes,
3,706,HCHG CULTURE URINE HCHG CULTURE URINE,culture urine culture urine,Laboratory,ONLINE,2016-09-16,culture,urine,,,Laboratory,0.950027392227,Laboratory,0.998008639826,Laboratory,2,1,1,0.974018016027,culture,urine,,
4,2777,AEROGEN NEB TX INITIAL W/O,aerogen nebulizer treatment initial without,Respiratory Therapy,RETROSPECTIVE,2016-07-12,aerogen,initial,without,nebulizer,Respiratory Therapy,0.758912164211,Respiratory Therapy,0.970670198192,Respiratory Therapy,2,1,1,0.864791181201,without,initial,neb,tx
5,861,LEAD PACE NOVUS CAPSUREFIX 5076 52CM,lead pace novus capsurefix 5076 52cm,Implant,ONLINE,2016-09-16,lead,,,,Cardiology,0.459988968366,Cardiology,0.978841664039,Cardiology,2,1,1,0.719415316203,lead,,,
6,6408,HEP B VAC/DPAT/POLIO INJ 0.5ML HEP B VACCINE/DP A T POLIO 0.5 ML V,hepatitis b vaccine/dtap/polio injection 0.5 ml hepatitis b vaccine/dtap polio 0.5 ml v,Pharmacy,ONLINE,2016-10-06,vaccine,,,,Pharmacy,0.915460221922,Pharmacy,0.934074423519,Pharmacy,2,1,1,0.92476732272,ml,inj,vaccine,hepatitis
7,5167,13735212 - MIDAZOLAM PER 1MG INJ,midazolam per 1_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,1_mg,injection,midazolam,per,Pharmacy,0.932954639048,Pharmacy,0.997584921396,Pharmacy,2,1,1,0.965269780222,1_mg,inj,midazolam,per
8,3428,NESIRITIDE 1.5 MG INJ,nesiritide 1.5_mg injection,Pharmacy,RETROSPECTIVE,2016-07-12,inj,1.5_mg,nesiritide,,Pharmacy,0.866021745826,Pharmacy,0.993972106462,Pharmacy,2,1,1,0.929996926144,inj,1.5_mg,nesiritide,
9,649,HC SMEAR GRAM STAIN,smear gram stain,Laboratory,ONLINE,2016-09-16,smear,stain,gram,,Laboratory,0.867508706487,Laboratory,0.991399788336,Laboratory,2,1,1,0.929454247412,smear,stain,gram,
10,6206,DOCUSATE 50 MG/5 ML LIQD 2 ML SYRINGE,docusate 50_mg/5_ml liquid 2_ml syringe,Pharmacy,ONLINE,2016-09-16,syringe,2_ml,liqd,docusate,Pharmacy,0.968306016125,Pharmacy,0.999988699508,Pharmacy,2,1,1,0.984147357816,syringe,2_ml,liqd,docusate
11,92,DEX 5%/WATER 100ML,dextrose 5%/water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,100_ml,dextrose,5%/water,,Diluent / Flush / Irrigant,0.880121553548,Diluent / Flush / Irrigant,0.989412110317,Diluent / Flush / Irrigant,2,1,1,0.934766831932,100_ml,dex,5%/water,
12,2826,HC OXYGEN PER HOUR,oxygen per hour,Respiratory Therapy,RETROSPECTIVE,2016-07-12,per,oxygen,hour,,Respiratory Therapy,0.790173258742,Respiratory Therapy,0.994525878305,Respiratory Therapy,2,1,1,0.892349568524,per,oxygen,hour,
13,5376,86614002 - OTHER PT/OT THERAPY FUNC LIMIT,other physical_therapy/occupational_therapy therapy func limit,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,therapy,occupational_therapy,physical_therapy,,PT / OT / Speech Therapy,0.84807791334,PT / OT / Speech Therapy,0.995477119183,PT / OT / Speech Therapy,2,1,1,0.921777516261,therapy,occupational_therapy,physical_therapy,
