,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_SVM,Prob_SVM,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Sum Correct,Correct_Jaro,Correct_SVM,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
0,5074,03600007 - RB 4 WEST ICU SURG,room_and_board 4 west intensive_care_unit surgical,Room and Board,RETROSPECTIVE,2016-07-13,west,surgical,intensive_care_unit,room_and_board,Room and Board,0.74,Room and Board,0.922542267367,Room and Board,0.787382814069,Room and Board,0.999799973233,Room and Board,4,1,1,1,1,0.862431263667,west,surg,icu,rb
1,1854,AMINO ACIDS PLASMA,amino acids plasma,Laboratory,ONLINE,2016-09-16,acids,plasma,amino,,Pharmacy,0.78,Laboratory,0.800869321614,Laboratory,0.743150367788,Laboratory,0.98621615504,Laboratory,3,0,1,1,1,0.632558961111,acids,plasma,amino,
2,517,HC CATEGORY 2 INITIAL 15 MIN,category 2 initial 15_minutes,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,category,initial,min,,OR / Anesthesia / Recovery Room,0.97,OR / Anesthesia / Recovery Room,0.722100800791,OR / Anesthesia / Recovery Room,0.438750826138,OR / Anesthesia / Recovery Room,0.464764259399,OR / Anesthesia / Recovery Room,4,1,1,1,1,0.648903971582,category,initial,15_minutes,
3,706,HCHG CULTURE URINE HCHG CULTURE URINE,culture urine culture urine,Laboratory,ONLINE,2016-09-16,culture,urine,,,OR / Anesthesia / Recovery Room,0.83,Laboratory,0.972326906143,Laboratory,0.950027392227,Laboratory,0.998008639826,Laboratory,3,0,1,1,1,0.730090734549,culture,urine,,
4,2777,AEROGEN NEB TX INITIAL W/O,aerogen nebulizer treatment initial without,Respiratory Therapy,RETROSPECTIVE,2016-07-12,aerogen,initial,without,nebulizer,OR / Anesthesia / Recovery Room,0.69,Respiratory Therapy,0.859405126186,Respiratory Therapy,0.758912164211,Respiratory Therapy,0.970670198192,Respiratory Therapy,3,0,1,1,1,0.647246872147,without,initial,neb,tx
5,861,LEAD PACE NOVUS CAPSUREFIX 5076 52CM,lead pace novus capsurefix 5076 52cm,Implant,ONLINE,2016-09-16,lead,,,,Supply,0.7,Cardiology,0.683481196478,Cardiology,0.459988968366,Cardiology,0.978841664039,Cardiology,3,0,1,1,1,0.530577957221,lead,,,
6,6408,HEP B VAC/DPAT/POLIO INJ 0.5ML HEP B VACCINE/DP A T POLIO 0.5 ML V,hepatitis b vaccine/dtap/polio injection 0.5 ml hepatitis b vaccine/dtap polio 0.5 ml v,Pharmacy,ONLINE,2016-10-06,vaccine,,,,Laboratory,0.69,Pharmacy,0.982344563509,Pharmacy,0.915460221922,Pharmacy,0.934074423519,Pharmacy,3,0,1,1,1,0.707969802237,ml,inj,vaccine,hepatitis
7,5167,13735212 - MIDAZOLAM PER 1MG INJ,midazolam per 1_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,1_mg,injection,midazolam,per,Pharmacy,0.87,Pharmacy,0.987588151735,Pharmacy,0.932954639048,Pharmacy,0.997584921396,Pharmacy,4,1,1,1,1,0.947031928044,1_mg,inj,midazolam,per
8,3428,NESIRITIDE 1.5 MG INJ,nesiritide 1.5_mg injection,Pharmacy,RETROSPECTIVE,2016-07-12,inj,1.5_mg,nesiritide,,Plan Benefit,0.79,Pharmacy,0.95883571993,Pharmacy,0.866021745826,Pharmacy,0.993972106462,Pharmacy,3,0,1,1,1,0.704707393054,inj,1.5_mg,nesiritide,
9,649,HC SMEAR GRAM STAIN,smear gram stain,Laboratory,ONLINE,2016-09-16,smear,stain,gram,,Laboratory,0.96,Laboratory,0.856996761172,Laboratory,0.867508706487,Laboratory,0.991399788336,Laboratory,4,1,1,1,1,0.918976313999,smear,stain,gram,
