,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
0,447,NITRIC OXIDE GAS-EACH HOUR,nitric oxide gas each hour,Plan Benefit,RETROSPECTIVE,12/07/2016,oxide,gas,hour,nitric,Plan Benefit,0.94,Plan Benefit,0.914332018579,Plan Benefit,0.999999487716,Plan Benefit,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.951443835432,oxide,gas,hour,nitric
1,3912,GAIT TRAINING 5 MIN,gait training 5 minutes,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,training,minutes,gait,,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.710884709958,PT / OT / Speech Therapy,0.965899793709,PT / OT / Speech Therapy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.878928167889,training,min,gait,
2,3742,ALBUMIN 5% 250ML 12.5GM IN,albumin 5% 250_ml 12.5_gm individual,Pharmacy,RETROSPECTIVE,13/07/2016,250_ml,albumin,individual,,Pharmacy,0.97,Pharmacy,0.764115260631,Pharmacy,0.997994538851,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.910703266494,250_ml,albumin,individual,
3,2834,86921000 - NO CHARGE OT SCREENING,no charge occupational_therapy screening,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,charge,occupational_therapy,screening,nitric_oxide,OR / Anesthesia / Recovery Room,0.7,PT / OT / Speech Therapy,0.75235927165,PT / OT / Speech Therapy,0.935681120726,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,0,1,1,0.562680130792,charge,ot,screening,
4,6063,TRACH CARE KIT,tracheostomy care kit,Supply,ONLINE,16/09/2016,trach,kit,care,,Respiratory Therapy,0.85,Supply,0.863393683699,Supply,0.998055140745,Supply,"Logistic_OvR, DeepNN",2,0,1,1,0.620482941481,trach,kit,care,
5,955,GRANISETRON HCL 100MCG INJ,granisetron hcl 100mcg injection,Pharmacy,RETROSPECTIVE,12/07/2016,granisetron,100mcg,injection,hcl,Pharmacy,0.78,Pharmacy,0.969503003359,Pharmacy,0.999985226201,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.91649607652,granisetron,100mcg,inj,hcl
6,5737,OR LEVEL 4 FIRST 30 MINUTE,operating_room level 4 first 30 minute,OR / Anesthesia / Recovery Room,ONLINE,16/09/2016,level,minute,first,or,OR / Anesthesia / Recovery Room,0.98,OR / Anesthesia / Recovery Room,0.825400915771,OR / Anesthesia / Recovery Room,0.999910500153,OR / Anesthesia / Recovery Room,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.935103805308,level,minute,first,operating_room
7,6037,TB ET CUF INMD HI LO 7.5MM 864,tube et cuff inmd hi lo 7.5mm 864,Supply,ONLINE,16/09/2016,tb,cuff,,,Supply,0.87,Supply,0.932060765442,Supply,0.999173526547,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.933744763996,tb,hi,cuff,
8,4739,BACITRACIN 50 000 UNIT SOLR 1 EACH VIAL,bacitracin 50 000_units solution 1 each vial,Pharmacy,ONLINE,16/09/2016,vial,bacitracin,000_units,solution,Pharmacy,0.85,Pharmacy,0.974598113954,Pharmacy,0.999993978461,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.941530697472,vial,bacitracin,000_units,solution
9,4446,CBC NO DIFFERENTIAL,complete_blood_count no differential,Laboratory,ONLINE,29/08/2016,cbc,differential,no,,Laboratory,0.84,Laboratory,0.947309019527,Laboratory,0.999978187582,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.929095735703,cbc,differential,,
10,6051,THROMBOPLASTIN TM PRTL PLSM/WHL BLD,thromboplastin time partial plasma/whole blood,Laboratory,ONLINE,16/09/2016,whole,bld,thromboplastin,,Laboratory,0.91,Laboratory,0.825220367688,Laboratory,0.994582497149,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.909934288279,partial,thromboplastin,whole,bld
11,3514,14530592 - POTASSIUM CHLORIDE  PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,RETROSPECTIVE,13/07/2016,2_meq,potassium,chloride,per,Pharmacy,0.98,Pharmacy,0.827625752807,Pharmacy,0.998106717717,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.935244156841,2_meq,potassium,chloride,per
12,4314,URSODIOL 60 MG/ML PO SUSP,ursodiol 60_mg/ml by_mouth suspension,Pharmacy,RETROSPECTIVE,13/07/2016,by_mouth,ursodiol,60_mg/ml,suspension,Pharmacy,0.93,Pharmacy,0.90867974456,Pharmacy,0.989221756801,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.942633833787,po,ursodiol,60_mg/ml,susp
13,2254,MULTIVITAMIN WITH MINERALS,multivitamin with minerals,Pharmacy,RETROSPECTIVE,12/07/2016,minerals,multivitamin,,,Pharmacy,0.82,Pharmacy,0.560882524547,Laboratory,0.547953899988,Pharmacy,"Jaro, Logistic_OvR",2,1,1,0,0.460294174849,minerals,multivitamin,,
14,3975,HB GRAM STAIN,gram stain,Laboratory,RETROSPECTIVE,13/07/2016,stain,gram,,,Laboratory,0.94,Laboratory,0.833449077964,Laboratory,0.992180467027,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.921876514997,stain,gram,,
15,4267,SORE THROAT SPRAY 180 ML B,sore throat spray 180_ml b,Supply,RETROSPECTIVE,13/07/2016,throat,sore,spray,b,Supply,0.7,Supply,0.734439483324,Supply,0.96314211855,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.799193867292,spray,,,
16,4860,CEFTAZIDIME 200 MG/ML SOLR,ceftazidime 200_mg/ml solution,Pharmacy,ONLINE,16/09/2016,200_mg/ml,ceftazidime,solution,,Pharmacy,0.91,Pharmacy,0.96083149736,Pharmacy,0.999924590755,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.956918696038,200_mg/ml,ceftazidime,solution,
