,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
0,447,NITRIC OXIDE GAS-EACH HOUR,nitric oxide gas each hour,Plan Benefit,RETROSPECTIVE,12/07/2016,oxide,gas,hour,nitric,Plan Benefit,0.94,Plan Benefit,0.914408106064,Plan Benefit,0.99999958506,Plan Benefit,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.951469230375,oxide,gas,hour,nitric
1,3912,GAIT TRAINING 5 MIN,gait training 5 minutes,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,training,minutes,gait,,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.710674343811,PT / OT / Speech Therapy,0.991700648219,PT / OT / Speech Therapy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.887458330677,training,min,gait,
2,3742,ALBUMIN 5% 250ML 12.5GM IN,albumin 5% 250_ml 12.5_gm individual,Pharmacy,RETROSPECTIVE,13/07/2016,250_ml,albumin,individual,,Pharmacy,0.97,Pharmacy,0.764539360555,Pharmacy,0.829471977228,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.854670445928,250_ml,albumin,individual,
3,2834,86921000 - NO CHARGE OT SCREENING,no charge occupational_therapy screening,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,charge,occupational_therapy,screening,nitric_oxide,OR / Anesthesia / Recovery Room,0.7,PT / OT / Speech Therapy,0.752474445695,PT / OT / Speech Therapy,0.978298753303,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,0,1,1,0.576924399666,charge,ot,screening,
4,6063,TRACH CARE KIT,tracheostomy care kit,Supply,ONLINE,16/09/2016,trach,kit,care,,Respiratory Therapy,0.85,Supply,0.863256449469,Supply,0.99989102995,Supply,"Logistic_OvR, DeepNN",2,0,1,1,0.621049159807,trach,kit,care,
5,955,GRANISETRON HCL 100MCG INJ,granisetron hcl 100mcg injection,Pharmacy,RETROSPECTIVE,12/07/2016,granisetron,100mcg,injection,hcl,Pharmacy,0.78,Pharmacy,0.970162163622,Pharmacy,0.998570411214,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.916244191612,granisetron,100mcg,inj,hcl
6,5737,OR LEVEL 4 FIRST 30 MINUTE,operating_room level 4 first 30 minute,OR / Anesthesia / Recovery Room,ONLINE,16/09/2016,level,minute,first,or,OR / Anesthesia / Recovery Room,0.98,OR / Anesthesia / Recovery Room,0.825283746364,OR / Anesthesia / Recovery Room,0.999377822774,OR / Anesthesia / Recovery Room,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.934887189713,level,minute,first,operating_room
7,6037,TB ET CUF INMD HI LO 7.5MM 864,tube et cuff inmd hi lo 7.5mm 864,Supply,ONLINE,16/09/2016,tb,cuff,,,Supply,0.87,Supply,0.932024500202,Supply,0.999865006078,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.93396316876,tb,hi,cuff,
8,4739,BACITRACIN 50 000 UNIT SOLR 1 EACH VIAL,bacitracin 50 000_units solution 1 each vial,Pharmacy,ONLINE,16/09/2016,vial,bacitracin,000_units,solution,Pharmacy,0.85,Pharmacy,0.974660584738,Pharmacy,0.999271287794,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.941310624177,vial,bacitracin,000_units,solution
9,4446,CBC NO DIFFERENTIAL,complete_blood_count no differential,Laboratory,ONLINE,29/08/2016,cbc,differential,no,,Laboratory,0.84,Laboratory,0.94732059667,Laboratory,0.999999033578,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.929106543416,cbc,differential,,
