Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
ALARIS 8100 LVP MOD,alaris 8100 lvp module,Capital Equipment,RETROSPECTIVE,alaris,lvp,module,
ALARIS PCU PUMP,alaris pump_control_unit pump,Capital Equipment,RETROSPECTIVE,PCU,pump,alaris,
ALARIS PUMP I,alaris pump i,Capital Equipment,RETROSPECTIVE,pump,alaris,,
ALARIS PUMP IV,alaris pump intravenous,Capital Equipment,RETROSPECTIVE,pump,alaris,intravenous,
ALARIS PUMP IV ARM,alaris pump intravenous arm,Capital Equipment,RETROSPECTIVE,pump,alaris,intravenous,arm
BED BARIATRIC,bed bariatric,Capital Equipment,RETROSPECTIVE,bariatric,bed,,
BED BARIMAX RNTL,bed barimax rental,Capital Equipment,RETROSPECTIVE,barimax,rental,bed,
BED DOLPHIN MATTRESS KCI RNTL,bed dolphin mattress kinetic_concept_inc rental,Capital Equipment,RETROSPECTIVE,rental,bed,mattress,
BED LOW AIR LOSS,bed low air loss,Capital Equipment,RETROSPECTIVE,loss,low,bed,air
DUAL INF PUMP-SIGNATURE GOLD,dual infusion pump signature gold,Capital Equipment,RETROSPECTIVE,pump,infusion,dual,signature
DUAL LINE PUMP,dual line pump,Capital Equipment,RETROSPECTIVE,line,pump,dual,
ENT FEED PUMP,enternal feed pump,Capital Equipment,RETROSPECTIVE,feed,pump,enternal,
ENTERAL FEEDING PUMP,enteral feeding pump,Capital Equipment,RETROSPECTIVE,pump,feeding,enteral,
EQ BILILITE,equipment bililite,Capital Equipment,RETROSPECTIVE,equipment,bililite,,
EQ MATTRESS LOW AIR LOSS EN,equipment mattress low air loss envision,Capital Equipment,RETROSPECTIVE,equipment,air,loss,low
EQ PUMP  KANGROO FEEDING,equipment pump kangaroo feeding,Capital Equipment,RETROSPECTIVE,equipment,pump,feeding,kangaroo
EQ PUMP  PCU ALARIS(BRAIN),equipment pump pump_control_unit alaris brain,Capital Equipment,RETROSPECTIVE,equipment,pump,PCU,alaris
EQ PUMP  SYRINGE,equipment pump syringe,Capital Equipment,RETROSPECTIVE,syringe,equipment,pump,
EQ PUMP SYRINGE,equipment pump syringe,Capital Equipment,RETROSPECTIVE,syringe,equipment,pump,
EQ SEQ COMPRESSOR,equipment sequence compressor,Capital Equipment,RETROSPECTIVE,equipment,compressor,sequence,
EQ-JOBST ATHROMBIC PUMP,equipment jobst athrombic pump,Capital Equipment,RETROSPECTIVE,jobst,equipment,pump,antithrombic
EQ-KANGAROO PUMP,equipment kangaroo pump,Capital Equipment,RETROSPECTIVE,equipment,kangaroo,pump,
FEEDING PUMP,feeding pump,Capital Equipment,RETROSPECTIVE,pump,feeding,,
ASCORBIC ACID 250MG TAB,ascorbic acid 250_mg tablet,Pharmacy,RETROSPECTIVE,250_mg,acid,tablet,ascorbic
H PUMP INFUSION DAILY,pump infusion daily,Capital Equipment,RETROSPECTIVE,pump,infusion,daily,
HB ALTERNATING SURFACE BED,alternating surface bed,Capital Equipment,RETROSPECTIVE,alternating,bed,surface,
HB COMPRESSION PUMP,compression pump,Capital Equipment,RETROSPECTIVE,pump,compression,,
HB DUAL LINE INFUSION PUMP,dual line infusion pump,Capital Equipment,RETROSPECTIVE,line,infusion,dual,pump
HB ENTERAL FEEDING PUMP,enteral feeding pump,Capital Equipment,RETROSPECTIVE,pump,feeding,enteral,
HB EPUMP FEED ST 1000ML,enteral_feeding_pump feed sterile 1000_ml,Capital Equipment,RETROSPECTIVE,feed,epump,1000_ml,st
HB IV INFUSION PUMP,intravenous infusion pump,Capital Equipment,RETROSPECTIVE,pump,intravenous,infusion,
HB PCA PUMP,patient_controlled_analgesia pump,Capital Equipment,RETROSPECTIVE,pump,PCA,,
HB PUMP LVL 2,pump level 2,Capital Equipment,RETROSPECTIVE,pump,level,,
HB SYRINGE PUMP,syringe pump,Capital Equipment,RETROSPECTIVE,syringe,pump,,
HBC IV SINGLE LINE PUMP,hbc intravenous single line pump,Capital Equipment,RETROSPECTIVE,single,line,intravenous,hbc
