Original Description,Charge Class,Confidence Score,Matches
CEFTAROLINE 400 MG/20 ML INJ,Pharmacy,0.87,CEFAZOLIN 500MG/5ML INJ
DEXMEDETOMIDINE 200MCG/2ML INJ,Pharmacy,0.95,DEXMEDETOMIDINE 100MCG/ML IN
LEVEL IV-SURG PATH GROSS/MICRO,Laboratory,1,LEVEL IV-SURG PATH GROSS/MICRO
COMPLETE CBC W/AUTO DIFF WBC,Laboratory,0.97,COMPLETE CBC W AUTO DIFF WBC 2
EPINEPHRINE 1MG/10ML SYRINGE,Pharmacy,0.88,EPINEPHRINE 1 MG/ML SOLN
CEFTAROLINE 600 MG/20 ML INJ,Pharmacy,0.87,CEFAZOLIN 500MG/5ML INJ
OXYCODONE 5 MG TABLET,Pharmacy,1,OXYCODONE 5 MG TABLET
FAMOTIDINE 20 MG/2 ML INJ,Pharmacy,1,FAMOTIDINE 20 MG/2 ML INJ
NACL 0.9% *MBP* INJ 50ML,Diluent / Flush / Irrigant,1,NACL 0.9% *MBP* INJ 50 ML
DAPTOMYCIN 500 MG INJ,Pharmacy,0.88,DAPTOMYCIN INJ 1MG
US ABDOMEN LIMITED,Radiology,1,US ABDOMEN LIMITED
BELT GAIT,Supply,0.77,BLOOD GAS KIT
PROCALCITONIN (PCT),Laboratory,1,PROCALCITONIN (PCT)
PROTEIN SUPPLEMENT 15GM/30ML 1,Pharmacy,0.74,IRON  ELEMENTAL 15MG/ML
BARRIER PROTECTIVE SENSI CARE,Room and Board,0.72,CORONARY INTENSIVE CARE
STOCKING ANTIEMB KNEE SM REGX1,Supply,0.76,STOCK ANTIEMB KN LG REG LF
PROPOFOL 500MG/50ML INJ,Pharmacy,0.94,PROPOFOL 200MG/20ML INJ
BLOOD CULTURE FOR BACTERIA,Laboratory,1,BLOOD CULTURE FOR BACTERIA
SPONGE DRAIN T'SORB,Supply,1,SPONGE DRAIN T'SORB
DRX STERILWATER 500ML AQUALITE,Diluent / Flush / Irrigant,0.74,DXTRSE 5%/WATER PER 500ML
"GLUCOSE, BLOOD MONIT DEVICE",Monitoring,1,GLUCOSE  BLOOD MONIT DEVICE
RISPERIDONE 0.25 MG TAB,Pharmacy,0.81,PREDNISONE 20 MG TAB
