Original Description,Charge Class,Confidence Score,Matches,Counts
CEFTAROLINE 400 MG/20 ML INJ,Pharmacy,0.836,"CEFAZOLIN 500MG/5ML INJ, CEFTAROLINE INJ 10MG, CEFAZOLIN 500 MG INJ, CEPAZOLIN 500MG INJ, CEFAZOLIN 500MG INJ",5
DEXMEDETOMIDINE 200MCG/2ML INJ,"OR / Anesthesia / Recovery Room, Pharmacy",,"DEXMEDETOMIDINE 200MC, DEXMEDETOMIDINE 100MCG/ML IN, DEXMEDETOMIDINE 200 MCG/2, DEXMEDETOMIDINE 200 MCG/2ML 0409-1638-02, DEXMEDETOMIDINE 4 MCG/ML S, DEXMEDETOMDNE200MCG/50MLPMXIN., 14594212 - DEXMEDETOMIDINE 200MCG/2ML INJ, DEXMEDETOMIDINE 200 MCG/2ML SOLN 2 ML VIAL, HB DEXMEDETOMIDINE 4 MCG/ML PREMADE INFUSION, DEXMEDETOMIDINE 100 MCG/ML SOLN 2 ML VIAL, DEXMEDETOMIDINE 200MCG/2 ML SOLN, DEXMEDETOMIDINE 200 MCG/2 ML INTRAVENOUS SOLUTION, DEXMEDETOMIDINE 200MCG/2ML VL DEXMEDETOMIDINE 200 MCG/2 ML VIAL",13
LEVEL IV-SURG PATH GROSS/MICRO,Laboratory,0.9540000000000001,"LEVEL III - SURG PATH (GROSS/MICRO), LEVEL V - SURG PATH (GROSS, LEVEL V - SURG PATH (GROSS/MICRO), LEVEL IV - SURG PATH (GROS, LEVEL IV-SURG PATH GROSS/MICRO",5
COMPLETE CBC W/AUTO DIFF WBC,Laboratory,0.895,"COMPLETE CBC AUTOMATED, COMPLETE CBC W AUTO DIFF WBC 2",2
EPINEPHRINE 1MG/10ML SYRINGE,Pharmacy,0.8483333333333333,"PHENYLEPHRINE 1MG/10 ML-NS IV, EPINEPHRINE 1 MG/ML SOLN, EPINEPHRINE 1 MG/ML SOLN 3, EPINEPHRINE 1 MG/1 ML PF INJ, EPINEPHRINE 0.1 MG/ML SOSY, EPINEPHRINE 1 MG/ML SOLN 30 ML VIAL",6
CEFTAROLINE 600 MG/20 ML INJ,Pharmacy,0.836,"CEFAZOLIN 500MG/5ML INJ, CEFTAROLINE INJ 10MG, CEFAZOLIN 500 MG INJ, CEPAZOLIN 500MG INJ, CEFAZOLIN 500MG INJ",5
OXYCODONE 5 MG TABLET,"OR / Anesthesia / Recovery Room, Pharmacy",,"OXYCODONE 5 MG TABS, OXYCODONE-APAP 5-325 TABLET, ROXICODONE 5MG TABLET, OXYCODONE 5 MG TAB, OXYCODONE 5MG TAB, OXYCODONE 20MG SR TAB, OXYCODONE 5 MG TABLET, AMLODIPINE 5 MG TABLET",8
FAMOTIDINE 20 MG/2 ML INJ,Pharmacy,0.86625,"FASMOTIDINE PRE 20MG/, FAMOTIDINE 20 MG TABLET, FAMOTIDINE 20 MG TAB, FAMOTIDINE 20MG TAB U/D, FAMOTIDINE 20MG/2ML, FAMOTIDINE 10 MG/ML SOLN, FAMOTIDINE 20 MG TABS, FAMOTIDINE 20 MG/2 ML INJ",8
NACL 0.9% *MBP* INJ 50ML,Diluent / Flush / Irrigant,0.875,"NACL 0.9, NACL 0.9% *MBP* INJ 100ML, NACL 0.9% 100ML MBP, NACL 0.9% 250ML, NACL 0.9% 250ML J, NACL 0.9% INJ 10ML, NACL 0.9% INJ 250ML, NACL 0.9% *MBP* INJ 100 ML, NACL 0.9% *MBP* INJ 50 ML, NACL 0.9% INJ 50 ML, NACL 0.9% *PF* INJ, NACL 0.9% INJ QS TO 250 ML",12
DAPTOMYCIN 500 MG INJ,Pharmacy,0.85,"DAPTOMYCIN INJ 1MG, MYCOPHENOLATE 500 MG INJ",2
