DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4
1,ALARIS 8100 LVP MOD,alaris 8100 lvp module,Capital Equipment,RETROSPECTIVE,12/07/2016,alaris,lvp,module,
2,ALARIS PCU PUMP,alaris pump_control_unit pump,Capital Equipment,RETROSPECTIVE,12/07/2016,PCU,pump,alaris,
3,ALARIS PUMP I,alaris pump i,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,alaris,,
4,ALARIS PUMP IV,alaris pump intravenous,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,alaris,intravenous,
5,ALARIS PUMP IV ARM,alaris pump intravenous arm,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,alaris,intravenous,arm
6,BED BARIATRIC,bed bariatric,Capital Equipment,RETROSPECTIVE,12/07/2016,bariatric,bed,,
7,BED BARIMAX RNTL,bed barimax rental,Capital Equipment,RETROSPECTIVE,12/07/2016,barimax,rental,bed,
8,BED DOLPHIN MATTRESS KCI RNTL,bed dolphin mattress kinetic_concept_inc rental,Capital Equipment,RETROSPECTIVE,12/07/2016,rental,bed,mattress,
9,BED LOW AIR LOSS,bed low air loss,Capital Equipment,RETROSPECTIVE,12/07/2016,loss,low,bed,air
10,DUAL INF PUMP-SIGNATURE GOLD,dual infusion pump signature gold,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,infusion,dual,signature
11,DUAL LINE PUMP,dual line pump,Capital Equipment,RETROSPECTIVE,12/07/2016,line,pump,dual,
12,ENT FEED PUMP,enternal feed pump,Capital Equipment,RETROSPECTIVE,12/07/2016,feed,pump,enternal,
13,ENTERAL FEEDING PUMP,enteral feeding pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,feeding,enteral,
14,EQ BILILITE,equipment bililite,Capital Equipment,RETROSPECTIVE,12/07/2016,equipment,bililite,,
15,EQ MATTRESS LOW AIR LOSS EN,equipment mattress low air loss envision,Capital Equipment,RETROSPECTIVE,12/07/2016,equipment,air,loss,low
16,EQ PUMP  KANGROO FEEDING,equipment pump kangaroo feeding,Capital Equipment,RETROSPECTIVE,12/07/2016,equipment,pump,feeding,kangaroo
17,EQ PUMP  PCU ALARIS(BRAIN),equipment pump pump_control_unit alaris brain,Capital Equipment,RETROSPECTIVE,12/07/2016,equipment,pump,PCU,alaris
18,EQ PUMP  SYRINGE,equipment pump syringe,Capital Equipment,RETROSPECTIVE,12/07/2016,syringe,equipment,pump,
19,EQ PUMP SYRINGE,equipment pump syringe,Capital Equipment,RETROSPECTIVE,12/07/2016,syringe,equipment,pump,
20,EQ SEQ COMPRESSOR,equipment sequence compressor,Capital Equipment,RETROSPECTIVE,12/07/2016,equipment,compressor,sequence,
21,EQ-JOBST ATHROMBIC PUMP,equipment jobst athrombic pump,Capital Equipment,RETROSPECTIVE,12/07/2016,jobst,equipment,pump,antithrombic
22,EQ-KANGAROO PUMP,equipment kangaroo pump,Capital Equipment,RETROSPECTIVE,12/07/2016,equipment,kangaroo,pump,
23,FEEDING PUMP,feeding pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,feeding,,
24,ASCORBIC ACID 250MG TAB,ascorbic acid 250_mg tablet,Pharmacy,RETROSPECTIVE,12/07/2016,250_mg,acid,tablet,ascorbic
25,H PUMP INFUSION DAILY,pump infusion daily,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,infusion,daily,
26,HB ALTERNATING SURFACE BED,alternating surface bed,Capital Equipment,RETROSPECTIVE,12/07/2016,alternating,bed,surface,
27,HB COMPRESSION PUMP,compression pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,compression,,
28,HB DUAL LINE INFUSION PUMP,dual line infusion pump,Capital Equipment,RETROSPECTIVE,12/07/2016,line,infusion,dual,pump
29,HB ENTERAL FEEDING PUMP,enteral feeding pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,feeding,enteral,
30,HB EPUMP FEED ST 1000ML,enteral_feeding_pump feed sterile 1000_ml,Capital Equipment,RETROSPECTIVE,12/07/2016,feed,epump,1000_ml,st
31,HB IV INFUSION PUMP,intravenous infusion pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,intravenous,infusion,
32,HB PCA PUMP,patient_controlled_analgesia pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,PCA,,
33,HB PUMP LVL 2,pump level 2,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,level,,
34,HB SYRINGE PUMP,syringe pump,Capital Equipment,RETROSPECTIVE,12/07/2016,syringe,pump,,
35,HBC IV SINGLE LINE PUMP,hbc intravenous single line pump,Capital Equipment,RETROSPECTIVE,12/07/2016,single,line,intravenous,hbc
36,HBC SYRINGE PUMP S/P,hbc syringe pump specification,Capital Equipment,RETROSPECTIVE,12/07/2016,syringe,s,p,pump
37,HC COMPACT FEEDING PUMP,compact feeding pump,Capital Equipment,RETROSPECTIVE,12/07/2016,compact,pump,feeding,
38,HC ICU CARDIAC EQUIPMENT CHG,intensive_care_unit cardiac equipment charge,Capital Equipment,RETROSPECTIVE,12/07/2016,cardiac,equipment,charge,ICU
39,HC ICU EQUIPMENT CHARGE,intensive_care_unit equipment charge,Capital Equipment,RETROSPECTIVE,12/07/2016,equipment,charge,ICU,
40,HC IV PUMP CONTROLLER W MODULES,intravenous pump controller with modules,Capital Equipment,RETROSPECTIVE,12/07/2016,water,pump,modules,intravenous
41,HC PUMP IMED PC1,pump imed pc1,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,pc1,imed,
42,HC PUMP VAC WOUND CARE,pump vacuum wound care,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,care,wound,vacuum
43,HC TOTAL CARE 500 BED (500LB WEIGHT LIMIT),total care 500 bed 500lb weight limit,Capital Equipment,RETROSPECTIVE,12/07/2016,total,weight,bed,care
44,HOVER CHAIR SIZEWISE RNTL,hover chair sizewise rental,Capital Equipment,RETROSPECTIVE,12/07/2016,rental,chair,hover,sizewise
45,ACETYLCYSTEINE 200MG/ML 4ML,acetylcysteine 200_mg/ml 4_ml,Pharmacy,RETROSPECTIVE,12/07/2016,200_mg/ml,4_ml,acetylcysteine,
46,IV PUMP,intravenous pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,intravenous,,
47,IV PUMP-PER LINE/PUMP CHARGE,intravenous pump per line/pump charge,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,charge,intravenous,per
48,LAL MATTRESS,low_air_loss mattress,Capital Equipment,RETROSPECTIVE,12/07/2016,mattress,low_air_loss,,
49,LAL MATTRESS HR,low_air_loss mattress hour,Capital Equipment,RETROSPECTIVE,12/07/2016,mattress,hour,low_air_loss,
50,MACRO PUMP VENT,macro pump ventilation,Capital Equipment,RETROSPECTIVE,12/07/2016,macro,pump,ventilation,
51,MEDEX SYRINGE PUMP,medex syringe pump,Capital Equipment,RETROSPECTIVE,12/07/2016,syringe,pump,medex,
52,MEDFUSION SYRINGE PUMP CHARGE,medfusion syringe pump charge,Capital Equipment,RETROSPECTIVE,12/07/2016,syringe,pump,charge,medfusion
53,MEDICATION INFUSION PUMP,medication infusion pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,medication,infusion,
54,NICU-MICROFUSION PUMP,neonatal_intensive_care_unit microfusion pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,microfusion,NICU,
55,P500 OVERLAY MATTRESS,p500 overlay mattress,Capital Equipment,RETROSPECTIVE,12/07/2016,p500,mattress,overlay,
56,PCA PUMP,patient_controlled_analgesia pump,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,PCA,,
57,PUMP  IV SINGL LINE,pump intravenous single line,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,line,intravenous,single
