,cleaned_descrip,NORM_DESC,amount_bins,CHRG_CLS,Dominant CC1,Dominant CC2,# of descriptions,% Dominance1,% Dominance2,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
0, BC 10144 CHLORIDE OTHER,bc 10144 chloride,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,0.85,1,Laboratory,0.48,1,Laboratory,0.493075798428,1,Laboratory,0.969980820621,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.698264154762
1, CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE,contrast iohexol 300_mg/ml solution 50_ml bottle,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.86,1,Pharmacy,0.81,1,Pharmacy,0.96,1,Pharmacy,0.997601056064,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.906900264016
2, IRON BINDING CAPACITY,iron binding capacity,"(60, 100]",Laboratory,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Laboratory,0.93,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,0.992596232283,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.953149058071
3,0.9% NACL 250ML,0.9% sodium_chloride 250_ml,"(0, 5]",Diluent / Flush / Irrigant,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.914531374974,1,Diluent / Flush / Irrigant,0.999566997766,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.958524593185
4,0.9% NACL 250ML,0.9% sodium_chloride 250_ml,"(5, 20]",Diluent / Flush / Irrigant,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.914531374974,1,Diluent / Flush / Irrigant,0.999566997766,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.958524593185
5,01019207 HB VANCOMYCIN SINGLE LEVEL,vancomycin single level,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,0.89,1,Laboratory,0.88,1,Laboratory,0.96,1,Laboratory,0.997496357364,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.931874089341
6,01119817 HB SELENIUM BLOOD,selenium blood,"(20, 40]",Laboratory,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Laboratory,0.79,1,Laboratory,0.88,1,Laboratory,0.904724795078,1,Laboratory,0.999218951269,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.893485936587
7,01300011 HB CVC DRESSING CHANGE,central venous catheter dressing change,"(100, 300]",Supply,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Supply,0.79,1,Supply,0.88,1,Supply,0.937810015464,1,Supply,0.991510284449,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899830074978
8,01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5% dextrose/1/2 normal_saline potassuim_chloride 10 meq l 1,"(40, 60]",Pharmacy,Laboratory,Pharmacy,1050.0,29.0476190476,29.0476190476,Pharmacy,0.75,1,Pharmacy,0.93,1,Pharmacy,0.939478477074,1,Pharmacy,0.999002943072,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.904620355036
9,01467315 HB OXYCODONE 5MG/5ML CUP,oxycodone 5 mg/5 ml cup,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.71,1,Pharmacy,0.81,1,Pharmacy,0.984317373452,1,Pharmacy,0.999984484654,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.876075464527
10,01481540 HB FENTANYL 50ML INJ 0.05MG/ML,fentanyl 50 ml injection 0.05 mg ml,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.78,1,Pharmacy,0.93,1,Pharmacy,0.993490965513,1,Pharmacy,0.999990405575,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.925870342772
11,01481665 HB VANCOMYCIN 5GM VIAL LEDERLE,vancomycin 5 gm vial lederle,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.87,1,Pharmacy,0.93,1,Pharmacy,0.919573778042,1,Pharmacy,0.99693562859,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.929127351658
12,01481794 HB DIAZEPAM 5MG/ML VIAL,diazepam 5 mg ml vial,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.990803365578,1,Pharmacy,0.999886624835,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.930172497603
13,01481886 HB DEXTROSE 10% 1/2 NS IV SOLN,dextrose 10% 1/2 normal_saline intravenous solution,"(20, 40]",Pharmacy,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.92,1,Pharmacy,0.997371558398,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.911842889599
14,01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN,dextrose sodium_chloride 10 0.225% intravenous solution,"(40, 60]",Pharmacy,Laboratory,Pharmacy,1050.0,29.0476190476,29.0476190476,Pharmacy,0.79,1,Pharmacy,0.93,1,Pharmacy,0.76,1,Pharmacy,0.988199118895,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.867049779724
15,01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN,acetaminophen 10 mg ml intravenous solution,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.988134621593,1,Pharmacy,0.999368704123,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.941875831429
16,01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN,levocarnitine 50 mg ml dilution sterile water total_parenteral_nutrition,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.971390005977,1,Pharmacy,0.997858950943,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.93731223923
17,01522077 HB VERIGENE PROBE EACH ORGANISM,verigene probe organism,"(40, 60]",Laboratory,Laboratory,Pharmacy,1050.0,29.0476190476,29.0476190476,Other,0.71,0,Laboratory,0.34,1,Laboratory,0.96,1,Laboratory,0.995013708309,1,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.765004569436
18,02 SATURATION ,oxygen saturation,"(100, 300]",Monitoring,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Monitoring,1.0,1,Monitoring,1.0,1,Monitoring,0.371133081425,1,Monitoring,0.577598755257,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.737182959171
19,02336923 HB ABO TYPING C30,abo typing c30,"(20, 40]",Laboratory,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Laboratory,0.68,1,Laboratory,0.81,1,Laboratory,0.978569414515,1,Laboratory,0.999937113284,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.86712663195
20,03400001 RB 5 MAIN MS SEMI PVT,room_and_board 5 main semi private,"(1000, 2500]",Room and Board,Radiology,Supply,461.0,21.0412147505,13.6659436009,Room and Board,0.78,1,Room and Board,0.81,1,Room and Board,0.905613498094,1,Room and Board,0.999991775317,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.873901318353
21,03412137 HB MEDICAL GAS ADMINISTRATION,medical gas administration,"(100, 300]",Respiratory Therapy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Respiratory Therapy,0.9,1,Respiratory Therapy,0.93,1,Respiratory Therapy,0.454462490984,1,Respiratory Therapy,0.854504472234,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.784741740805
22,03600001 RB 4 WEST MED ICU,room_and_board 4 west medical intensive_care_unit,"(2500, 9000]",Room and Board,Room and Board,Radiology,395.0,38.2278481013,15.1898734177,Room and Board,0.86,1,Room and Board,0.88,1,Room and Board,0.96,1,Room and Board,0.999837797407,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.924959449352
23,06660004 RB 2 WEST ROUTINE,room_and_board 2 west routine,"(1000, 2500]",Room and Board,Radiology,Supply,461.0,21.0412147505,13.6659436009,Room and Board,0.79,1,Room and Board,0.81,1,Room and Board,0.92,1,Room and Board,0.997435302355,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.879358825589
24,1 25 DIHYDROXY INCLUDES FR,1 25 dihydroxy includes fr,"(300, 650]",Laboratory,Laboratory,Supply,1035.0,24.2512077295,21.8357487923,Laboratory,0.72,1,Laboratory,0.45,1,Laboratory,0.527060366373,1,Laboratory,0.981914515304,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.669743720419
25,10540800 SOD CHLORIDE 0.9/500ML IV SOL,sodium_chloride 0.9/500_ml intravenous solution,"(5, 20]",Diluent / Flush / Irrigant,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Diluent / Flush / Irrigant,0.89,1,Diluent / Flush / Irrigant,0.93,1,Diluent / Flush / Irrigant,0.92,1,Diluent / Flush / Irrigant,0.977668667776,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.929417166944
26,11030222 ACETYLCYSTEN INJ 100MG 30ML VL,acetylcysteine injection 100_mg 30_ml vial,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.987569411344,1,Pharmacy,0.999977512142,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.941886730871
27,11265042 ASPIRIN TAB CHEW 81MG,aspirin tablet chew 81_mg,"(-10, 0]",Pharmacy,Supply,Pharmacy,253.0,24.9011857708,21.3438735178,Pharmacy,0.9,1,Pharmacy,0.88,1,Pharmacy,0.981744176031,1,Pharmacy,0.999170663589,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.940228709905
28,11332962 IOHEXOL 240MG/ML ORAL 50ML,iohexol 240_mg/ml oral 50_ml,"(-10, 0]",Pharmacy,Supply,Pharmacy,253.0,24.9011857708,21.3438735178,Pharmacy,0.75,1,Pharmacy,0.81,1,Pharmacy,0.947701017037,1,Pharmacy,0.998937300963,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.8766595795
