cleaned_descrip,NORM_DESC,CHRG_CLS,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Voted Output,Voting Algorithm,Confidence Score
 BC 10144 CHLORIDE OTHER,bc 10144 chloride,Laboratory,Laboratory,0.96,1,Laboratory,0.777777253889,1,Laboratory,0.76,1,Laboratory,0.48,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.744444313472
 CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE,contrast iohexol 300_mg/ml solution 50_ml bottle,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.894731764172,1,Pharmacy,0.86,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.881182941043
 IRON BINDING CAPACITY,iron binding capacity,Laboratory,Laboratory,0.937402433146,1,Blood Products,0.727968815111,0,Monitoring,0.74,0,Laboratory,0.81,1,Laboratory,"DeepNN, Jaro",0.436850608286
0.9% NACL 250ML,0.9% sodium_chloride 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.935118870266,1,Diluent / Flush / Irrigant,0.999904991162,1,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.963755965357
0.9% NACL 250ML,0.9% sodium_chloride 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.901766825326,1,Diluent / Flush / Irrigant,0.999706640603,1,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.955368366482
01019207 HB VANCOMYCIN SINGLE LEVEL,vancomycin single level,Laboratory,Laboratory,0.922748844368,1,Laboratory,0.893934131327,1,Laboratory,0.89,1,Laboratory,0.88,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.896670743924
01119817 HB SELENIUM BLOOD,selenium blood,Laboratory,Laboratory,0.936420127385,1,Laboratory,0.873803081212,1,Laboratory,0.79,1,Laboratory,0.88,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.870055802149
01300011 HB CVC DRESSING CHANGE,central venous catheter dressing change,Supply,Supply,0.96,1,Supply,0.998123120504,1,Supply,0.79,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.907030780126
01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5% dextrose/1/2 normal_saline potassuim_chloride 10 meq l 1,Pharmacy,Pharmacy,0.962126999467,1,Pharmacy,0.999896636073,1,Pharmacy,0.75,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.910505908885
01467315 HB OXYCODONE 5MG/5ML CUP,oxycodone 5 mg/5 ml cup,Pharmacy,Pharmacy,0.982226566226,1,Pharmacy,0.999835272108,1,Pharmacy,0.76,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.905515459583
01481540 HB FENTANYL 50ML INJ 0.05MG/ML,fentanyl 50 ml injection 0.05 mg ml,Pharmacy,Pharmacy,0.992335091542,1,Pharmacy,0.995908506711,1,Pharmacy,0.78,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.924560899563
01481665 HB VANCOMYCIN 5GM VIAL LEDERLE,vancomycin 5 gm vial lederle,Pharmacy,Pharmacy,0.954045667099,1,Pharmacy,0.999356034488,1,Pharmacy,0.87,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.938350425397
01481794 HB DIAZEPAM 5MG/ML VIAL,diazepam 5 mg ml vial,Pharmacy,Pharmacy,0.994577762806,1,Pharmacy,0.999962107114,1,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.93113496748
01481886 HB DEXTROSE 10% 1/2 NS IV SOLN,dextrose 10% 1/2 normal_saline intravenous solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.995389398763,1,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.921347349691
01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN,dextrose sodium_chloride 10 0.225% intravenous solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.943917237534,1,Pharmacy,0.79,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.905979309384
01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN,acetaminophen 10 mg ml intravenous solution,Pharmacy,Pharmacy,0.990730498156,1,Pharmacy,0.999063088555,1,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.942448396678
01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN,levocarnitine 50 mg ml dilution sterile water total_parenteral_nutrition,Pharmacy,Pharmacy,0.971368678711,1,Pharmacy,0.95333918425,1,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.92617696574
01855002 RB 1MICU MEDICAL,room_and_board medical intestive care unit medical,Room and Board,Room and Board,0.96,1,Room and Board,0.998662631069,1,Room and Board,0.79,1,Room and Board,0.81,1,Room and Board,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.889665657767
02336923 HB ABO TYPING C30,abo typing c30,Laboratory,Laboratory,0.979987648736,1,Laboratory,0.99326536576,1,Laboratory,0.68,1,Laboratory,0.81,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.865813253624
03400001 RB 5 MAIN MS SEMI PVT,room_and_board 5 main semi private,Room and Board,Room and Board,0.934693694014,1,Room and Board,0.999989191838,1,Room and Board,0.78,1,Room and Board,0.81,1,Room and Board,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.881170721463
03412137 HB MEDICAL GAS ADMINISTRATION,medical gas administration,Respiratory Therapy,Respiratory Therapy,0.527980473488,1,Respiratory Therapy,0.989804874524,1,Respiratory Therapy,0.9,1,Respiratory Therapy,0.93,1,Respiratory Therapy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.836946337003
03600001 RB 4 WEST MED ICU,room_and_board 4 west medical intensive_care_unit,Room and Board,Room and Board,0.96,1,Room and Board,0.998108612522,1,Room and Board,0.86,1,Room and Board,0.88,1,Room and Board,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.92452715313
03600007 RB 4 WEST ICU SURG,room_and_board 4 west intensive_care_unit surgical,Room and Board,Room and Board,0.96,1,Room and Board,0.998766242214,1,Room and Board,0.74,1,Room and Board,0.81,1,Room and Board,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.877191560554
1 25 DIHYDROXY INCLUDES FR,1 25 dihydroxy includes fr,Laboratory,Laboratory,0.96,1,Laboratory,0.674503191468,1,Laboratory,0.71,1,Laboratory,0.45,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.698625797867
10540800 SOD CHLORIDE 0.9/500ML IV SOL,sodium_chloride 0.9/500_ml intravenous solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.92,1,Diluent / Flush / Irrigant,0.996914084816,1,Diluent / flush / Irrigant,0.89,0,Diluent / flush / Irrigant,0.93,0,Diluent / Flush / Irrigant,"DeepNN, Logistic_OvR",0.479228521204
10541000 SOD CHLORIDE 0.9% PER 250ML,sodium_chloride 0.9% per 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.996918473953,1,Diluent / flush / Irrigant,0.9,0,Diluent / flush / Irrigant,0.93,0,Diluent / Flush / Irrigant,"DeepNN, Logistic_OvR",0.489229618488
11021082 ACETAMINOPHEN 325MG,acetaminophen 325_mg,Pharmacy,Pharmacy,0.945074206204,1,Pharmacy,0.995466342998,1,Pharmacy,0.88,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.9376351373
11030222 ACETYLCYSTEN INJ 100MG 30ML VL,acetylcysteine injection 100_mg 30_ml vial,Pharmacy,Pharmacy,0.991820940151,1,Pharmacy,0.999822372864,1,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.942910828254
11265042 ASPIRIN TAB CHEW 81MG,aspirin tablet chew 81_mg,Pharmacy,Pharmacy,0.980715878097,1,Pharmacy,0.99991141137,1,Pharmacy,0.9,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.940156822367
11332962 IOHEXOL 240MG/ML ORAL 50ML,iohexol 240_mg/ml oral 50_ml,Pharmacy,Pharmacy,0.938177076041,1,Pharmacy,0.987495082799,1,Pharmacy,0.75,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.87141803971
11395212 BENGAY GREASELESS CREAM,bengay greaseless cream,Pharmacy,Pharmacy,0.76,1,Supply,0.915658441475,0,Laboratory,0.65,0,Pharmacy,0.35,1,Pharmacy,"DeepNN, Jaro",0.2775
11482222 BUMETANIDE 0.25MG/ML 10ML,bumetanide 0.25_mg/ml 10_ml,Pharmacy,Pharmacy,0.983069251887,1,Pharmacy,0.995212785889,1,Pharmacy,0.75,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.902070509444
11502928 HB KIT GASTMY M KEY SIL L1.5CM OD,kit gastrostomy mic key silicone length 1.5cm od,Supply,Supply,0.984632014873,1,Supply,0.999994173592,1,Supply,0.92,1,Supply,0.96,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.966156547116
11502970 HB KIT IV 3 4 YR PREOP,kit intravenous 3 4 years preoperative,Supply,Supply,0.959117772989,1,Supply,0.999534198772,1,Supply,0.75,1,Supply,0.42,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.78216299294
11555222 CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,Pharmacy,Pharmacy,0.977448025089,1,Pharmacy,0.999935723675,1,Pharmacy,0.91,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954345937191
11625272 CEFEPIME PER 500MG MB+,cefepime per 500_mg mb,Pharmacy,Pharmacy,0.941859086754,1,Pharmacy,0.999654271389,1,Pharmacy,0.9,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.950378339536
12386332 ENOXAPARIN SODIUM 10MG INJ,enoxaparin sodium 10_mg injection,Pharmacy,Pharmacy,0.972838184073,1,Pharmacy,0.983683987632,1,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.964130542926
12455600 VANCOMYCIN 50MG PER 1ML ORAL,vancomycin 50_mg per 1_ml oral,Pharmacy,Pharmacy,0.979724766653,1,Pharmacy,0.999991936408,1,Laboratory,0.77,0,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, Jaro",0.929905567687
12675042 GENTAMICIN 0.3% 5ML OPTH SOLN,gentamicin 0.3% 5_ml ophth solution,Pharmacy,Pharmacy,0.981858124225,1,Pharmacy,0.999904768095,1,Pharmacy,0.72,1,Pharmacy,0.48,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.79544072308
12820582 HEPARIN SODIUM PER 1000 UNITS,heparin sodium per 1000_units,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.92,0,Diluent / Flush / Irrigant,0.966305122596,0,Diluent / flush / Irrigant,0.98,1,Diluent / flush / Irrigant,0.94,1,Diluent / flush / Irrigant,"DLevenshtein, Jaro",0.48
12858252 HYDROCODONE/ACETAMIN 5/325 TAB,hydrocodone acetamin 5/325 tablet,Pharmacy,Pharmacy,0.972551696725,1,Pharmacy,0.99951990937,1,Pharmacy,0.85,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.908017901524
