,cleaned_descrip,NORM_DESC,CHRG_CLS,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
0, BC 10144 CHLORIDE OTHER,bc 10144 chloride,Laboratory,Laboratory,0.8,1,Laboratory,0.48,1,Laboratory,0.879078183398,1,Laboratory,0.940049920505,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.774782025976
1, CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE,contrast iohexol 300_mg/ml solution 50_ml bottle,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.57,1,Pharmacy,0.895545561285,1,Pharmacy,0.968141928997,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.823421872571
2, IRON BINDING CAPACITY,iron binding capacity,Laboratory,Laboratory,0.93,1,Laboratory,0.79,1,Laboratory,0.916502530025,1,Laboratory,0.676700977809,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.828300876958
3,0.9% NACL 250ML,0.9% sodium_chloride 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.87,1,Diluent / Flush / Irrigant,0.900608646432,1,Diluent / Flush / Irrigant,0.998843517947,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.932363041095
4,01019207 HB VANCOMYCIN SINGLE LEVEL,vancomycin single level,Laboratory,Laboratory,0.89,1,Laboratory,0.68,1,Laboratory,0.879144071464,1,Laboratory,0.924023707797,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.843291944815
5,01119817 HB SELENIUM BLOOD,selenium blood,Laboratory,Laboratory,0.79,1,Laboratory,0.61,1,Laboratory,0.947509337957,1,Laboratory,0.990486461948,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.834498949976
6,01300011 HB CVC DRESSING CHANGE,central venous catheter dressing change,Supply,Supply,0.79,1,Supply,0.67,1,Supply,0.832871459972,1,Supply,0.990034423666,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.820726470909
7,01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5% dextrose/1/2 normal_saline potassuim_chloride 10 meq l 1,Pharmacy,Pharmacy,0.75,1,Pharmacy,0.74,1,Pharmacy,0.93973767813,1,Pharmacy,0.999088544105,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.857206555559
8,01467315 HB OXYCODONE 5MG/5ML CUP,oxycodone 5 mg/5 ml cup,Pharmacy,Pharmacy,0.71,1,Pharmacy,0.59,1,Pharmacy,0.980968186489,1,Pharmacy,0.99988000463,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.82021204778
9,01481540 HB FENTANYL 50ML INJ 0.05MG/ML,fentanyl 50 ml injection 0.05 mg ml,Pharmacy,Pharmacy,0.78,1,Pharmacy,0.74,1,Pharmacy,0.994635085354,1,Pharmacy,0.999925993828,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.878640269796
