,cleaned_descrip,NORM_DESC,rev_code,CHRG_CLS,Dominant CC,# of descriptions,% Dominance,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
0, BC 10144 CHLORIDE OTHER,bc 10144 chloride,301.0,Laboratory,Laboratory,924.0,79.2207792208,Laboratory,0.8,1,Laboratory,0.48,1,Laboratory,0.493075798428,1,Laboratory,0.969980820621,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.685764154762
1, CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE,contrast iohexol 300_mg/ml solution 50_ml bottle,255.0,Pharmacy,Pharmacy,19.0,89.4736842105,Pharmacy,0.86,1,Pharmacy,0.57,1,Pharmacy,0.891231344599,1,Pharmacy,0.997601056064,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.829708100166
2, IRON BINDING CAPACITY,iron binding capacity,301.0,Laboratory,Laboratory,924.0,79.2207792208,Laboratory,0.93,1,Laboratory,0.79,1,Laboratory,0.839865198792,1,Laboratory,0.992596232283,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.888115357769
3,0.9% NACL 250ML,0.9% sodium_chloride 250_ml,250.0,Diluent / Flush / Irrigant,Pharmacy,2692.0,76.0401188707,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.87,1,Diluent / Flush / Irrigant,0.914531374974,1,Diluent / Flush / Irrigant,0.999566997766,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.936024593185
4,0.9% NACL 250ML,0.9% sodium_chloride 250_ml,258.0,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,392.0,55.612244898,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.87,1,Diluent / Flush / Irrigant,0.914531374974,1,Diluent / Flush / Irrigant,0.999566997766,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.936024593185
5,01019207 HB VANCOMYCIN SINGLE LEVEL,vancomycin single level,301.0,Laboratory,Laboratory,924.0,79.2207792208,Laboratory,0.89,1,Laboratory,0.68,1,Laboratory,0.842267110781,1,Laboratory,0.997496357364,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.852440867036
6,01119817 HB SELENIUM BLOOD,selenium blood,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Laboratory,0.79,1,Laboratory,0.61,1,Laboratory,0.904724795078,1,Laboratory,0.999218951269,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.825985936587
7,01300011 HB CVC DRESSING CHANGE,central venous catheter dressing change,940.0,Supply,Nursing Services,19.0,42.1052631579,Supply,0.79,1,Supply,0.67,1,Supply,0.937810015464,1,Supply,0.991510284449,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.847330074978
8,01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5% dextrose/1/2 normal_saline potassuim_chloride 10 meq l 1,258.0,Pharmacy,Diluent / Flush / Irrigant,392.0,55.612244898,Pharmacy,0.75,1,Pharmacy,0.74,1,Pharmacy,0.939478477074,1,Pharmacy,0.999002943072,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.857120355036
9,01467315 HB OXYCODONE 5MG/5ML CUP,oxycodone 5 mg/5 ml cup,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.71,1,Pharmacy,0.59,1,Pharmacy,0.984317373452,1,Pharmacy,0.999984484654,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.821075464527
10,01481540 HB FENTANYL 50ML INJ 0.05MG/ML,fentanyl 50 ml injection 0.05 mg ml,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.78,1,Pharmacy,0.74,1,Pharmacy,0.993490965513,1,Pharmacy,0.999990405575,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.878370342772
11,01481665 HB VANCOMYCIN 5GM VIAL LEDERLE,vancomycin 5 gm vial lederle,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.87,1,Pharmacy,0.76,1,Pharmacy,0.919573778042,1,Pharmacy,0.99693562859,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.886627351658
12,01481794 HB DIAZEPAM 5MG/ML VIAL,diazepam 5 mg ml vial,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.83,1,Pharmacy,0.68,1,Pharmacy,0.990803365578,1,Pharmacy,0.999886624835,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.875172497603
13,01481886 HB DEXTROSE 10% 1/2 NS IV SOLN,dextrose 10% 1/2 normal_saline intravenous solution,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.8,1,Pharmacy,0.69,1,Pharmacy,0.778178719257,1,Pharmacy,0.997371558398,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.816387569414
14,01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN,dextrose sodium_chloride 10 0.225% intravenous solution,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.79,1,Pharmacy,0.72,1,Pharmacy,0.639809280184,1,Pharmacy,0.988199118895,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.78450209977
15,01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN,acetaminophen 10 mg ml intravenous solution,252.0,Pharmacy,Pharmacy,182.0,85.1648351648,Pharmacy,0.83,1,Pharmacy,0.78,1,Pharmacy,0.988134621593,1,Pharmacy,0.999368704123,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899375831429
16,01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN,levocarnitine 50 mg ml dilution sterile water total_parenteral_nutrition,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.84,1,Pharmacy,0.73,1,Pharmacy,0.971390005977,1,Pharmacy,0.997858950943,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.88481223923
17,01522077 HB VERIGENE PROBE EACH ORGANISM,verigene probe organism,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Other,0.71,0,Laboratory,0.34,1,Laboratory,0.804067083207,1,Laboratory,0.995013708309,1,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.713026930505
18,02 SATURATION ,oxygen saturation,460.0,Monitoring,Monitoring,103.0,66.9902912621,Monitoring,1.0,1,Monitoring,1.0,1,Monitoring,0.371133081425,1,Monitoring,0.577598755257,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.737182959171
19,02336923 HB ABO TYPING C30,abo typing c30,302.0,Laboratory,Laboratory,180.0,96.1111111111,Laboratory,0.68,1,Laboratory,0.5,1,Laboratory,0.978569414515,1,Laboratory,0.999937113284,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.78962663195
20,03400001 RB 5 MAIN MS SEMI PVT,room_and_board 5 main semi private,121.0,Room and Board,Room and Board,11.0,90.9090909091,Room and Board,0.78,1,Room and Board,0.54,1,Room and Board,0.905613498094,1,Room and Board,0.999991775317,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.806401318353
21,03412137 HB MEDICAL GAS ADMINISTRATION,medical gas administration,272.0,Respiratory Therapy,Supply,833.0,84.393757503,Respiratory Therapy,0.9,1,Respiratory Therapy,0.71,1,Respiratory Therapy,0.454462490984,1,Respiratory Therapy,0.854504472234,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.729741740805
