,cleaned_descrip,NORM_DESC,rev_code,CHRG_CLS,Dominant CC1,Dominant CC2,# of descriptions,% Dominance1,% Dominance2,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
0, BC 10144 CHLORIDE OTHER,bc 10144 chloride,301.0,Laboratory,Laboratory,Monitoring,924.0,79.2207792208,13.961038961,Laboratory,0.85,1,Laboratory,0.48,1,Laboratory,0.493075798428,1,Laboratory,0.969980820621,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1, CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE,contrast iohexol 300_mg/ml solution 50_ml bottle,255.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,19.0,89.4736842105,5.26315789474,Pharmacy,0.86,1,Pharmacy,0.81,1,Pharmacy,0.96,1,Pharmacy,0.997601056064,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
2, IRON BINDING CAPACITY,iron binding capacity,301.0,Laboratory,Laboratory,Monitoring,924.0,79.2207792208,13.961038961,Laboratory,0.93,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,0.992596232283,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
3,0.9% NACL 250ML,0.9% sodium_chloride 250_ml,250.0,Diluent / Flush / Irrigant,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.914531374974,1,Diluent / Flush / Irrigant,0.999566997766,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.958524593185
4,0.9% NACL 250ML,0.9% sodium_chloride 250_ml,258.0,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,Pharmacy,392.0,55.612244898,39.7959183673,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.914531374974,1,Diluent / Flush / Irrigant,0.999566997766,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
5,01019207 HB VANCOMYCIN SINGLE LEVEL,vancomycin single level,301.0,Laboratory,Laboratory,Monitoring,924.0,79.2207792208,13.961038961,Laboratory,0.89,1,Laboratory,0.88,1,Laboratory,0.96,1,Laboratory,0.997496357364,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
6,01119817 HB SELENIUM BLOOD,selenium blood,300.0,Laboratory,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Laboratory,0.79,1,Laboratory,0.88,1,Laboratory,0.904724795078,1,Laboratory,0.999218951269,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
7,01300011 HB CVC DRESSING CHANGE,central venous catheter dressing change,940.0,Supply,Nursing Services,Supply,19.0,42.1052631579,15.7894736842,Supply,0.79,1,Supply,0.88,1,Supply,0.937810015464,1,Supply,0.991510284449,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899830074978
8,01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5% dextrose/1/2 normal_saline potassuim_chloride 10 meq l 1,258.0,Pharmacy,Diluent / Flush / Irrigant,Pharmacy,392.0,55.612244898,39.7959183673,Pharmacy,0.75,1,Pharmacy,0.93,1,Pharmacy,0.939478477074,1,Pharmacy,0.999002943072,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.904620355036
9,01467315 HB OXYCODONE 5MG/5ML CUP,oxycodone 5 mg/5 ml cup,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.71,1,Pharmacy,0.81,1,Pharmacy,0.984317373452,1,Pharmacy,0.999984484654,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
