descrip,# of descs,# of rev code grps,# of charge classes,Unique charge classes,Unique rev codes grps
ARTERIAL PUNCTURE,12,12,1,Nursing Services,"Cardiology, Clinic, Emergency Room, Gastro-Intestinal Services, Implant/Supply, Laboratory, OR Services, Other Diagnostic Services, Other Therapeutic Services, Pulmonary Function, Respiratory Services, Treatment/Observation Room"
TELEMETRY,10,10,1,Monitoring,"Coronary Care, EKG/ECG/EEG, Implant/Supply, Intensive Care, Nursing, OR Services, Patient Conv Items, Pulmonary Function, Respiratory Services, Room & Board"
VENIPUNCTURE,9,9,1,Nursing Services,"Blood, EKG/ECG/EEG, Emergency Room, Implant/Supply, Laboratory, Other Imaging Services, Patient Conv Items, Pulmonary Function, Respiratory Services"
BASIC METABOLIC PANEL,8,8,1,Laboratory,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Hospice Services, Laboratory, Other Imaging Services, Preventive Care Services, Radiology, Room & Board"
NIBP MONITOR,8,8,1,Monitoring,"Anesthesia, Cast/Recovery/Labor Room, EKG/ECG/EEG, Implant/Supply, Laboratory, OR Services, Other Diagnostic Services, Respiratory Services"
BRONCHOSCOPY,8,8,1,Procedure,"Ambulatory Surgical, Emergency Room, Gastro-Intestinal Services, Implant/Supply, OR Services, Other Therapeutic Services, Respiratory Services, Treatment/Observation Room"
ECG MONITOR,8,8,1,Cardiology,"Anesthesia, Cardiology, Cast/Recovery/Labor Room, EKG/ECG/EEG, Implant/Supply, OR Services, Other Diagnostic Services, Respiratory Services"
MAGNESIUM,8,8,1,Laboratory,"Drugs Requiring Specific Identification, Hospice Services, Laboratory, Organ Acquisition, Other Imaging Services, PT/OT/Speech, Preventive Care Services, Room & Board"
EKG,8,8,1,Cardiology,"Cardiology, Drugs Requiring Specific Identification, EKG/ECG/EEG, Emergency Room, Laboratory, Organ Acquisition, Other Diagnostic Services, Respiratory Services"
HC ARTERIAL PUNCTURE,8,8,1,Nursing Services,"Laboratory, OR Services, Other Diagnostic Services, Other Therapeutic Services, Pulmonary Function, Radiology, Respiratory Services, Treatment/Observation Room"
PROTHROMBIN TIME,7,7,1,Laboratory,"Drugs Requiring Specific Identification, Intensive Care, Laboratory, OR Services, Other Imaging Services, Preventive Care Services, Radiology"
INTUBATION,7,7,1,Respiratory Therapy,"Cardiology, Emergency Room, Implant/Supply, OR Services, Other Therapeutic Services, Respiratory Services, Treatment/Observation Room"
GRAM STAIN,6,6,1,Laboratory,"EKG/ECG/EEG, Implant/Supply, Laboratory, Other Imaging Services, PT/OT/Speech, Radiology"
FAMOTIDINE 20 MG TAB,6,6,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Outpatient or Home, PT/OT/Speech, Patient Conv Items, Pharmacy"
PROPOFOL 10 MG/ML EMUL,6,6,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Organ Acquisition, Patient Conv Items, Pharmacy, Radiology"
BISACODYL 10 MG SUPP,6,6,1,Pharmacy,"Drugs Requiring Specific Identification, Implant/Supply, MRI, PT/OT/Speech, Patient Conv Items, Pharmacy"
ABG DRAW,6,6,1,Nursing Services,"Blood, Emergency Room, Laboratory, OR Services, Respiratory Services, Treatment/Observation Room"
OXYCODONE 5 MG TAB,6,6,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, MRI, Osteopathic Services, Patient Conv Items, Pharmacy"
