Procedure Code,# of desciptions,Unique charge classes,Unique rev codes names
None,11131,"Pharmacy, Laboratory, Diluent / Flush / Irrigant, Supply, Room and Board, Monitoring, Other, Diluent / flush / Irrigant, Plan Benefit, Professional Fee, Implant, Radiology, Procedure, Nursing Services, OR / Anesthesia / Recovery Room, Respiratory Therapy, Education / Training, PT / OT / Speech Therapy, Blood Products, Capital Equipment, Cardiology, Dialysis","Pharmacy, Laboratory, Drugs Requiring Specific Identification, Implant/Supply, Intensive Care, Respiratory Services, Room & Board, Coronary Care, Emergency Room, Pulmonary Function, CT Scan, Radiology, Other Imaging Services, OR Services, Other Diagnostic Services, Cardiology, IV Therapy, Anesthesia, Blood, EKG/ECG/EEG, Preventive Care Services, PT/OT/Speech, Treatment/Observation Room, Gastro-Intestinal Services, Audiology, Patient Conv Items, MRI, Clinic, Other Therapeutic Services, Cast/Recovery/Labor Room, Others, Ambulatory Surgical, Osteopathic Services, Organ Acquisition, Nursing, Prof Fees, Outpatient or Home, Ambulance, Nuclear Medicine, Outpatient Services, Oncology, Medical Equipment"
A9270,129,"Pharmacy, Supply, Monitoring, Plan Benefit, Diluent / Flush / Irrigant","Pharmacy, Drugs Requiring Specific Identification, Implant/Supply, IV Therapy"
J3490,107,"Diluent / Flush / Irrigant, Pharmacy, Supply, Plan Benefit","Pharmacy, Drugs Requiring Specific Identification, Patient Conv Items, Outpatient or Home, IV Therapy"
A4649,77,"Supply, Pharmacy, Cardiology, Capital Equipment, Diluent / Flush / Irrigant, Respiratory Therapy, Nursing Services, Diluent / flush / Irrigant","Pharmacy, Implant/Supply, Respiratory Services, Laboratory"
J7050,72,"Diluent / Flush / Irrigant, Pharmacy","Drugs Requiring Specific Identification, Pharmacy, Outpatient or Home"
J7030,54,"Diluent / Flush / Irrigant, Pharmacy","Drugs Requiring Specific Identification, Pharmacy, Cast/Recovery/Labor Room, Outpatient or Home"
63700001,47,"Pharmacy, Supply, Plan Benefit","Pharmacy, Drugs Requiring Specific Identification"
J3010,45,"Pharmacy, Supply","Pharmacy, Drugs Requiring Specific Identification, Outpatient or Home, IV Therapy, Cast/Recovery/Labor Room, Implant/Supply"
25030001,44,"Pharmacy, Supply, Plan Benefit","Pharmacy, IV Therapy"
82962,42,"Monitoring, Laboratory, Supply",Laboratory
J7040,41,"Diluent / Flush / Irrigant, Pharmacy","Pharmacy, Drugs Requiring Specific Identification, Outpatient or Home"
J7060,38,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
84132,36,"Laboratory, Monitoring","Laboratory, Implant/Supply, Hospice Services"
82947,36,"Laboratory, Monitoring",Laboratory
-,33,"Pharmacy, OR / Anesthesia / Recovery Room, Supply, Room and Board, Diluent / Flush / Irrigant, Respiratory Therapy","Pharmacy, Anesthesia, OR Services, Intensive Care, Implant/Supply"
J2704,31,"Supply, Pharmacy","Implant/Supply, Pharmacy, Drugs Requiring Specific Identification, Others, Outpatient or Home, Patient Conv Items, IV Therapy"
J2250,31,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, IV Therapy, Cast/Recovery/Labor Room"
36415,29,Nursing Services,"Laboratory, Emergency Room"
82330,29,"Laboratory, Monitoring","Laboratory, Others, Implant/Supply, EKG/ECG/EEG, Hospice Services"
J8499,29,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification, IV Therapy"
83605,28,"Laboratory, Monitoring","Laboratory, Implant/Supply"
890023,28,"Pharmacy, Supply","Pharmacy, IV Therapy"
71010,28,"Supply, Radiology","Radiology, Nursing, Laboratory, Cast/Recovery/Labor Room"
2147483647,28,"Pharmacy, Laboratory, Radiology, Diluent / Flush / Irrigant, Plan Benefit, Monitoring","Pharmacy, Drugs Requiring Specific Identification, Laboratory, Radiology"
50125750,27,"Implant, Supply, Capital Equipment",Implant/Supply
86900,27,Laboratory,"Laboratory, Blood"
J3370,26,"Laboratory, Pharmacy","Pharmacy, Drugs Requiring Specific Identification, Outpatient or Home"
84295,25,"Laboratory, Monitoring","Laboratory, Others, Implant/Supply"
84100,25,Laboratory,"Laboratory, Others, Implant/Supply, EKG/ECG/EEG"
85014,25,"Laboratory, Monitoring",Laboratory
637000001,25,"Pharmacy, Supply","Drugs Requiring Specific Identification, Pharmacy"
7000006,24,Pharmacy,"Pharmacy, IV Therapy"
86901,24,Laboratory,"Laboratory, Blood"
5040066,23,"Pharmacy, Plan Benefit","Pharmacy, IV Therapy"
80053,23,Laboratory,"Laboratory, Implant/Supply, EKG/ECG/EEG, Hospice Services"
J3480,22,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification, IV Therapy"
2500003,21,"Diluent / Flush / Irrigant, Pharmacy",Pharmacy
25030002,21,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
J7070,21,"Diluent / Flush / Irrigant, Laboratory","Pharmacy, Drugs Requiring Specific Identification, IV Therapy, Laboratory"
80048,21,Laboratory,"Laboratory, Hospice Services, Implant/Supply, EKG/ECG/EEG"
25000001,20,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
85027,20,Laboratory,"Laboratory, EKG/ECG/EEG"
J1642,20,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy, OR Services"
36370001,19,Pharmacy,"Pharmacy, IV Therapy"
85610,19,Laboratory,Laboratory
6111250,19,"Pharmacy, Diluent / Flush / Irrigant","Pharmacy, Nursing"
83735,19,"Laboratory, Monitoring, Pharmacy","Laboratory, Hospice Services"
94640,19,"Respiratory Therapy, Supply","Respiratory Services, Pulmonary Function, Gastro-Intestinal Services, Patient Conv Items"
87040,18,Laboratory,"Laboratory, EKG/ECG/EEG"
1503710,18,"Pharmacy, Supply, Diluent / Flush / Irrigant",Pharmacy
82803,18,"OR / Anesthesia / Recovery Room, Monitoring, Laboratory","Anesthesia, Laboratory, Patient Conv Items"
43000250,18,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
