descrip,rev_code,proc_code,units,billed_amount,norm_billed_amount,﻿DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS
0.45NS 1000ML,-100.0,-100.0,1.0,134.65,134.65,,,,
0.45NS 500ML,-100.0,-100.0,1.0,124.3,124.3,,,,
1/2 NORMAL SOD ACETAT 60ML INJ,250.0,-100.0,1.0,1.35,1.35,,,,
2-D ECHO W/ DOPPLER & CONTRAST,-100.0,-100.0,1.0,2432.0,2432.0,,,,
2-D ECHO W/ DOPPLER INTERP,-100.0,-100.0,1.0,723.0,723.0,,,,
2.5MM ETT X_516.25,270.0,-100.0,1.0,29.4,29.4,,,,
242 CYSTIC FIBROSIS STATE-SO+,301.0,-100.0,1.0,12.07,12.07,,,,
242 HEMOGLOBINOPATHY STATE-SO+,301.0,-100.0,1.0,12.05,12.05,,,,
242 MS/MS QNT STATE-SO +,301.0,-100.0,1.0,16.83,16.83,,,,
242 NEWBORN MET SCR STATE-SO+,300.0,-100.0,1.0,0.0,0.0,,,,
242 T4 STATE-SO+,301.0,-100.0,1.0,6.03,6.03,,,,
242 TSH STATE-SO+,301.0,-100.0,1.0,15.65,15.65,,,,
270 TEG,300.0,-100.0,1.0,0.0,0.0,,,,
270 TEG ACTIVATED COAG TIME,305.0,-100.0,1.0,100.0,100.0,,,,
270 TEG FIBRINOGEN ACTIVITY,305.0,-100.0,1.0,137.0,137.0,,,,
270 TEG PLATELET AGGREGATION,305.0,-100.0,1.0,224.0,224.0,,,,
2N-RENAL DIALYSIS INHOUSE,-100.0,-100.0,1.0,1126.0,1126.0,,,,
2ND VENT SET UP,270.0,-100.0,1.0,0.0,0.0,,,,
2SW R/C CHG; ROOM 207/PR,-100.0,-100.0,1.0,906.0,906.0,,,,
2SW R/C CHG; ROOM 232/PR,-100.0,-100.0,1.0,906.0,906.0,,,,
2SW-INFUS HYDRATION ADD 1,260.0,-100.0,24.0,2232.0,93.0,,,,
2SW-INFUS THERAPEUTIC ADD,260.0,-100.0,3.0,279.0,93.0,,,,
2SW-IV PUSH EA AD SEQ SAME MED,260.0,-100.0,2.0,356.0,178.0,,,,
2SW-IV PUSH EA ADD NEW ME,260.0,-100.0,1.0,178.0,178.0,,,,
2SW-SC/IM INJECTION,260.0,-100.0,1.0,99.0,99.0,,,,
ABD,320.0,-100.0,1.0,242.0,242.0,,,,
ABDOMEN,320.0,-100.0,1.0,242.0,242.0,,,,
ABDOMEN 1 VIEWS,-100.0,-100.0,1.0,365.2,365.2,,,,
ABDOMEN(1 VIEW),320.0,-100.0,1.0,432.0,432.0,,,,
ABO COMPATIBLITY EACH UNIT,-100.0,-100.0,1.0,131.6,131.6,,,,
ABO TYPING,-100.0,-100.0,1.0,85.2,85.2,3722.0,ABO TYPING,abo typing,Laboratory
ABORH UNIT CHARGE,300.0,-100.0,1.0,34.0,34.0,,,,
ACETAMINOPHEN 10MG/1ML INJ,252.0,-100.0,76.0,173.3,2.28026315789,6330.0,ACETAMINOPHEN 10MG/1ML INJ,acetaminophen 10 mg/1 ml injection,Pharmacy
ACETAMINOPHEN 10MG/ML 100ML,-100.0,-100.0,29.5,272.725,9.24675287356,,,,
ACETAMINOPHEN 160MG/5ML UD CUP,250.0,-100.0,2.5,15.575,6.4625,6331.0,ACETAMINOPHEN 160MG/5ML UD CUP,acetaminophen 160 mg/5 ml unit dose cup,Pharmacy
ACETAMINOPHEN 160MG/5ML UD SUSP,-100.0,-100.0,1.0,6.4,6.4,,,,
ACETAMINOPHEN 325 MG TAB,999.0,-100.0,2.0,3.0,1.5,2361.0,ACETAMINOPHEN 325 MG TAB,acetaminophen 325_mg tablet,Pharmacy
ACETAMINOPHEN 325MG TAB,250.0,-100.0,6.0,2.5,0.265,2360.0,ACETAMINOPHEN 325MG TAB,acetaminophen 325_mg tablet,Pharmacy
ACETAMINOPHEN 32MG/ML 5ML,250.0,-100.0,1.0,1.46,1.46,,,,
ACETAMINOPHEN 60 MG/1.88,250.0,-100.0,1.0,3.0,3.0,,,,
ACETAMINOPHEN 80MG SUPP,-100.0,-100.0,1.0,6.75,6.75,,,,
ACT,-100.0,-100.0,1.0,103.75,103.75,,,,
ACT CLOTTING TIME CIRCUIT,-100.0,-100.0,1.0,161.7,161.7,,,,
ACT HIGH RANGE,-100.0,-100.0,1.0,169.8,169.8,,,,
ACT PARTIAL THROMBOPLASTN TIME,-100.0,-100.0,1.0,96.6,96.6,,,,
ACTIVASE 2MG SYRINGE; ACTIVASE 2 MG/2 ML VIAL,-100.0,-100.0,3.0,2351.41,783.803333333,,,,
ACTIVATED PTT,305.0,-100.0,1.0,280.0,280.0,,,,
ACUTE HEPATITIS PANEL,301.0,-100.0,1.0,462.0,462.0,6163.0,ACUTE HEPATITIS PANEL,acute hepatitis panel,Laboratory
ACYCLOVIR 200MG CAPSULE; ACYCLOVIR 200 MG CAP,-100.0,-100.0,2.0,7.5,3.75,,,,
ACYCLOVIR 400 MG TAB,999.0,-100.0,1.0,3.0,3.0,,,,
ACYCLOVIR 400MG TABLET,250.0,-100.0,1.0,87.25,87.25,,,,
ACYCLOVIR 800MG TAB,250.0,-100.0,2.0,49.6,24.8,,,,
AEROBIC ISOL AND PRESUMPTIVE ID,-100.0,-100.0,1.0,120.2,120.2,,,,
AEROSOL INHALATION SUBS,410.0,94640,1.0,154.0,154.0,,,,
AEROSOL TX,410.0,-100.0,1.0,228.0,228.0,2275.0,AEROSOL TX,aerosol treatment,Respiratory Therapy
AIRWAY CARE,460.0,94799,1.0,127.0,127.0,1151.0,AIRWAY CARE,airway care,Respiratory Therapy
AIRWAY KIT,270.0,-100.0,1.0,0.0,0.0,6335.0,AIRWAY KIT,airway kit,Supply
ALBUMIN,300.0,-100.0,1.0,51.0,51.0,,,,
ALBUMIN,-100.0,-100.0,1.0,68.8,68.8,,,,
ALBUMIN HUMAN 25% 0.25G/ML 50ML,-100.0,-100.0,1.0,274.4,274.4,,,,
ALBUMIN HUMAN 25% 50ML,-100.0,-100.0,2.0,130.0,65.0,,,,
ALBUTEROL 0.083% 3ML INHALATIO,250.0,-100.0,1.0,46.2,46.2,,,,
ALBUTEROL 2.5 MG /3 ML (0.083%) NEBU,999.0,-100.0,3.0,3.0,1.0,,,,
ALBUTEROL 2.5MG/0.5ML UD INH,250.0,-100.0,2.0,57.2,28.6,6341.0,ALBUTEROL 2.5MG/0.5ML UD INH,albuterol 2.5 mg/0.5 ml ud inhaled,Pharmacy
ALBUTEROL HFA 90 MCG INH,250.0,-100.0,1.0,77.29,77.29,,,,
ALBUTEROL HFA 90 MCG INHALER 18G,-100.0,-100.0,1.0,130.15,130.15,,,,
ALCOHOL PREP PAD,272.0,-100.0,2.0,0.0,0.0,,,,
ALIQUOT FEE,300.0,-100.0,1.0,37.5,37.5,,,,
ALKALINE PHOSPHATASE,300.0,-100.0,1.0,75.0,75.0,3748.0,ALKALINE PHOSPHATASE,alkaline phosphatase,Laboratory
"ALKALINE PHOSPHATASE, SERUM",-100.0,-100.0,1.0,60.7,60.7,,,,
ALLOPURINOL 100 MG TAB,999.0,-100.0,1.0,3.0,3.0,,,,
ALLOPURINOL 300MG TAB,250.0,-100.0,1.0,2.75,2.75,,,,
ALPROSTADIL INJ 500MCG,-100.0,-100.0,1.0,450.2,450.2,,,,
ALT (SGPT),-100.0,-100.0,1.0,69.6,69.6,,,,
ALTEPLASE 1 MG/ML SPEC DIL,-100.0,-100.0,1.0,295.05,295.05,,,,
ALTEPLASE 1.1MG/1.1ML STR,636.0,-100.0,1.0,242.0,242.0,,,,
AMICAR 500MG TABLET; AMINOCAPROIC ACID 500 MG TAB,-100.0,-100.0,1.0,26.0,26.0,,,,
AMINOCA ACID INJ 250MG/ML,-100.0,-100.0,4.0,251.75,62.9375,,,,
AMIODARONE 150 MG/100 ML D5W,-100.0,-100.0,1.0,123.5,123.5,,,,
AMIODARONE INJ 1.5 MG/ML IN D5W,-100.0,-100.0,3.0,219.75,73.25,,,,
AMIODARONE INJ 50MG/ML 3ML,-100.0,-100.0,21.0,249.05,11.8595238095,,,,
AMIODARONE ORAL SUSP (5MG/ML),-100.0,-100.0,2.0,31.95,15.975,,,,
AMLODIP 5MG TB,250.0,-100.0,2.0,1.0,0.5,,,,
AMLODIPINE 2.5 MG/TABLET UDT,-100.0,-100.0,1.0,27.75,27.75,,,,
AMLODIPINE ORAL SUSP (1MG/ML),-100.0,-100.0,3.0,32.1,10.7,,,,
AMOXICILLIN 80MG/ML,-100.0,-100.0,15.0,34.0,2.26666666667,,,,
AMPHOTERICIN B LIPOSOME 50 MG SUSR 1 EACH VIAL,250.0,-100.0,20.0,4114.56,205.728,,,,
AMPICILLIN 100 MG/ML IVP,636.0,-100.0,1.0,16.7,16.7,,,,
AMPICILLIN SOD INJ 500MG,258.0,-100.0,2.0,17.5,8.75,,,,
ANAEROBIC CULTURE,306.0,87075,1.0,46.0,46.0,6348.0,ANAEROBIC CULTURE,anaerobic culture,Laboratory
ANAEROBIC ISOL & PRESUMPTIVE ID,-100.0,-100.0,1.0,159.2,159.2,,,,
ANES 1ST 15 MIN,370.0,-100.0,1.0,250.0,250.0,,,,
ANES-PUMP TUBING,271.0,-100.0,1.0,7.0,7.0,,,,
ANESTHESIA,370.0,-100.0,1.0,180.0,180.0,4711.0,ANESTHESIA,anesthesia,OR / Anesthesia / Recovery Room
ANESTHESIA EA 10 MIN,-100.0,-100.0,29.0,9604.8,327.9,,,,
ANGIOCATH,272.0,-100.0,1.0,3.0,3.0,,,,
ANTACID UD; AL HYDROX/MG HYDROX/SIMETH 30 ML UD,-100.0,-100.0,1.0,6.0,3.725,,,,
ANTI THROMBIN 3 ACTIVITY LEVEL,-100.0,-100.0,1.0,259.3,259.3,,,,
ANTIBODY SCREEN,302.0,-100.0,1.0,189.0,189.0,3764.0,ANTIBODY SCREEN,antibody screen,Laboratory
ANTIBODY SCREEN,-100.0,-100.0,1.0,169.0,169.0,3764.0,ANTIBODY SCREEN,antibody screen,Laboratory
ANTICOAG CITRATE DEXT 1000 ML,-100.0,-100.0,1.0,86.45,86.45,,,,
ANTITHROMBIN III (HUMAN) PER IU,250.0,-100.0,264.0,6117.5,23.1723484848,,,,
ANTITHROMBIN III ANTIGEN LEVEL,-100.0,-100.0,1.0,212.1,212.1,,,,
APAP 325MG/SUPP,-100.0,-100.0,1.0,7.15,7.15,,,,
APAP 500MG/CAPLET UD,-100.0,-100.0,1.0,6.05,6.05,,,,
APAP 80MG/MELTAWAY,-100.0,-100.0,3.0,6.35,2.11666666667,,,,
APL LEUKOREDUCED IRRADIATE,390.0,-100.0,1.0,911.0,911.0,,,,
APL VARIABLE CONTENT LEUK,390.0,-100.0,1.0,911.0,911.0,,,,
ARGININE ORAL USE 100MG/ML,-100.0,-100.0,3.0,33.75,11.25,,,,
ASA 81MG TB,250.0,-100.0,1.0,0.25,0.25,,,,
"ASCORBIC ACID 1,000MG/10ML SOL",250.0,-100.0,1.5,4.425,2.95,,,,
ASCORBIC ACID 100MG/1ML ORAL SOL,250.0,-100.0,3.0,13.95,4.65,,,,
ASCORBIC ACID 500MG TAB,250.0,-100.0,3.0,4.305,1.435,,,,
ASCORBIC ACID 500MG/ML INJ (AD,250.0,-100.0,6.0,255.84,42.64,,,,
ASCORBIC ACID LIQ 100MG/ML 120ML,-100.0,-100.0,1.0,6.05,6.05,,,,
ASPIRIN 81 MG/CHEW TAB UD,-100.0,-100.0,1.0,6.05,6.05,,,,
ASPIRIN 81 MG/CHEW TAB UDT,-100.0,-100.0,1.0,6.05,6.05,,,,
ASPIRIN 81MG EC TABLET,250.0,-100.0,1.0,1.0,1.0,,,,
ASSIGNED PEDIATRIC MINI 1 UNIT,-100.0,-100.0,1.0,1228.7,1228.7,,,,
AST (SGOT),-100.0,-100.0,1.0,64.2,64.2,,,,
AT3 ACTIVITY,305.0,-100.0,1.0,316.0,316.0,,,,
ATOVAQUONE 750 MG/5 ML SUSP,999.0,-100.0,5.0,163.14,32.628,,,,
ATROPINE 0.4 MG/ML SOV 1ML; ATROPINE SULFATE 0.4 MG/ML ML,-100.0,-100.0,1.0,23.21,23.21,,,,
ATROPINE 1MG/10ML INJ (EMERG),250.0,-100.0,0.0,0.0,,,,,
AUTOMATED CBC AND AUTO WBC COUNT,305.0,-100.0,1.0,134.0,134.0,6359.0,AUTOMATED CBC AND AUTO WBC COUNT,automated complete_blood_count and automated white blood count count,Laboratory
AWAY FROM LAB,480.0,-100.0,1.0,0.0,0.0,,,,
AZITHROMYCIN 600 MG TAB,999.0,-100.0,2.0,23.84,11.92,,,,
B NATURIETIC PEPTIDE,301.0,83880,1.0,250.5,250.5,,,,
B TYPE NATRIURETIC PEPTIDE,-100.0,-100.0,1.0,262.9,262.9,,,,
BABY ASPIRIN 81 MG UD; ASPIRIN 81 MG CHEWTAB,-100.0,-100.0,1.0,0.25,0.25,,,,
BACITRACIN OINT 1OZ,-100.0,-100.0,1.0,8.9,8.9,,,,
BACITRACIN OINT 28.4G,250.0,-100.0,1.0,67.95,67.95,,,,
BACTERIAL CULTURE URINE,-100.0,-100.0,1.0,111.8,111.8,,,,
BACTERIAL ID (NON-URINE),306.0,-100.0,1.0,90.0,90.0,,,,
BARIUM ENEMA,320.0,-100.0,1.0,1117.0,1117.0,,,,
BASE CHARGE,420.0,-100.0,1.0,0.0,0.0,2311.0,BASE CHARGE,base charge,OR / Anesthesia / Recovery Room
BASE FLUID *QS* INJ,250.0,-100.0,3.0,0.0,0.0,,,,
BASIC METABOLIC PANEL,300.0,-100.0,1.0,145.0,145.0,655.0,BASIC METABOLIC PANEL,basic metabolic panel,Laboratory
BASIC METABOLIC PANEL,301.0,-100.0,1.0,250.0,250.0,655.0,BASIC METABOLIC PANEL,basic metabolic panel,Laboratory
BASIC METABOLIC PANEL,301.0,80048,1.0,65.0,65.0,655.0,BASIC METABOLIC PANEL,basic metabolic panel,Laboratory
BASIC METABOLIC PANEL,-100.0,-100.0,1.0,164.5,164.5,655.0,BASIC METABOLIC PANEL,basic metabolic panel,Laboratory
BD SAFETYGLIDE TB 1 ML SYR,-100.0,-100.0,12.0,10.05,0.8375,,,,
BICITRA ORAL SOLUTION,251.0,-100.0,5.0,55.2,11.04,,,,
"BILIRUBIN, CONJUGATED",301.0,-100.0,-1.0,-120.0,120.0,,,,
"BILIRUBIN, CONJUGATED",-100.0,-100.0,1.0,59.3,59.3,,,,
"BILIRUBIN, UNCONJUGATED",-100.0,-100.0,1.0,83.1,83.1,,,,
BILL STAPH L,300.0,-100.0,1.0,56.0,56.0,,,,
BIPAP/CPAP PER DAY,-100.0,-100.0,1.0,1660.7,1660.7,,,,
BLOOD CULTURE,306.0,-100.0,1.0,312.0,312.0,6376.0,BLOOD CULTURE,blood culture,Laboratory
BLOOD CULTURE,-100.0,-100.0,1.0,289.3,289.3,6376.0,BLOOD CULTURE,blood culture,Laboratory
BLOOD DRAW,-100.0,-100.0,1.0,23.75,23.75,,,,
"BLOOD GAS, ARTERIAL",-100.0,-100.0,1.0,208.7,208.7,,,,
"BLOOD GAS, CAPILLARY",-100.0,-100.0,1.0,219.2,219.2,,,,
"BLOOD GAS, VENOUS",-100.0,-100.0,1.0,219.2,219.2,,,,
BLOOD GASES,300.0,-100.0,1.0,211.0,211.0,6380.0,BLOOD GASES,blood gases,Laboratory
BLOOD GASES CAPILLARY,300.0,-100.0,1.0,211.0,211.0,,,,
BLOOD TYPING ABO,302.0,-100.0,1.0,67.25,67.25,,,,
BLOOD TYPING ABO,-100.0,-100.0,1.0,76.25,76.25,,,,
BLOOD TYPING ABO 2ND SMP P,302.0,-100.0,1.0,0.0,0.0,,,,
BLOOD TYPING RH (D),-100.0,-100.0,1.0,76.25,76.25,,,,
BONE MARROW CELL COUNT P10,305.0,-100.0,1.0,398.0,398.0,,,,
BORTEZOMIB 1 MG/ML,-100.0,-100.0,12.0,5727.75,477.3125,,,,
BOTTLE BREAST MILK 4OZ (,270.0,-100.0,2.0,42.0,21.0,,,,
BREASTSHIELD PER. FIT 2,271.0,-100.0,1.0,42.8,42.8,,,,
BREASTSHIELD PER. FIT 24,270.0,-100.0,1.0,42.8,42.8,,,,
BRETSCHNEIDER HTK SOL 1000ML,-100.0,-100.0,1.0,782.95,782.95,,,,
BRILINTA 90 MG TAB; TICAGRELOR BASE 90 MG TAB,-100.0,-100.0,2.0,71.79,35.895,,,,
BROMOCRIPTINE 2.5MG TABLET,251.0,-100.0,1.0,15.25,15.25,,,,
BUBBLE BOTTLE X_003-40,270.0,-100.0,1.0,11.8,11.8,,,,
BUDESONIDE 0.5MG/2ML NEB,250.0,-100.0,1.0,63.8,63.8,6386.0,BUDESONIDE 0.5MG/2ML NEB,budesonide 0.5 mg/2 ml nebulizer,Pharmacy
BUMETAN 1MG VL,250.0,-100.0,1.0,12.25,12.25,,,,
C REACTIVE PROTEIN (CRP),302.0,86140,1.0,29.0,29.0,3797.0,C REACTIVE PROTEIN (CRP),reactive protein c_reactive_protein,Laboratory
C-REACTIVE PROTEIN,-100.0,-100.0,1.0,103.4,103.4,2897.0,C-REACTIVE PROTEIN,c-reactive protein,Laboratory
CA CARBONA TUMS 1000MG/TAB,-100.0,-100.0,1.0,6.1,6.1,,,,
CA CARBONATE TUMS 500MG/TAB UD,-100.0,-100.0,1.0,6.15,6.15,,,,
CA CHLORIDE INJ 100MG/ML,-100.0,-100.0,1.0,61.7,61.7,,,,
CACARBONATUMS 1000MG/TAB,-100.0,-100.0,1.0,6.1,6.1,,,,
CAD HEART STND ACQ CHARGE,-100.0,-100.0,1.0,150000.0,150000.0,,,,
CADDY SXN LITTLE SUCKER,270.0,-100.0,1.0,11.0,11.0,,,,
CAFFEINE 200MG TAB,250.0,-100.0,1.0,5.67,5.67,,,,
CAFFEINE CITRATE 60 MG/3,250.0,-100.0,1.0,39.6,39.6,,,,
CAFFEINE CITRATE 60 MG/3,636.0,-100.0,12.0,322.1,26.8416666667,,,,
CALCIUM CARBONATE 100MG/ML SUSP,251.0,-100.0,5.0,55.15,11.03,,,,
CALCIUM CHLORIDE (10MG/ML),-100.0,-100.0,1.0,219.9,219.9,,,,
CALCIUM GLUCONATE 100 MG/ML (10%) SOLN 10 ML VIAL,250.0,-100.0,1.0,24.18,24.18,,,,
CALCIUM GLUCONATE 100 MG/ML (10%) SOLN 100 ML VIAL,250.0,-100.0,20.0,124.8,6.24,,,,
"CALCIUM, IONIZED",301.0,-100.0,1.0,209.0,209.0,,,,
"CALCIUM, SERUM",-100.0,-100.0,1.0,60.7,60.7,,,,
CALFACTANT 35MG/ML 3ML,250.0,-100.0,1.0,820.4,820.4,,,,
CANNULA NASAL INFANT X_0,270.0,-100.0,1.0,6.2,6.2,,,,
CANNULA RAM NEWBORN X_N4,270.0,-100.0,1.0,66.5,66.5,,,,
CAPTOPRIL ORAL SOLUTION 1MG/ML,-100.0,-100.0,2.0,32.35,16.175,,,,
CARDIOPULMONARY REHAB IP E,943.0,-100.0,1.0,0.0,0.0,,,,
CARDIOPULMONARY REHAB IP I,943.0,-100.0,1.0,0.0,0.0,,,,
CARVEDILOL 3.125 MG TAB,999.0,-100.0,1.0,3.0,3.0,913.0,CARVEDILOL 3.125 MG TAB,carvedilol 3.125_mg tablet,Pharmacy
CARVEDILOL SUSP 1MG/ML,-100.0,-100.0,1.0,31.95,31.95,,,,
CATH BAL APEX & EMERGE OTW / MR,-100.0,-100.0,1.0,1182.0,1182.0,,,,
CATH BAL CHARG OTW,-100.0,-100.0,1.0,1313.0,1313.0,,,,
CATH BAL NC QUANTUM APEX,-100.0,-100.0,1.0,1182.0,1182.0,,,,
