descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
(CONTRAST) BARIUM SULFATE	Pharmacy	1.0	45.48	45.48	contrast barium sulfate	Pharmacy
(CONTRAST) GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	Pharmacy	2.0	176.06	88.03	contrast gadofosveset 0.25 mmol/ml solution 10_ml	Pharmacy
(CONTRAST) IODIXANOL 320 MG IODINE/ML SOLN 50 M	Pharmacy	50.0	245.07	4.9014	contrast iodixanol 320_mg iodine/ml solution 50 m	Pharmacy
(CONTRAST) IOHEXOL 300 MG/	Pharmacy	50.0	246.08	4.9216	contrast iohexol 300_mg/	Pharmacy
(CONTRAST) IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	Pharmacy	50.0	235.365	4.7072	contrast iohexol 300_mg/ml solution 50_ml bottle	Pharmacy
(CONTRAST) IOHEXOL 350 MG/	Pharmacy	25.5	140.17	19.115	contrast iohexol 350_mg/	Pharmacy
(CONTRAST) IOTHALAMATE MEG	Pharmacy	250.0	202.72	0.81088	contrast iothalamate meg	Pharmacy
(CONTRAST) IOTHALAMATE MEGLUMINE 17.2% SOLN 250	Pharmacy	250.0	192.93	0.77172	contrast iothalamate meglumine 17.2% solution 250	Pharmacy
*ALBUMIN SERUM	Laboratory	1.0	74.0	74.0	albumin serum	Laboratory
*AST SGOT	Laboratory	1.0	73.0	73.0	aspartate_aminotransferase_test serum_glutamic_oxaloacetic_transaminase	Laboratory
*CBC AUTOMATED WO DIFF	Laboratory	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory
*CBC W AUTO DIFF	Laboratory	1.0	98.0	98.0	complete_blood_count with automated differential	Laboratory
*COMPREHENSIVE METABOLIC PANEL	Laboratory	1.0	283.0	283.0	comprehensive metabolic panel	Laboratory
*CULTURE AEROBIC ONLY	Laboratory	1.0	164.0	164.0	culture aerobic only	Laboratory
*HEMOGLOBIN A1C GLYCATED	Laboratory	1.0	114.0	114.0	hemoglobin a1c glycated	Laboratory
*IRON BINDING CAPACITY	Laboratory	1.0	100.0	100.0	iron binding capacity	Laboratory
*IRON SERUM	Laboratory	1.0	92.0	92.0	iron serum	Laboratory
*PTT PARTIAL THROMBOPLASTIN TIME	Laboratory	1.0	96.0	96.0	partial_prothrombaplastin_time partial thromboplastin time	Laboratory
*URINALYSIS AUTOMATED W/O MICRO	Laboratory	1.0	44.0	44.0	urinalysis automated without miscroscopic	Laboratory
.9% NACL 500ML	Pharmacy	1.0	3.63	3.43	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant
0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	Drugs Requiring Specific Identification	1.0	31.8	31.8	0.9% sodium_chloride 0.9% solution 50_ml flex cont	Diluent / Flush / Irrigant
0.9% NACL 0.9% SOLN	Drugs Requiring Specific Identification	1.0	31.8	31.8	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant
0.9% NACL 0.9% SOLN	Pharmacy	1.0	16.5	8.25	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant
0.9% NACL 100ML	Pharmacy	1.0	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant
0.9% NACL 250ML	Pharmacy	1.0	8.7	8.7	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant
0.9% SODIUM CHLORIDE 0.9 % SOLN	Pharmacy	1.0	152.75	152.75	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	Pharmacy	1.0	61.5	61.5	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant
014 CHIKAI WIRE	Implant/Supply	1.0	1727.65	1727.65	014 chikai wire	Supply
