descrip	rev_code	proc_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
(CONTRAST) BARIUM SULFATE	250.0	None	1.0	50.675	50.675	contrast barium sulfate	Pharmacy
(CONTRAST) BARIUM SULFATE	255.0	None	1.0	45.48	45.48	contrast barium sulfate	Pharmacy
(CONTRAST) GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	255.0	None	2.0	176.06	88.03	contrast gadofosveset 0.25 mmol/ml solution 10_ml	Pharmacy
(CONTRAST) IODIXANOL 320 MG IODINE/ML SOLN 50 M	255.0	None	50.0	245.07	4.9014	contrast iodixanol 320_mg iodine/ml solution 50 m	Pharmacy
(CONTRAST) IOHEXOL 300 MG/	255.0	None	50.0	246.08	4.9216	contrast iohexol 300_mg/	Pharmacy
(CONTRAST) IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	255.0	6111255	50.0	235.36	4.7072	contrast iohexol 300_mg/ml solution 50_ml bottle	Pharmacy
(CONTRAST) IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	255.0	None	50.0	235.37	4.7072	contrast iohexol 300_mg/ml solution 50_ml bottle	Pharmacy
(CONTRAST) IOHEXOL 350 MG/	255.0	None	25.5	140.17	19.115	contrast iohexol 350_mg/	Pharmacy
(CONTRAST) IOTHALAMATE MEG	255.0	None	250.0	202.72	0.81088	contrast iothalamate meg	Pharmacy
(CONTRAST) IOTHALAMATE MEGLUMINE 17.2% SOLN 250	255.0	None	250.0	192.93	0.77172	contrast iothalamate meglumine 17.2% solution 250	Pharmacy
*ALBUMIN SERUM	301.0	None	1.0	74.0	74.0	albumin serum	Laboratory
*AST SGOT	301.0	None	1.0	73.0	73.0	aspartate_aminotransferase_test serum_glutamic_oxaloacetic_transaminase	Laboratory
*CBC AUTOMATED WO DIFF	305.0	800000887	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory
*CBC AUTOMATED WO DIFF	305.0	None	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory
*CBC AUTOMATED WO DIFF	309.0	None	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory
*CBC W AUTO DIFF	305.0	None	1.0	98.0	98.0	complete_blood_count with automated differential	Laboratory
*COMPREHENSIVE METABOLIC PANEL	301.0	800000006	1.0	283.0	283.0	comprehensive metabolic panel	Laboratory
*COMPREHENSIVE METABOLIC PANEL	301.0	None	1.0	283.0	283.0	comprehensive metabolic panel	Laboratory
*CULTURE AEROBIC ONLY	306.0	800002820	1.0	147.0	147.0	culture aerobic only	Laboratory
*CULTURE AEROBIC ONLY	306.0	None	1.0	164.0	164.0	culture aerobic only	Laboratory
