Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4
6033,SET GRAVITY 20DRP CK VLV VNT,set gravity 20_drop check valve vent,Supply,ONLINE,2016-08-24,set,vlv,,
5969,THER EXERCISE 15 MIN OT,therapist exercise 15_minutes occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,occupational_therapy,therapist,minutes,exercise
5453,ASPIRIN 81 MG CHEW TAB,aspirin 81_mg chew tablet,Pharmacy,RETROSPECTIVE,2016-07-13,chew,81_mg,tablet,aspirin
4868,VECURONIUM BR 10MG INJ,vecuronium bromide 10_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,injection,vecuronium,br,10_mg
4348,27417600 - CT ABD/PELVIS W/O CONTRAST,computed_tomography abdomen/pelvis without contrast,Radiology,RETROSPECTIVE,2016-07-13,computed_tomography,without,abdomen,
2553,DAPTOMYCIN INJ 1MG,daptomycin injection 1_mg,Pharmacy,RETROSPECTIVE,2016-07-12,1_mg,injection,daptomycin,
6637,HCHG CROSSMATCH IMMED SPIN,crossmatch immed spine,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,spine,crossmatch,immed,
4184,FERROUS SULFATE 325 (65,ferrous sulfate 325 65,Pharmacy,RETROSPECTIVE,2016-07-12,ferrous,sulfate, ,
4393,63601000 - EXTRA TUBE STATISTICAL CDM,extra tube statistical cdm,Laboratory,RETROSPECTIVE,2016-07-13,cdm,tube,statistical,extra
2624,LORAZEPAM O/S 2MG/ML UD,lorazepam oxygen/sigma 2_mg/ml ud,Pharmacy,RETROSPECTIVE,2016-07-12,lorazepam,udi,2_mg/ml,oxygen
5283,63101001 - SODIUM URINE,sodium urine,Laboratory,RETROSPECTIVE,2016-07-13,urine,sodium,,
3703,EQ PUMP KANGROO FEEDING,equipment pump kangaroo feeding,Capital Equipment,RETROSPECTIVE,2016-07-12,eq,pump,feeding,kangroo
1556,RAD S&I FOR LONG GI TUBE,radiology s&i for long gastrointestinal tube,Radiology,ONLINE,2016-09-19,tube,radiology,,
2985,HB ADAPTER CIRCT W/O SX PRT DL,adapter circuit without suction port double_lumen,Supply,RETROSPECTIVE,2016-07-12,circuit,adapter,without,dual
2546,CHLOROTHIAZIDE 250 MG/5 ML SUSP[9525],chlorothiazide 250_mg/5_ml suspension 9525,Pharmacy,RETROSPECTIVE,2016-07-12,chlorothiazide,250_mg/5_ml,suspension,
5224,15700002 - WARFARIN SODIUM TABLET 10MG,warfarin sodium tablet 10_mg,Pharmacy,RETROSPECTIVE,2016-07-13,10_mg,warfarin,tablet,sodium
629,HC PRIVATE ROOM AND CARE,private room and care,Room and Board,ONLINE,2016-09-16,room,private,care,
