DESC_ID	ORIG_DESC	NORM_DESC	CHRG_CLS	FLAG	CREATE_DT	FTR1	FTR2	FTR3	FTR4
1	ALARIS 8100 LVP MOD	alaris 8100 lvp module	Capital Equipment	RETROSPECTIVE	2016-07-12	alaris	lvp	module	NULL
2	ALARIS PCU PUMP	alaris pump_control_unit pump	Capital Equipment	RETROSPECTIVE	2016-07-12	PCU	pump	alaris	NULL
3	ALARIS PUMP I	alaris pump i	Capital Equipment	RETROSPECTIVE	2016-07-12	pump	alaris	NULL	NULL
4	ALARIS PUMP IV	alaris pump intravenous	Capital Equipment	RETROSPECTIVE	2016-07-12	pump	alaris	intravenous	NULL
5	ALARIS PUMP IV ARM	alaris pump intravenous arm	Capital Equipment	RETROSPECTIVE	2016-07-12	pump	alaris	intravenous	arm
6	BED BARIATRIC	bed bariatric	Capital Equipment	RETROSPECTIVE	2016-07-12	bariatric	bed	NULL	NULL
7	BED BARIMAX RNTL	bed barimax rental	Capital Equipment	RETROSPECTIVE	2016-07-12	barimax	rental	bed	NULL
8	BED DOLPHIN MATTRESS KCI RNTL	bed dolphin mattress kinetic_concept_inc rental	Capital Equipment	RETROSPECTIVE	2016-07-12	rental	bed	mattress	NULL
9	BED LOW AIR LOSS	bed low air loss	Capital Equipment	RETROSPECTIVE	2016-07-12	loss	low	bed	air
10	DUAL INF PUMP-SIGNATURE GOLD	dual infusion pump signature gold	Capital Equipment	RETROSPECTIVE	2016-07-12	pump	infusion	dual	signature
11	DUAL LINE PUMP	dual line pump	Capital Equipment	RETROSPECTIVE	2016-07-12	line	pump	dual	NULL
12	ENT FEED PUMP	enternal feed pump	Capital Equipment	RETROSPECTIVE	2016-07-12	feed	pump	enternal	NULL
13	ENTERAL FEEDING PUMP	enteral feeding pump	Capital Equipment	RETROSPECTIVE	2016-07-12	pump	feeding	enteral	NULL
14	EQ BILILITE	equipment bililite	Capital Equipment	RETROSPECTIVE	2016-07-12	equipment	bililite	NULL	NULL
15	EQ MATTRESS LOW AIR LOSS EN	equipment mattress low air loss envision	Capital Equipment	RETROSPECTIVE	2016-07-12	equipment	air	loss	low
16	EQ PUMP  KANGROO FEEDING	equipment pump kangaroo feeding	Capital Equipment	RETROSPECTIVE	2016-07-12	equipment	pump	feeding	kangaroo
17	EQ PUMP  PCU ALARIS(BRAIN)	equipment pump pump_control_unit alaris brain	Capital Equipment	RETROSPECTIVE	2016-07-12	equipment	pump	PCU	alaris
18	EQ PUMP  SYRINGE	equipment pump syringe	Capital Equipment	RETROSPECTIVE	2016-07-12	syringe	equipment	pump	NULL
19	EQ PUMP SYRINGE	equipment pump syringe	Capital Equipment	RETROSPECTIVE	2016-07-12	syringe	equipment	pump	NULL
20	EQ SEQ COMPRESSOR	equipment sequence compressor	Capital Equipment	RETROSPECTIVE	2016-07-12	equipment	compressor	sequence	NULL
21	EQ-JOBST ATHROMBIC PUMP	equipment jobst athrombic pump	Capital Equipment	RETROSPECTIVE	2016-07-12	jobst	equipment	pump	antithrombic
22	EQ-KANGAROO PUMP	equipment kangaroo pump	Capital Equipment	RETROSPECTIVE	2016-07-12	equipment	kangaroo	pump	NULL
23	FEEDING PUMP	feeding pump	Capital Equipment	RETROSPECTIVE	2016-07-12	pump	feeding	NULL	NULL
24	ASCORBIC ACID 250MG TAB	ascorbic acid 250_mg tablet	Pharmacy	RETROSPECTIVE	2016-07-12	250_mg	acid	tablet	ascorbic
25	H PUMP INFUSION DAILY	pump infusion daily	Capital Equipment	RETROSPECTIVE	2016-07-12	pump	infusion	daily	NULL
