descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	billed_categories	units_categories
*ALBUMIN SERUM	 ALBUMIN SERUM	Laboratory	1.0	74.0	74.0	albumin serum	Laboratory	(61, 92]	Units <= 1
*AST  SGOT	 AST SGOT	Laboratory	1.0	73.0	73.0	aspartate_aminotransferase_test serum_glutamic_oxaloacetic_transaminase	Laboratory	(61, 92]	Units <= 1
(BC 10144) CHLORIDE, OTHER	 BC 10144 CHLORIDE OTHER	Laboratory	1.0	139.0	139.0	bc 10144 chloride other	Laboratory	(92, 287]	Units <= 1
(BC 10144) SWEAT COLLECTION	 BC 10144 SWEAT COLLECTION	Laboratory	1.0	455.0	455.0	bc 10144 sweat collection	Laboratory	(287, 641]	Units <= 1
*CBC  AUTOMATED   WO DIFF	 CBC AUTOMATED WO DIFF	Laboratory	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory	(61, 92]	Units <= 1
*'CBC W AUTO DIFF	 CBC W AUTO DIFF	Laboratory	1.0	98.0	98.0	complete_blood_count with automated differential	Laboratory	(92, 287]	Units <= 1
*COMPREHENSIVE     METABOLIC   PANEL	 COMPREHENSIVE METABOLIC PANEL	Laboratory	1.0	283.0	283.0	comprehensive metabolic panel	Laboratory	(92, 287]	Units <= 1
(CONTRAST) BARIUM SULFATE	 CONTRAST BARIUM SULFATE	Pharmacy	1.0	45.48	45.48	contrast barium sulfate	Pharmacy	(41, 61]	Units <= 1
(CONTRAST) GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	 CONTRAST GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	Pharmacy	2.0	176.06	88.03	contrast gadofosveset 0.25 mmol/ml solution 10_ml	Pharmacy	(61, 92]	Units > 1
(CONTRAST) IODIXANOL 320 MG IODINE/ML SOLN 50 M	 CONTRAST IODIXANOL 320 MG IODINE/ML SOLN 50 M	Pharmacy	50.0	245.07	4.9014	contrast iodixanol 320_mg iodine/ml solution 50 m	Pharmacy	(4, 17]	Units > 1
(CONTRAST) IOHEXOL 300 MG/	 CONTRAST IOHEXOL 300 MG/	Pharmacy	50.0	246.08	4.9216	contrast iohexol 300_mg/	Pharmacy	(4, 17]	Units > 1
(CONTRAST) IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	 CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	Pharmacy	50.0	235.365	4.7072	contrast iohexol 300_mg/ml solution 50_ml bottle	Pharmacy	(4, 17]	Units > 1
(CONTRAST) IOHEXOL 350 MG/	 CONTRAST IOHEXOL 350 MG/	Pharmacy	25.5	140.17	19.115	contrast iohexol 350_mg/	Pharmacy	(17, 41]	Units > 1
(CONTRAST) IOTHALAMATE MEG	 CONTRAST IOTHALAMATE MEG	Pharmacy	250.0	202.72	0.81088	contrast iothalamate meg	Pharmacy	(0, 4]	Units > 1
(CONTRAST) IOTHALAMATE MEGLUMINE 17.2% SOLN 250	 CONTRAST IOTHALAMATE MEGLUMINE 17.2% SOLN 250	Pharmacy	250.0	192.93	0.77172	contrast iothalamate meglumine 17.2% solution 250	Pharmacy	(0, 4]	Units > 1
*CULTURE  AEROBIC  ONLY	 CULTURE AEROBIC ONLY	Laboratory	1.0	164.0	164.0	culture aerobic only	Laboratory	(92, 287]	Units <= 1
*HEMOGLOBIN    A1C  GLYCATED	 HEMOGLOBIN A1C GLYCATED	Laboratory	1.0	114.0	114.0	hemoglobin a1c glycated	Laboratory	(92, 287]	Units <= 1
*IRON  BINDING  CAPACITY	 IRON BINDING CAPACITY	Laboratory	1.0	100.0	100.0	iron binding capacity	Laboratory	(92, 287]	Units <= 1
*IRON  SERUM	 IRON SERUM	Laboratory	1.0	92.0	92.0	iron serum	Laboratory	(61, 92]	Units <= 1
(MISCELLANEOUS TESTING)	 MISCELLANEOUS TESTING 	Laboratory	1.0	0.0	0.0	miscellaneous testing	Laboratory	(-10, 0]	Units <= 1
*PTT  PARTIAL  THROMBOPLASTIN    TIME	 PTT PARTIAL THROMBOPLASTIN TIME	Laboratory	1.0	96.0	96.0	partial_prothrombaplastin_time partial thromboplastin time	Laboratory	(92, 287]	Units <= 1
*URINALYSIS AUTOMATED W/O MICRO	 URINALYSIS AUTOMATED W/O MICRO	Laboratory	1.0	44.0	44.0	urinalysis automated without miscroscopic	Laboratory	(41, 61]	Units <= 1
.9% NACL 500ML	.9% NACL 500ML	IV Solutions	1.0	3.63	2.89	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant	(0, 4]	Units <= 1
.9% NACL 500ML	.9% NACL 500ML	Pharmacy	1.0	3.63	3.63	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant	(0, 4]	Units <= 1
0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	Drugs Requiring Detailed Coding	1.0	31.8	31.8	0.9% sodium_chloride 0.9% solution 50_ml flex cont	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	Drugs Requiring Detailed Coding	1.0	31.8	31.8	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	IV Solutions	1.0	83.0	83.0	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	(61, 92]	Units <= 1
