descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
*ALBUMIN SERUM	 ALBUMIN SERUM	Laboratory	1	74	74	albumin serum	Laboratory
*AST  SGOT	 AST SGOT	Laboratory	1	73	73	aspartate_aminotransferase_test serum_glutamic_oxaloacetic_transaminase	Laboratory
"(BC 10144) CHLORIDE, OTHER"	 BC 10144 CHLORIDE OTHER	Laboratory	1	139	139	bc 10144 chloride other	Laboratory
(BC 10144) SWEAT COLLECTION	 BC 10144 SWEAT COLLECTION	Laboratory	1	455	455	bc 10144 sweat collection	Laboratory
*CBC  AUTOMATED   WO DIFF	 CBC AUTOMATED WO DIFF	Laboratory	1	88	88	complete_blood_count automated without differential	Laboratory
*'CBC W AUTO DIFF	 CBC W AUTO DIFF	Laboratory	1	98	98	complete_blood_count with automated differential	Laboratory
*COMPREHENSIVE     METABOLIC   PANEL	 COMPREHENSIVE METABOLIC PANEL	Laboratory	1	283	283	comprehensive metabolic panel	Laboratory
(CONTRAST) BARIUM SULFATE	 CONTRAST BARIUM SULFATE	Pharmacy	1	45.48	45.48	contrast barium sulfate	Pharmacy
(CONTRAST) GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	 CONTRAST GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	Pharmacy	2	176.06	88.03	contrast gadofosveset 0.25 mmol/ml solution 10_ml	Pharmacy
(CONTRAST) IODIXANOL 320 MG IODINE/ML SOLN 50 M	 CONTRAST IODIXANOL 320 MG IODINE/ML SOLN 50 M	Pharmacy	50	245.07	4.9014	contrast iodixanol 320_mg iodine/ml solution 50 m	Pharmacy
(CONTRAST) IOHEXOL 300 MG/	 CONTRAST IOHEXOL 300 MG/	Pharmacy	50	246.08	4.9216	contrast iohexol 300_mg/	Pharmacy
(CONTRAST) IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	 CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	Pharmacy	50	235.365	4.7072	contrast iohexol 300_mg/ml solution 50_ml bottle	Pharmacy
(CONTRAST) IOHEXOL 350 MG/	 CONTRAST IOHEXOL 350 MG/	Pharmacy	25.5	140.17	19.115	contrast iohexol 350_mg/	Pharmacy
(CONTRAST) IOTHALAMATE MEG	 CONTRAST IOTHALAMATE MEG	Pharmacy	250	202.72	0.81088	contrast iothalamate meg	Pharmacy
(CONTRAST) IOTHALAMATE MEGLUMINE 17.2% SOLN 250	 CONTRAST IOTHALAMATE MEGLUMINE 17.2% SOLN 250	Pharmacy	250	192.93	0.77172	contrast iothalamate meglumine 17.2% solution 250	Pharmacy
*CULTURE  AEROBIC  ONLY	 CULTURE AEROBIC ONLY	Laboratory	1	164	164	culture aerobic only	Laboratory
*HEMOGLOBIN    A1C  GLYCATED	 HEMOGLOBIN A1C GLYCATED	Laboratory	1	114	114	hemoglobin a1c glycated	Laboratory
*IRON  BINDING  CAPACITY	 IRON BINDING CAPACITY	Laboratory	1	100	100	iron binding capacity	Laboratory
*IRON  SERUM	 IRON SERUM	Laboratory	1	92	92	iron serum	Laboratory
(MISCELLANEOUS TESTING)	 MISCELLANEOUS TESTING 	Laboratory	1	0	0	miscellaneous testing	Laboratory
