descrip	cleaned_descrip	rev_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	Dominant CC	# of descriptions	% Dominance
*ALBUMIN-SERUM	 ALBUMIN SERUM	300.0	1.0	63.0	63.0	albumin serum	Laboratory	Laboratory	1097.0	79.1248860529
*ALBUMIN SERUM	 ALBUMIN SERUM	301.0	1.0	74.0	74.0	albumin serum	Laboratory	Laboratory	924.0	79.2207792208
*AST  SGOT	 AST SGOT	301.0	1.0	73.0	73.0	aspartate_aminotransferase_test serum_glutamic_oxaloacetic_transaminase	Laboratory	Laboratory	924.0	79.2207792208
(BC 10144) CHLORIDE, OTHER	 BC 10144 CHLORIDE OTHER	301.0	1.0	139.0	139.0	bc 10144 chloride other	Laboratory	Laboratory	924.0	79.2207792208
(BC 10144) SWEAT COLLECTION	 BC 10144 SWEAT COLLECTION	300.0	1.0	455.0	455.0	bc 10144 sweat collection	Laboratory	Laboratory	1097.0	79.1248860529
*CBC  AUTOMATED   WO DIFF	 CBC AUTOMATED WO DIFF	305.0	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory	Laboratory	271.0	92.6199261993
*CBC AUTOMATED WO DIFF	 CBC AUTOMATED WO DIFF	309.0	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory	Laboratory	55.0	81.8181818182
*'CBC W AUTO DIFF	 CBC W AUTO DIFF	305.0	1.0	98.0	98.0	complete_blood_count with automated differential	Laboratory	Laboratory	271.0	92.6199261993
*COMPREHENSIVE     METABOLIC   PANEL	 COMPREHENSIVE METABOLIC PANEL	301.0	1.0	283.0	283.0	comprehensive metabolic panel	Laboratory	Laboratory	924.0	79.2207792208
(CONTRAST) BARIUM SULFATE	 CONTRAST BARIUM SULFATE	250.0	1.0	50.675	50.675	contrast barium sulfate	Pharmacy	Pharmacy	2692.0	76.0401188707
(CONTRAST) BARIUM SULFATE	 CONTRAST BARIUM SULFATE	255.0	1.0	45.48	45.48	contrast barium sulfate	Pharmacy	Pharmacy	19.0	89.4736842105
(CONTRAST) GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	 CONTRAST GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	255.0	2.0	176.06	88.03	contrast gadofosveset 0.25 mmol/ml solution 10_ml	Pharmacy	Pharmacy	19.0	89.4736842105
(CONTRAST) IODIXANOL 320 MG IODINE/ML SOLN 50 M	 CONTRAST IODIXANOL 320 MG IODINE/ML SOLN 50 M	255.0	50.0	245.07	4.9014	contrast iodixanol 320_mg iodine/ml solution 50 m	Pharmacy	Pharmacy	19.0	89.4736842105
(CONTRAST) IOHEXOL 300 MG/	 CONTRAST IOHEXOL 300 MG/	255.0	50.0	246.08	4.9216	contrast iohexol 300_mg/	Pharmacy	Pharmacy	19.0	89.4736842105
(CONTRAST) IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	 CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	255.0	50.0	235.365	4.7072	contrast iohexol 300_mg/ml solution 50_ml bottle	Pharmacy	Pharmacy	19.0	89.4736842105
(CONTRAST) IOHEXOL 350 MG/	 CONTRAST IOHEXOL 350 MG/	255.0	25.5	140.17	19.115	contrast iohexol 350_mg/	Pharmacy	Pharmacy	19.0	89.4736842105
(CONTRAST) IOTHALAMATE MEG	 CONTRAST IOTHALAMATE MEG	255.0	250.0	202.72	0.81088	contrast iothalamate meg	Pharmacy	Pharmacy	19.0	89.4736842105
(CONTRAST) IOTHALAMATE MEGLUMINE 17.2% SOLN 250	 CONTRAST IOTHALAMATE MEGLUMINE 17.2% SOLN 250	255.0	250.0	192.93	0.77172	contrast iothalamate meglumine 17.2% solution 250	Pharmacy	Pharmacy	19.0	89.4736842105
*CULTURE  AEROBIC  ONLY	 CULTURE AEROBIC ONLY	306.0	1.0	164.0	164.0	culture aerobic only	Laboratory	Laboratory	290.0	96.8965517241
*HEMOGLOBIN    A1C  GLYCATED	 HEMOGLOBIN A1C GLYCATED	301.0	1.0	114.0	114.0	hemoglobin a1c glycated	Laboratory	Laboratory	924.0	79.2207792208
*IRON  BINDING  CAPACITY	 IRON BINDING CAPACITY	301.0	1.0	100.0	100.0	iron binding capacity	Laboratory	Laboratory	924.0	79.2207792208
*IRON  SERUM	 IRON SERUM	301.0	1.0	92.0	92.0	iron serum	Laboratory	Laboratory	924.0	79.2207792208
(MISCELLANEOUS TESTING)	 MISCELLANEOUS TESTING 	301.0	1.0	0.0	0.0	miscellaneous testing	Laboratory	Laboratory	924.0	79.2207792208
*PTT  PARTIAL  THROMBOPLASTIN    TIME	 PTT PARTIAL THROMBOPLASTIN TIME	305.0	1.0	96.0	96.0	partial_prothrombaplastin_time partial thromboplastin time	Laboratory	Laboratory	271.0	92.6199261993
*PTT PARTIAL THROMBOPLASTIN TIME	 PTT PARTIAL THROMBOPLASTIN TIME	306.0	1.0	96.0	96.0	partial_prothrombaplastin_time partial thromboplastin time	Laboratory	Laboratory	290.0	96.8965517241
*URINALYSIS AUTOMATED W/O MICRO	 URINALYSIS AUTOMATED W/O MICRO	307.0	1.0	44.0	44.0	urinalysis automated without miscroscopic	Laboratory	Laboratory	39.0	94.8717948718
.9% NACL 500ML	.9% NACL 500ML	250.0	1.0	3.63	3.63	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant	Pharmacy	2692.0	76.0401188707
.9% NACL 500ML	.9% NACL 500ML	258.0	1.0	3.63	2.89	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	636.0	1.0	31.8	31.8	0.9% sodium_chloride 0.9% solution 50_ml flex cont	Diluent / Flush / Irrigant	Pharmacy	781.0	77.8489116517
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	250.0	1.0	7.03	7.03	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	Pharmacy	2692.0	76.0401188707
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	251.0	1.0	16.5	16.5	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	Pharmacy	403.0	90.570719603
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	258.0	1.0	83.0	83.0	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	636.0	1.0	31.8	31.8	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	Pharmacy	781.0	77.8489116517
0.9% NACL 100ML	0.9% NACL 100ML	250.0	1.0	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant	Pharmacy	2692.0	76.0401188707
0.9% NACL 100ML	0.9% NACL 100ML	258.0	1.0	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
0.9% NACL 250ML	0.9% NACL 250ML	250.0	1.0	5.145	3.43	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant	Pharmacy	2692.0	76.0401188707
