descrip	cleaned_descrip	rev_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	amount_bins	Dominant CC1	Dominant CC2	# of descriptions	% Dominance1	% Dominance2
*ALBUMIN-SERUM	 ALBUMIN SERUM	300.0	1.0	63.0	63.0	albumin serum	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
*ALBUMIN SERUM	 ALBUMIN SERUM	301.0	1.0	74.0	74.0	albumin serum	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
*AST  SGOT	 AST SGOT	301.0	1.0	73.0	73.0	aspartate_aminotransferase_test serum_glutamic_oxaloacetic_transaminase	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
(BC 10144) CHLORIDE, OTHER	 BC 10144 CHLORIDE OTHER	301.0	1.0	139.0	139.0	bc 10144 chloride other	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
(BC 10144) SWEAT COLLECTION	 BC 10144 SWEAT COLLECTION	300.0	1.0	455.0	455.0	bc 10144 sweat collection	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
*CBC  AUTOMATED   WO DIFF	 CBC AUTOMATED WO DIFF	305.0	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
*CBC AUTOMATED WO DIFF	 CBC AUTOMATED WO DIFF	309.0	1.0	88.0	88.0	complete_blood_count automated without differential	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
*'CBC W AUTO DIFF	 CBC W AUTO DIFF	305.0	1.0	98.0	98.0	complete_blood_count with automated differential	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
*COMPREHENSIVE     METABOLIC   PANEL	 COMPREHENSIVE METABOLIC PANEL	301.0	1.0	283.0	283.0	comprehensive metabolic panel	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
(CONTRAST) BARIUM SULFATE	 CONTRAST BARIUM SULFATE	250.0	1.0	50.675	50.675	contrast barium sulfate	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
(CONTRAST) BARIUM SULFATE	 CONTRAST BARIUM SULFATE	255.0	1.0	45.48	45.48	contrast barium sulfate	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
(CONTRAST) GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	 CONTRAST GADOFOSVESET 0.25 MMOL/ML SOLN 10 ML	255.0	2.0	176.06	88.03	contrast gadofosveset 0.25 mmol/ml solution 10_ml	Pharmacy	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
(CONTRAST) IODIXANOL 320 MG IODINE/ML SOLN 50 M	 CONTRAST IODIXANOL 320 MG IODINE/ML SOLN 50 M	255.0	50.0	245.07	4.9014	contrast iodixanol 320_mg iodine/ml solution 50 m	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
(CONTRAST) IOHEXOL 300 MG/	 CONTRAST IOHEXOL 300 MG/	255.0	50.0	246.08	4.9216	contrast iohexol 300_mg/	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
(CONTRAST) IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	 CONTRAST IOHEXOL 300 MG/ML SOLN 50 ML BOTTLE	255.0	50.0	235.365	4.7072	contrast iohexol 300_mg/ml solution 50_ml bottle	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
(CONTRAST) IOHEXOL 350 MG/	 CONTRAST IOHEXOL 350 MG/	255.0	25.5	140.17	19.115	contrast iohexol 350_mg/	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
(CONTRAST) IOTHALAMATE MEG	 CONTRAST IOTHALAMATE MEG	255.0	250.0	202.72	0.81088	contrast iothalamate meg	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
(CONTRAST) IOTHALAMATE MEGLUMINE 17.2% SOLN 250	 CONTRAST IOTHALAMATE MEGLUMINE 17.2% SOLN 250	255.0	250.0	192.93	0.77172	contrast iothalamate meglumine 17.2% solution 250	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
*CULTURE  AEROBIC  ONLY	 CULTURE AEROBIC ONLY	306.0	1.0	164.0	164.0	culture aerobic only	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
*HEMOGLOBIN    A1C  GLYCATED	 HEMOGLOBIN A1C GLYCATED	301.0	1.0	114.0	114.0	hemoglobin a1c glycated	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
*IRON  BINDING  CAPACITY	 IRON BINDING CAPACITY	301.0	1.0	100.0	100.0	iron binding capacity	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
*IRON  SERUM	 IRON SERUM	301.0	1.0	92.0	92.0	iron serum	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
(MISCELLANEOUS TESTING)	 MISCELLANEOUS TESTING 	301.0	1.0	0.0	0.0	miscellaneous testing	Laboratory	(-10, 0]	Supply	Pharmacy	253.0	24.9011857708	21.3438735178
*PTT  PARTIAL  THROMBOPLASTIN    TIME	 PTT PARTIAL THROMBOPLASTIN TIME	305.0	1.0	96.0	96.0	partial_prothrombaplastin_time partial thromboplastin time	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
