DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS
1,ALARIS 8100 LVP MOD,alaris 8100 lvp module,Capital Equipment
2,ALARIS PCU PUMP,alaris pump_control_unit pump,Capital Equipment
3,ALARIS PUMP I,alaris pump i,Capital Equipment
4,ALARIS PUMP IV,alaris pump intravenous,Capital Equipment
5,ALARIS PUMP IV ARM,alaris pump intravenous arm,Capital Equipment
6,BED BARIATRIC,bed bariatric,Capital Equipment
7,BED BARIMAX RNTL,bed barimax rental,Capital Equipment
8,BED DOLPHIN MATTRESS KCI RNTL,bed dolphin mattress kinetic_concept_inc rental,Capital Equipment
9,BED LOW AIR LOSS,bed low air loss,Capital Equipment
10,DUAL INF PUMP-SIGNATURE GOLD,dual infusion pump signature gold,Capital Equipment
11,DUAL LINE PUMP,dual line pump,Capital Equipment
12,ENT FEED PUMP,enternal feed pump,Capital Equipment
13,ENTERAL FEEDING PUMP,enteral feeding pump,Capital Equipment
14,EQ BILILITE,equipment bililite,Capital Equipment
15,EQ MATTRESS LOW AIR LOSS EN,equipment mattress low air loss envision,Capital Equipment
16,EQ PUMP  KANGROO FEEDING,equipment pump kangaroo feeding,Capital Equipment
17,EQ PUMP  PCU ALARIS(BRAIN),equipment pump pump_control_unit alaris brain,Capital Equipment
18,EQ PUMP  SYRINGE,equipment pump syringe,Capital Equipment
19,EQ PUMP SYRINGE,equipment pump syringe,Capital Equipment
20,EQ SEQ COMPRESSOR,equipment sequence compressor,Capital Equipment
21,EQ-JOBST ATHROMBIC PUMP,equipment jobst athrombic pump,Capital Equipment
22,EQ-KANGAROO PUMP,equipment kangaroo pump,Capital Equipment
23,FEEDING PUMP,feeding pump,Capital Equipment
24,ASCORBIC ACID 250MG TAB,ascorbic acid 250_mg tablet,Pharmacy
25,H PUMP INFUSION DAILY,pump infusion daily,Capital Equipment
26,HB ALTERNATING SURFACE BED,alternating surface bed,Capital Equipment
27,HB COMPRESSION PUMP,compression pump,Capital Equipment
28,HB DUAL LINE INFUSION PUMP,dual line infusion pump,Capital Equipment
29,HB ENTERAL FEEDING PUMP,enteral feeding pump,Capital Equipment
30,HB EPUMP FEED ST 1000ML,enteral_feeding_pump feed sterile 1000_ml,Capital Equipment
31,HB IV INFUSION PUMP,intravenous_infusion pump,Capital Equipment
32,HB PCA PUMP,patient controlled analgesia pump,Capital Equipment
33,HB PUMP LVL 2,pump level 2,Capital Equipment
34,HB SYRINGE PUMP,syringe pump,Capital Equipment
35,HBC IV SINGLE LINE PUMP,hbc intravenous single line pump,Capital Equipment
36,HBC SYRINGE PUMP S/P,hbc syringe pump specification,Capital Equipment
37,HC COMPACT FEEDING PUMP,compact feeding pump,Capital Equipment
38,HC ICU CARDIAC EQUIPMENT CHG,intensive_care_unit cardiac equipment charge,Capital Equipment
39,HC ICU EQUIPMENT CHARGE,intensive_care_unit equipment charge,Capital Equipment
40,HC IV PUMP CONTROLLER W MODULES,intravenous pump controller with modules,Capital Equipment
41,HC PUMP IMED PC1,pump imed pc1,Capital Equipment
42,HC PUMP VAC WOUND CARE,pump vacuum wound care,Capital Equipment
43,HC TOTAL CARE 500 BED (500LB WEIGHT LIMIT),total care 500 bed 500lb weight limit,Capital Equipment
44,HOVER CHAIR SIZEWISE RNTL,hover chair sizewise rental,Capital Equipment
45,ACETYLCYSTEINE 200MG/ML 4ML,acetylcysteine 200_mg/ml 4_ml,Pharmacy
46,IV PUMP,intravenous pump,Capital Equipment
47,IV PUMP-PER LINE/PUMP CHARGE,intravenous pump per line/pump charge,Capital Equipment
48,LAL MATTRESS,low_air_loss mattress,Capital Equipment
49,LAL MATTRESS HR,low_air_loss mattress hour,Capital Equipment
50,MACRO PUMP VENT,macro pump ventilation,Capital Equipment
51,MEDEX SYRINGE PUMP,medex syringe pump,Capital Equipment
52,MEDFUSION SYRINGE PUMP CHARGE,medfusion syringe pump charge,Capital Equipment
53,MEDICATION INFUSION PUMP,medication infusion pump,Capital Equipment
54,NICU-MICROFUSION PUMP,neonatal_intensive_care_unit microfusion pump,Capital Equipment
55,P500 OVERLAY MATTRESS,p500 overlay mattress,Capital Equipment
56,PCA PUMP,patient_controlled_analgesia pump,Capital Equipment
57,PUMP  IV SINGL LINE,pump intravenous single line,Capital Equipment
58,PUMP & BAG-ENTERAL,pump & bag enteral,Capital Equipment
59,PUMP - PCA  EPIDURAL OR INFUSION,pump patient_controlled_analgesia epidural operation_room infusion,Capital Equipment
60,PUMP FEED DAIL,pump feed daily,Capital Equipment
61,PUMP INFUS CLAVE/Y-SIT,pump infusion clave/y sit,Capital Equipment
62,PUMP INFUSION (GLBL),pump infusion glbl,Capital Equipment
63,PUMP IV ARM,pump intravenous arm,Capital Equipment
64,PUMP IV BRAIN,pump intravenous brain,Capital Equipment
65,RNTL BED PLEXUS DAILY,rental bed plexus daily,Capital Equipment
66,RNTL OUTLOOK PUMP DAILY,rental outlook pump daily,Capital Equipment
67,SEQUENT COMPRESSION DEV,sequential compression device,Capital Equipment
68,SYRINGE PUMP,syringe pump,Capital Equipment
69,SYRINGE PUMP  S/P,syringe pump specification,Capital Equipment
70,SYRINGE PUMP - S/P,syringe pump specification,Capital Equipment
71,SYRINGE PUMP S/P,syringe pump specification,Capital Equipment
72,TC BAG FEEDING PUMP ZEVEX,bag feeding pump zevex,Capital Equipment
73,0.9% NACL 100ML,0.9% sodium_chloride 100_ml,Diluent / Flush / Irrigant
74,0.9% NACL 250ML,0.9% sodium_chloride 250_ml,Diluent / Flush / Irrigant
75,0.9% SODIUM CHLORIDE 0.9 % SOLN,0.9% sodium chloride 0.9% solution,Diluent / Flush / Irrigant
76,0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT,0.9% sodium chloride 0.9% solution 50_ml flex control,Diluent / Flush / Irrigant
77,20800207-PF NS 0.9% 0.9 % SOLN 10 ML VIAL,partial_fill normal_saline 0.9% 0.9% solution 10_ml vial,Diluent / Flush / Irrigant
78,20800462-D5W SOLP 100 ML BAG,dextrose_5%_in_water solution 100_ml bag,Diluent / Flush / Irrigant
79,25000523-STERILE WATER SOLN,sterile water solution,Diluent / Flush / Irrigant
80,5% DEXTROSE/WATER,5% dextrose/water,Diluent / Flush / Irrigant
81,D5 IN WATER 50 ML - D 5 W 50 ML,dextrose_5% in water 50_ml dextrose_5%_in_water 50_ml,Diluent / Flush / Irrigant
82,D5W,dextrose_5%_in_water,Diluent / Flush / Irrigant
83,D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant
84,D5W 1000ML,dextrose_5%_in_water 1000_ml,Diluent / Flush / Irrigant
85,D5W 100ML IVF,dextrose_5%_in_water 100_ml intravenous_fluid,Diluent / Flush / Irrigant
86,D5W 250ML,dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant
87,D5W 250ML INJ,dextrose_5%_in_water 250_ml injection,Diluent / Flush / Irrigant
88,D5W 25ML,dextrose_5%_in_water 25_ml,Diluent / Flush / Irrigant
89,D5W 50 ML,dextrose_5%_in_water 50_ml,Diluent / Flush / Irrigant
90,D5W 50 ML BAG,dextrose_5%_in_water 50_ml bag,Diluent / Flush / Irrigant
91,D5W 50ML IVF,dextrose_5%_in_water 50_ml intravenous_fluid,Diluent / Flush / Irrigant
92,DEX 5%/WATER 100ML,dextrose 5%/water 100_ml,Diluent / Flush / Irrigant
93,DEX 5%/WATER 250ML,dextrose 5%/water 250_ml,Diluent / Flush / Irrigant
94,DEX 5%/WATER 50ML,dextrose 5%/water 50_ml,Diluent / Flush / Irrigant
95,DEXT 5% WATER 100ML,dextrose 5% water 100_ml,Diluent / Flush / Irrigant
96,DEXTROSE 5 % SOLN,dextrose 5% solution,Diluent / Flush / Irrigant
97,DEXTROSE 5 % SOLN 50 ML FLEX CONT,dextrose 5% solution 50_ml flex control,Diluent / Flush / Irrigant
98,DEXTROSE 5%,dextrose 5%,Diluent / Flush / Irrigant
99,DEXTROSE 5% (D5W) SOLP,dextrose 5% dextrose_5%_in_water solution,Diluent / Flush / Irrigant
100,DEXTROSE 5% 100ML,dextrose 5% 100_ml,Diluent / Flush / Irrigant
101,DEXTROSE 5% 250ML,dextrose 5% 250_ml,Diluent / Flush / Irrigant
102,DEXTROSE 5% 5 % SOLN,dextrose 5% 5% solution,Diluent / Flush / Irrigant
103,DEXTROSE 5% 50ML,dextrose 5% 50_ml,Diluent / Flush / Irrigant
104,DEXTROSE 5% IN,dextrose 5% injection,Diluent / Flush / Irrigant
105,DEXTROSE 5% IN W,dextrose 5% in with,Diluent / Flush / Irrigant
106,DEXTROSE 5% IN WATER 100ML,dextrose 5% in water 100_ml,Diluent / Flush / Irrigant
107,DEXTROSE 5% IN WATER 250ML,dextrose 5% in water 250_ml,Diluent / Flush / Irrigant
108,BUN,blood_urea_nitrogen,Laboratory
109,DEXTROSE 5% IN WATER INJ,dextrose 5% in water injection,Diluent / Flush / Irrigant
110,DEXTROSE 5% SOLN,dextrose 5% solution,Diluent / Flush / Irrigant
111,DEXTROSE 5% SOLN 50 ML FLEX CONT,dextrose 5% solution 50_ml flex control,Diluent / Flush / Irrigant
112,DEXTROSE 5% SOLP,dextrose 5% solution,Diluent / Flush / Irrigant
114,DISP: 30.000 ML; 2 UNIT/ML; USED NDC QTY: 6.000 PCK OF 500.000 ML BAG HEPARIN  PORCINE (PF) 2 UNIT/ML IV SYRINGE,disposable 30.000_ml 2_units/ml_used ndc quantity 6 pack of 500.000_ml bag heparin porcine partial_fill 2_units/ml intravenous syringe,Diluent / Flush / Irrigant
117,HB 0.9% NACL 250ML 2B1322Q INJ,0.9% sodium_chloride 250_ml 2b1322q injection,Diluent / Flush / Irrigant
118,HB 5% DEXTROSE/WATER 250ML,5% dextrose/water 250_ml,Diluent / Flush / Irrigant
119,HB HEPARIN SALN 2U/ML 500ML FLUSH INJ,heparin saline 2_units/ml 500_ml flush injection,Diluent / Flush / Irrigant
120,HB NORMAL SALINE 10ML VL (NACL0,normal saline 10_ml vial sodium chloride,Diluent / Flush / Irrigant
113,DISP: 0.250 ML;1.000 UNIT/ML; USED NDC QTY: 10.000 PCK OF 10.000 ML VIAL HEPARIN (PORCINE) 1000 UNIT INJECTION HEPARIN (PORCINE) 1 000 UNIT/ML INJECTION SOLUTION,disposable 0.250_ml 1.000_unit/ml_used ndc quantity 10 pack of 10.000_ml vial heparin porcine 1000_units injection heparin porcine 1 000_units/ml injection solution,Diluent / Flush / Irrigant
115,DISP: 5.000 ML; 10 UNIT/ML; USED NDC QTY: 5.000 PCK OF 5.000 ML SYRINGE HEPARIN PORCINE (PF) 10 UNIT IV SYRINGE HEPARIN  PORCINE (PF) 10 UNIT/ML IV SYRINGE,disposable 5.000_ml 10_units/ml_used ndc quantity 5 pack of 5.000_ml syringe heparin porcine partial_fill 10_units intravenous syringe heparin porcine partial_fill 10_units/ml intravenous syringe,Diluent / Flush / Irrigant
