ORIG_DESC	NORM_DESC	CHRG_CLS	FTR1	FTR2	FTR3	FTR4
% SOLN 1 000 ML FLEX CONT	% solution 1 000_ml flex cont	Pharmacy	flex	000_ml	cont	soln
(P) ABG ANALYSIS & PUNCTURE	powder arterial_blood_gas analysis and_insert puncture	Nursing Services	puncture	powder	analysis	abg
(RES) NON-CHARGEABLE MED	res non chargeable medical	Supply	res	non	med	chargeable
*ALBUTEROL 0	albuterol 0	Pharmacy	albuterol			
*AMLODIPINE	amlodipine	Pharmacy	amlodipine			
*ASPERGILLUS AG BRONCH	aspergillus silver bronchial	Laboratory	bronchial	aspergillus	silver	
*ASPIRIN 81M	aspirin 81m	Pharmacy	81m	aspirin		
*AST SGOT	aspartate_aminotransferase_test serum_glutamic_oxaloacetic_transaminase	OR / Anesthesia / Recovery Room	aspartate_aminotransferase_test	serum_glutamic_oxaloacetic_transaminase		
*BACITRACIN	bacitracin	Pharmacy	bacitracin			
*BCRQNB:MAJ BCR/ABLQNT	bcrqnb majo bcr/ablqnt	Laboratory	bcrqnb	majo	ablqnt	bcr
*BCRQNB:MIN BCR/ABLQNT	bcrqnb minutes bcr/ablqnt	Laboratory	bcrqnb	ablqnt	minutes	bcr
*BENZOCAINE	benzocaine	Pharmacy	benzocaine			
*CBC W AUTO DIFF	complete_blood_count with automated differential	Laboratory	complete_blood_count	differential	automated	
*CEFAZOLIN 1GM INJ	cefazolin 1_gm injection	Pharmacy	1_gm	cefazolin	inj	
*CIPROFLOXAC	ciprofloxacin	Pharmacy	ciprofloxacin			
*COMPREHENSIVE  METABOLIC PANEL	comprehensive metabolic panel	Laboratory	comprehensive	panel	metabolic	
*COMPREHENSIVE METABOLIC PANEL	comprehensive metabolic panel	OR / Anesthesia / Recovery Room	comprehensive	panel	metabolic	
*CPK CREA TINE KINASE TOTAL	creatine_phosphokinase cream tine kinase total	Laboratory	total	cream		
*DIPHENHYD 1	diphenhydramine 1	Pharmacy	diphenhydramine			
*FLUCONAZOLE	fluconazole	Pharmacy	fluconazole			
*FUROSEMIDE	furosemide	Pharmacy	furosemide			
*HEMOGLOBIN	hemoglobin	OR / Anesthesia / Recovery Room	hemoglobin			
*HEMOGLOBIN  A1C GLYCATED	hemoglobin a1c glycated	OR / Anesthesia / Recovery Room	hemoglobin	glycated	a1c	
*HEMOGLOBIN A1C GLYCATED	hemoglobin a1c glycated	OR / Anesthesia / Recovery Room	hemoglobin	glycated	a1c	
*INSULIN RE	insulin re	Pharmacy	insulin			
*IRON BINDING CAPACITY	iron binding capacity	OR / Anesthesia / Recovery Room	capacity	binding	iron	
*IRON SERUM	iron serum	Laboratory	serum	iron		
*MTBPCZ:MTBDNA AMPPCR	mtbpcz mtbdna amppcr	Laboratory	mtbdna	mtbpcz	amppcr	
*MVI-ZINC SU	multivitamin zinc supply	Pharmacy	supply	zinc	multivitamin	
*NA CHLORIDE	sodium chloride	Diluent / Flush / Irrigant	chloride	sodium		
*OXYCODONE 5	oxycodone 5	Pharmacy	oxycodone			
*PTT PARTIAL THROMBOPLASTIN  TIME	partial_prothrombaplastin_time partial thromboplastin time	OR / Anesthesia / Recovery Room	partial	partial_prothrombaplastin_time	thromboplastin	time
*PTT PARTIAL THROMBOPLASTIN TIME	partial_prothrombaplastin_time partial thromboplastin time	Laboratory	partial	partial_prothrombaplastin_time	thromboplastin	time
*RANITIDINE	ranitidine	Pharmacy	ranitidine			
*SIMETHICO 4	simethicone 4	Pharmacy	simethicone			
*SIMETHICONE	simethicone	Pharmacy	simethicone			
*SMX-TMP 200	smx temp 200	Monitoring	temp	smx		
*SODIUM BICA	sodium bica	Laboratory	bica	sodium		
*TACROLIMUS	tacrolimus	OR / Anesthesia / Recovery Room	tacrolimus			
*TEARS NATUR	tears natural	Supply	tears	natural		
*TROPONIN QUANTITATIVE	troponin quantitative	Laboratory	quantitative	troponin		
*URINALYSIS AUTOMATED W/O MICRO	urinalysis automated without miscroscopic	OR / Anesthesia / Recovery Room	urinalysis	miscroscopic	without	automated
*VALGANCICLO	valganciclo	Laboratory	valganciclo			
*VENTILTION	ventilation	Respiratory Therapy	ventilation			
*VITAMIN E 2	vitamin e 2	Pharmacy	e	vitamin		
.014 BMW UNIVERSAL 190CM	bmw universal 190cm	Supply	universal	190cm	bmw	
.014 FORTE ES 185CM	forte es 185cm	Supply	forte	185cm	es	
0.0675 GM/ML SOLN	0.0675_gm/ml solution	Pharmacy	0.0675_gm/ml	soln		
0.2 MG/ML IVSL	0.2_mg/ml ivsl	Pharmacy	ivsl	0.2_mg/ml		
0.45% SOD CL W KCL 20MEQ 1000	0.45% sodium chloride with potassuim_chloride 20_meq 1000	Diluent / Flush / Irrigant	cl	20_meq	sodium	
0.475 MEQ/ML SOLN	0.475_meq/ml solution	Pharmacy	0.475_meq/ml	soln		
0.5 MG/ML SOLN	0.5_mg/ml solution	OR / Anesthesia / Recovery Room	0.5_mg/ml	soln		
0.9 % NACL 0.9 % SOLN 250 ML FLEX CONT	0.9% sodium_chloride 0.9% solution 250_ml flex cont	Diluent / Flush / Irrigant	250_ml	cont	soln	flex
0.9 % NACL 0.9 % SOLN 500 ML FLEX CONT	0.9% sodium_chloride 0.9% solution 500_ml flex cont	Diluent / Flush / Irrigant	500_ml	flex	cont	soln
0.9 NACL 500 CC	0.9 sodium_chloride 500 cubic_centimeters	Diluent / Flush / Irrigant	0.9	cc	nacl	
0.9% NACL 0.9 % SOLN	0.9% sodium_chloride 0.9% solution	OR / Anesthesia / Recovery Room	0.90%	soln	nacl	
0.9% NACL 100 ML	0.9% sodium_chloride 100_ml	OR / Anesthesia / Recovery Room	0.90%	100_ml	nacl	
0.9% NACL 100 ML (ADD-VANTAGE)	0.9% sodium_chloride 100_ml additional vantage	Diluent / Flush / Irrigant	100_ml	additional	nacl	
0.9% NACL 250ML	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant	0.90%	250_ml	NaCl	
0.9% NACL 250ML	0.9% sodium_chloride 250_ml	OR / Anesthesia / Recovery Room	0.90%	250_ml	NaCl	
0.9% NACL 50 ML	0.9% sodium_chloride 50_ml	OR / Anesthesia / Recovery Room	0.90%	50_ml	nacl	
0.9% NACL 50 ML (MINIBAG PLUS)	0.9% sodium_chloride 50_ml minibag plus	Diluent / Flush / Irrigant	50_ml	plus	nacl	
0.9% NS 1L BAG B/1L	0.9% normal_saline 1l bag b/1l	Diluent / Flush / Irrigant	bag	1l	ns	
(P) BASIC START	powder basic start	Supply	start	powder	basic	
*ACETAMINOPH	acetaminophen	Pharmacy	acetaminophen			
*ALBUMIN SERUM	albumin serum	OR / Anesthesia / Recovery Room	albumin	serum		
*ASSESSMENT	assessment	PT / OT / Speech Therapy	assessment			
*CBC AUTOMATED WO DIFF	complete_blood_count automated without differential	Laboratory	complete_blood_count	differential	without	automated
*CHROMB:CHROM ANALYSIS	chromb chromic analysis	Laboratory	chromic	analysis	chromb	
*CULTURE AEROBIC ONLY	culture aerobic only	Laboratory	aerobic	culture		
*CULTURE AEROBIC ONLY	culture aerobic only	OR / Anesthesia / Recovery Room	aerobic	culture		
*ERGOCALCIF	ergocalciferol	Pharmacy	ergocalciferol			
*FUNGITELL	fungitell	Laboratory	fungitell			
*GASES BLOOD W 02 SAT WO PULSE OX	gases blood with 2 saturation without pulse oximetry	Monitoring	sat	pulse	gases	without
*HEMATOCRIT	hematocrit	OR / Anesthesia / Recovery Room	hematocrit			
*INSULIN LIS	insulin lis	Pharmacy	insulin	lis		
*IRON BINDING CAPACITY	iron binding capacity	Laboratory	capacity	binding	iron	
*IRON SERUM	iron serum	OR / Anesthesia / Recovery Room	serum	iron		
*LANSOPRAZOL	lansoprazol	Laboratory	lansoprazol			
*LEGIONELLA CULTURE	legionella culture	Laboratory	culture	legionella		
*LIPID PANEL	lipid panel	OR / Anesthesia / Recovery Room	lipid	panel		
*MIDAZOLAM 5	midazolam 5	Pharmacy	midazolam			
*MTBPCZ:MTB CMPLX PCR	mtbpcz mtb cmplx pcr	Laboratory	mtb	pcr	mtbpcz	cmplx
*NIFEDIPINE	nifedipine	Pharmacy	nifedipine			
*PREDNISOLON	prednisolon	Laboratory	prednisolon			
*PTT PARTIAL THROMBOPLASTIN TIME	partial_prothrombaplastin_time partial thromboplastin time	OR / Anesthesia / Recovery Room	partial	partial_prothrombaplastin_time	thromboplastin	time
*SPIRONOLACT	spironolactone	Pharmacy	spironolactone			
*STRONGYLOIDES IGG AB	strongyloides immunoglobulin antibody	Laboratory	strongyloides	antibody	immunoglobulin	
*SWEET-EASE	sweet ease	Supply	sweet	ease		
*T922FB:BCR/ABL FISH	t922fb bcr/abl fish	Laboratory	fish	abl	bcr	t922fb
*URSODIOL 60	ursodiol 60	Laboratory	ursodiol			
*VITAMIN D 1	vitamin device 1	Supply	device	vitamin		
*WHITE PETRO	white petrolium	Laboratory	petrolium	white		
-	-	Laboratory	-			
.9% NACL 500ML	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant	nacl	500_ml	0.90%	
.9% NACL 500ML	.9% sodium_chloride 500_ml	OR / Anesthesia / Recovery Room	nacl	500_ml	0.90%	
.URINE MICROSCOPIC EXAM	.urine microscopic examination	Laboratory	exam	microscopic	.urine	
0.1 MG/ML SYRINGE	0.1_mg/ml syringe	Pharmacy	syringe	0.1_mg/ml		
0.2 MEQ/ML SOLN	0.2_meq/ml solution	Pharmacy	0.2_meq/ml	soln		
0.45% NACL 1000ML; 0.45% SOD CHLORIDE 1 000 ML BAG	0.45% sodium_chloride 1000_ml 0.45% sodium chloride 1 000_ml bag	Diluent / Flush / Irrigant	sodium	000_ml	bag	chloride
0.45% NACL 250ML; 0.45% SOD CHLORIDE 250 ML BAG	0.45% sodium_chloride 250_ml 0.45% sodium chloride 250_ml bag	Diluent / Flush / Irrigant	250_ml	sodium	chloride	bag
