DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4
6245,LACOSAMIDE 200 MG/20 ML SO,lacosamide 200_mg/20_ml solution,Pharmacy,ONLINE,19/09/2016,lacosamide,200_mg/20_ml,,
6159,(CONTRAST) IOHEXOL 350 MG/,contrast iohexol 350_mg/,Pharmacy,ONLINE,19/09/2016,iohexol,contrast,350_mg/,
3454,12671032 - GABAPENTIN CAPSULE 400MG,gabapentin capsule 400_mg,Pharmacy,RETROSPECTIVE,13/07/2016,capsule,400_mg,gabapentin,
993,LORAZEPAM 2 MG/ML INJ,lorazepam 2_mg/ml injection,Pharmacy,RETROSPECTIVE,12/07/2016,lorazepam,2_mg/ml,injection,
4279,SUT SOFSILK 2-0 PRE-CUT 12X18IN S195-CSC,suture sofsilk 2 0 pre cut 12x18 inches s195 csc,Supply,RETROSPECTIVE,13/07/2016,suture,inches,,
2856,AFB CULTURE ISO & PRESUMPT ID,acid-fast_bacillus culture isolate and presumptive identification,Laboratory,RETROSPECTIVE,13/07/2016,culture,,,
421,HCHG DAILY NO PER HOUR/HCHG DAILY NO PER HOUR,daily nitric_oxide per hour/hchg daily nitric_oxide per hour,Plan Benefit,RETROSPECTIVE,12/07/2016,hour,per,daily,nitric_oxide
1295,BEDSIDE GLU SUPPLIES ONLY,bedside glucose supplies only,Supply,RETROSPECTIVE,12/07/2016,supplies,bedside,glucose,
2057,SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG,sodium chloride 0.9% pgbk 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,50_ml,bag,pgbk,chloride
2311,BASE CHARGE,base charge,OR / Anesthesia / Recovery Room,RETROSPECTIVE,12/07/2016,charge,base,,
2232,FEE CASE CART,fee case cart,Supply,RETROSPECTIVE,12/07/2016,case,fee,cart,
1895,CIPROFLOXACIN 500 MG ORAL TAB,ciprofloxacin 500_mg oral tablet,Pharmacy,RETROSPECTIVE,12/07/2016,ciprofloxacin,oral,tab,500_mg
3015,HYDRALAZINE HCL UP TO 20 MG INJ,hydralazine hydrochloride up to 20_mg injection,Pharmacy,RETROSPECTIVE,13/07/2016,injection,20_mg,hcl,hydralazine
740,GLUCOSE POC NOVA,glucose point_of_care nova,Monitoring,RETROSPECTIVE,12/07/2016,POC,nova,glucose,
3035,IV INFUSION EAADDL HOUR,intravenous_infusion each additional hour,Nursing Services,RETROSPECTIVE,13/07/2016,eaaddl,intravenous,hour,infusion
1476,SET ADM L80 Y HEMA FLT,set admission l80 y hematocrit flt,Supply,RETROSPECTIVE,12/07/2016,admission,set,,
3631,66048010 - BLOOD SMEAR STATISTIC,blood smear statistic,Laboratory,RETROSPECTIVE,13/07/2016,smear,blood,statistic,
4845,CATH QUAD 5MM JSN X 5FRX120CM,catheter quad 5mm jsn x 5frx120cm,Supply,ONLINE,16/09/2016,cath,,,
891,ALBUTEROL 2.5 MG/0.5 ML,albuterol 2.5_mg/0.5_ml,Pharmacy,RETROSPECTIVE,12/07/2016,albuterol,2.5mg/0.5ml,,
1614,BLOOD GAS POTASSIUM,blood gas potassium,Monitoring,RETROSPECTIVE,12/07/2016,potassium,gas,blood,
872,PULSE OXIMETRY MULTIPL,pulse oximetry multiple,Monitoring,RETROSPECTIVE,12/07/2016,oximetry,multiple,pulse,
5107,FAT EMULSION 20% EMUL 500 ML BAG,fat emulsion 20% emulsion 500_ml bag,Pharmacy,ONLINE,16/09/2016,bag,500_ml,emul,
3743,ALBUMIN HUMAN 5% 250ML IV,albumin human 5% 250_ml intravenous,Pharmacy,RETROSPECTIVE,13/07/2016,250_ml,albumin,intravenous,human
85,D5W 100ML IVF,dextrose_5%_in_water 100_ml intravenous_fluid,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,100_ml,D5W,IVF,
3283,HB EVOKED POT POST TIBIAL NERVE,evoked potential post tibial nerve,Procedure,RETROSPECTIVE,13/07/2016,post,tibial,,
394,DORNASE ALPHA 1 MG/ML SOLN 2.5 ML AMPUL,dornase alpha 1_mg/ml solution 2.5_ml ampule,Plan Benefit,RETROSPECTIVE,12/07/2016,alpha,ampule,solution,dornase
6109,URINARY CATH KIT (SILI),urinary catheter kit silicone,Supply,ONLINE,16/09/2016,urinary,cath,sili,kit
3138,R&B STEFDOWN SEMI,room_and_board stepdown semi,Room and Board,RETROSPECTIVE,13/07/2016,stefdown,room_and_board,semi,
3536,14985722 - SOD CHLORIDE FOR INHALATION 7%,sodium_chloride for inhalation 7%,Diluent / Flush / Irrigant,RETROSPECTIVE,13/07/2016,7%,chloride,inhalation,sodium
392,DORNASE ALPHA,dornase alpha,Plan Benefit,RETROSPECTIVE,12/07/2016,alpha,dornase,,
3265,HB C MOTOR EVOKED UPPER & LOWER LIMBS,C motor evoked upper and lower limbs,Procedure,RETROSPECTIVE,13/07/2016,upper,limbs,&,lower
2076,SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG,sodium chloride 0.9% solution 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,50_ml,bag,chloride,solution
4949,CULTURE TYPING ID BY NUC ACID EACH,culture typing id by nucleic acid each,Laboratory,ONLINE,16/09/2016,culture,acid,id,typing
1153,AIRWAY MAINTENANCE/20,airway maintenance/20,Respiratory Therapy,RETROSPECTIVE,12/07/2016,maintenance/20,airway,,
2842,89299000 - BEDSIDE EVAL SWAL/1 SP THERAPI,bedside evaluation swallow/1 speech therapist,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,therapist,bedside,evaluation,
3425,11555222 - CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,Pharmacy,RETROSPECTIVE,13/07/2016,calcium,10_ml,per,gluconate
