Unnamed: 0,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4,Match,kind of voting
0,370,BOSENTAN 62.5 MG TABLET,bosentan 62.5_mg tablet,Plan Benefit,RETROSPECTIVE,12/07/2016,62.5_mg,bosentan,tablet,,Plan Benefit,0.97,Plan Benefit,0.739394045383,Plan Benefit,0.903171148367,Plan Benefit,"Jaro, Logistic, DeepNN",3,1,1,1,0.870855064583,62.5_mg,bosentan,tablet,,1,all agree
1,5562,ISOPROTERENOL IN NS (DUH EP LAB) 0.4 MG/100 ML SOLN,isoproterenol in normal_saline duh ep laboratory 0.4_mg/100_ml solution,Pharmacy,ONLINE,16/09/2016,laboratory,soln,ns,,Pharmacy,0.72,Pharmacy,0.71494103306,Pharmacy,0.956714296142,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.797218443067,laboratory,soln,ns,,1,all agree
2,5020,DISP: 0.360 ML; 15 MG/ML; USED NDC QTY: 1.000 PCK OF 473.000 ML BOTTLE RANITIDINE 15 MG/ML SYRUP,dispensed 0.360_ml 15_mg/ml used ndc quantity 1 pack of 473.000_ml bottle ranitidine 15_mg/ml syrup,Pharmacy,ONLINE,16/09/2016,ndc,disposable,bottle,quantity,Pharmacy,0.75,Pharmacy,0.971077164624,Pharmacy,0.999632402858,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.90690318916,used,ndc,dispensed,bottle,1,all agree
3,2834,86921000 - NO CHARGE OT SCREENING,no charge occupational_therapy screening,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,charge,occupational_therapy,screening,nitric_oxide,OR / Anesthesia / Recovery Room,0.7,PT / OT / Speech Therapy,0.737747681507,PT / OT / Speech Therapy,0.983899407062,PT / OT / Speech Therapy,"Logistic, DeepNN",2,0,1,1,0.573882362857,charge,ot,screening,,1,jaro disagree
4,1827,HC GLUCOSE QT BY METER FOR,glucose quantitative by meter for,Monitoring,RETROSPECTIVE,12/07/2016,quantitative,bay,meter,glucose,Monitoring,1.0,Monitoring,0.529384052737,Laboratory,0.920652859975,Monitoring,"Jaro, Logistic",2,1,1,0,0.509794684246,qt,meter,glucose,,1,deepnn disagree
5,5379,HC SELF-CARE GOAL STATUS,self care goal status,PT / OT / Speech Therapy,ONLINE,16/09/2016,status,self,goal,care,PT / OT / Speech Therapy,0.79,PT / OT / Speech Therapy,0.525256490353,PT / OT / Speech Therapy,0.977142593564,PT / OT / Speech Therapy,"Jaro, Logistic, DeepNN",3,1,1,1,0.764133027972,status,self,goal,care,1,all agree
6,6225,FOSPHENYTION 50 MG PE/ML I,fosphenytion 50_mg pe/ml i,Pharmacy,ONLINE,19/09/2016,fosphenytion,ml,50_mg,pe,Plan Benefit,0.72,Pharmacy,0.962726889986,Pharmacy,0.999797302833,Pharmacy,"Logistic, DeepNN",2,0,1,1,0.65417473094,fosphenytion,ml,50_mg,pe,1,jaro disagree
7,3970,HB GENTAMICIN 40MG/ML VIAL,gentamicin 40_mg/ml vial,Pharmacy,RETROSPECTIVE,13/07/2016,vial,40_mg/ml,gentamicin,,Pharmacy,0.88,Pharmacy,0.965279777635,Pharmacy,0.999942586698,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.948407454778,vial,40_mg/ml,gentamicin,,1,all agree
8,4608,HB - UMBILICAL CATHETERIZATION,umbilical catheterization,Procedure,ONLINE,01/09/2016,umbilical,catheterization,,,Monitoring,0.71,Supply,0.65387741438,Supply,0.971924453675,Supply,"Logistic, DeepNN",2,0,1,1,0.541933956018,umbilical,catheterization,,,0,jaro disagree
9,2749,63015000 - PH BLOOD,pH blood,Laboratory,RETROSPECTIVE,13/07/2016,past_history,blood,,,Laboratory,0.77,Laboratory,0.877013414544,Laboratory,0.998952657021,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.881988690522,ph,blood,,,1,all agree
10,2775,64944000 - YEAST ID,yeast identification,Laboratory,RETROSPECTIVE,13/07/2016,id,yeast,,,Laboratory,0.69,Laboratory,0.946946098993,Laboratory,0.997930960196,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.878292353063,identification,yeast,,,1,all agree
11,3514,14530592 - POTASSIUM CHLORIDE  PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,RETROSPECTIVE,13/07/2016,2_meq,potassium,chloride,per,Pharmacy,0.98,Pharmacy,0.819759979313,Pharmacy,0.995509652296,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.93175654387,2_meq,potassium,chloride,per,1,all agree
12,1546,TUBE SUCTION YANKAUER,tube suction yankauer,Supply,RETROSPECTIVE,12/07/2016,tube,yankauer,suction,,Supply,0.87,Supply,0.881540169306,Supply,0.998436251005,Supply,"Jaro, Logistic, DeepNN",3,1,1,1,0.916658806771,tube,yankauer,suction,,1,all agree
13,1573,ELECTRODE ECG FOAM  INF.,electrode electrocardiogram foam infusion,Supply,RETROSPECTIVE,12/07/2016,inf.,foam,electrode,electrocardiogram,Supply,0.87,Supply,0.905477824525,Supply,0.949875938571,Supply,"Jaro, Logistic, DeepNN",3,1,1,1,0.908451254365,foam,electrode,infusion,ecg,1,all agree
