,Unnamed: 0,Original Description,Normalized Description,Charge Class,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_SVM,Prob_SVM,Correct_SVM,Predicted_Class_Naive,Prob_Naive,Correct_Naive,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_Randomforest,Prob_Randomforest,Correct_Randomforest,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Predicted_Class_kNN,Prob_kNN,Correct_kNN,Predicted_Class_LDA,Prob_LDA,Correct_LDA,Predicted_Class_XGBoost,Prob_XGBoost,Correct_XGBoost,Voted Output,Confidence Score
0,1109,BASIC ANES SERVICES,basic anesthesia services,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,1.0,1,OR / Anesthesia / Recovery Room,0.78266366574,1,OR / Anesthesia / Recovery Room,0.920262545148,1,OR / Anesthesia / Recovery Room,0.76036646689,1,Room and Board,0.5,0,OR / Anesthesia / Recovery Room,0.98013911774,1,Room and Board,0.5,0,OR / Anesthesia / Recovery Room,0.999979248251,1,OR / Anesthesia / Recovery Room,0.999999403954,1,OR / Anesthesia / Recovery Room,0.920487206817
1,3449,HEPARIN FLUSH 10U/3ML PF SYRG,heparin flush 10_units/3_ml partial_fill syringe,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.79403970886,1,Diluent / Flush / Irrigant,0.999991420765,1,Diluent / Flush / Irrigant,0.790448377211,1,Diluent / Flush / Irrigant,0.7,1,Diluent / Flush / Irrigant,0.999766017593,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.999901008288,1,Diluent / Flush / Irrigant,0.847966611385,1,Diluent / Flush / Irrigant,0.903568127123
2,3142,NACL 0.9% 250ML,sodium_chloride 0.9% 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.884830667926,1,Diluent / Flush / Irrigant,0.956593613504,1,Diluent / Flush / Irrigant,0.815959666926,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.991943366384,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.997494298355,1,Diluent / Flush / Irrigant,0.98266094923,1,Diluent / Flush / Irrigant,0.958831395814
3,4339,HB EEG-NONINTRACRANIAL,electroencephalogram nonintracranial,Procedure,Procedure,1.0,1,Procedure,0.305547264491,1,Laboratory,0.990522446966,0,Laboratory,0.41311524149,0,Procedure,0.6,1,Laboratory,0.879443460545,0,Cardiology,0.4,0,Procedure,0.999820224137,1,Procedure,0.861185908318,1,Procedure,0.753310679389
4,5012,PATIENT EDUC EA 15 MINUTES,patient education 15 minutes,Education / Training,Education / Training,1.0,1,Education / Training,0.492768956131,1,PT / OT / Speech Therapy,0.989929375062,0,Education / Training,0.567181059073,1,Education / Training,1.0,1,Education / Training,0.957321635861,1,Education / Training,0.8,1,Education / Training,0.499997190849,1,Education / Training,0.99935311079,1,Education / Training,0.789577744088
5,1507,HB - SWALLOW EVALUATION (MOD GN),swallow evaluation mod gn,PT / OT / Speech Therapy,PT / OT / Speech Therapy,1.0,1,PT / OT / Speech Therapy,0.669158505169,1,PT / OT / Speech Therapy,0.818146832485,1,PT / OT / Speech Therapy,0.801949120641,1,Laboratory,0.4,0,PT / OT / Speech Therapy,0.863233091502,1,PT / OT / Speech Therapy,0.5,1,PT / OT / Speech Therapy,0.993684889428,1,PT / OT / Speech Therapy,0.896154284477,1,PT / OT / Speech Therapy,0.817790840463
6,1367,SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE,sodium chloride 0.9% solution 1 000_ml bottle,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.744132182352,1,Diluent / Flush / Irrigant,0.937005084786,1,Diluent / Flush / Irrigant,0.763849831363,1,Diluent / Flush / Irrigant,0.5,1,Diluent / Flush / Irrigant,0.917302153698,1,Diluent / Flush / Irrigant,0.8,1,Diluent / Flush / Irrigant,0.749807580992,1,Pharmacy,0.999256789684,0,Diluent / Flush / Irrigant,0.801512104149
7,1650,BLOOD GAS- VENOUS,blood_gas venous,Laboratory,Laboratory,1.0,1,Laboratory,0.543393458291,1,Monitoring,0.485763608738,0,Laboratory,0.63977201256,1,Laboratory,0.3,1,Laboratory,0.986142969579,1,Laboratory,0.5,1,Laboratory,0.999994767776,1,Monitoring,0.978179037571,0,Laboratory,0.709900458315
8,1275,SODIUM CHLORIDE INJ SODIUM CHLORIDE 0.9%,sodium chloride injection sodium chloride 0.9%,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.978436614929,1,Diluent / Flush / Irrigant,0.98929716841,1,Diluent / Flush / Irrigant,0.819214895331,1,Diluent / Flush / Irrigant,0.6,1,Diluent / Flush / Irrigant,0.99909654374,1,Diluent / Flush / Irrigant,0.9,1,Diluent / Flush / Irrigant,0.90829812887,1,Diluent / Flush / Irrigant,0.997933387756,1,Diluent / Flush / Irrigant,0.910252971004
9,4995,METOPROLOL 25MG TAB,metoprolol 25_mg tablet,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.981841037635,1,Pharmacy,0.999290021123,1,Pharmacy,0.926908588751,1,Pharmacy,1.0,1,Pharmacy,0.999302531149,1,Pharmacy,1.0,1,Pharmacy,0.999999971041,1,Pharmacy,0.999986171722,1,Pharmacy,0.989703146825
