,Unnamed: 0,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_SVM,Prob_SVM,Predicted_Class_Naive,Prob_Naive,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_Randomforest,Prob_Randomforest,Predicted_Class_DeepNN,Prob_DeepNN,Predicted_Class_kNN,Prob_kNN,Predicted_Class_LDA,Prob_LDA,Predicted_Class_XGBoost,Prob_XGBoost,Voted Output,Sum Correct,Correct_Jaro,Correct_SVM,Correct_Naive,Correct_Logistic_OvR,Correct_Randomforest,Correct_DeepNN,Correct_kNN,Correct_LDA,Correct_XGBoost,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4,Maximum_Pred,Maximum_Prob,Voting_Pred,Voting_Prob
0,0,5074,03600007 - RB 4 WEST ICU SURG,room_and_board 4 west intensive_care_unit surgical,Room and Board,RETROSPECTIVE,2016-07-13,west,surgical,intensive_care_unit,room_and_board,Room and Board,0.74,Room and Board,0.759509645308,Room and Board,0.999358287135,Room and Board,0.779105658119,Room and Board,0.8,Room and Board,0.999720617457,Room and Board,1.0,Room and Board,0.999989728367,Room and Board,1.0,Room and Board,9,1,1,1,1,1,1,1,1,1,0.897520437376,west,surg,icu,rb,Room and Board,1.0,Room and Board,0.897520437376
1,1,1854,AMINO ACIDS PLASMA,amino acids plasma,Laboratory,ONLINE,2016-09-16,acids,plasma,amino,,Pharmacy,0.78,Laboratory,0.81065512337,Laboratory,0.994961803293,Laboratory,0.755330325321,Laboratory,0.6,Laboratory,0.557270781419,Laboratory,0.9,Pharmacy,0.98690018844,Laboratory,0.792285442352,Pharmacy,2,1,0,0,0,0,0,0,1,0,0.19632224316,acids,plasma,amino,,Laboratory,0.994961803293,Laboratory,0.772929067965
2,2,517,HC CATEGORY 2 INITIAL 15 MIN,category 2 initial 15_minutes,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,category,initial,min,,OR / Anesthesia / Recovery Room,0.97,PT / OT / Speech Therapy,0.580695175754,OR / Anesthesia / Recovery Room,0.671281508609,PT / OT / Speech Therapy,0.581821755811,Laboratory,0.3,Plan Benefit,0.487006035936,OR / Anesthesia / Recovery Room,0.3,OR / Anesthesia / Recovery Room,0.559573269375,Pharmacy,0.842820286751,OR / Anesthesia / Recovery Room,4,1,0,1,0,0,0,1,1,0,0.277872753109,category,initial,15_minutes,,OR / Anesthesia / Recovery Room,0.97,OR / Anesthesia / Recovery Room,0.625213694496
3,3,706,HCHG CULTURE URINE HCHG CULTURE URINE,culture urine culture urine,Laboratory,ONLINE,2016-09-16,culture,urine,,,OR / Anesthesia / Recovery Room,0.83,Laboratory,0.9511616552,Laboratory,0.999997068209,Laboratory,0.944831863695,Laboratory,0.813095238095,Laboratory,0.975354755234,Laboratory,0.9,Laboratory,0.999996440017,OR / Anesthesia / Recovery Room,0.866607785225,OR / Anesthesia / Recovery Room,2,1,0,0,0,0,0,0,0,1,0.188511976136,culture,urine,,,Laboratory,0.999997068209,Laboratory,0.940633860064
4,4,2777,AEROGEN NEB TX INITIAL W/O,aerogen nebulizer treatment initial without,Respiratory Therapy,RETROSPECTIVE,2016-07-12,aerogen,initial,without,nebulizer,OR / Anesthesia / Recovery Room,0.69,Respiratory Therapy,0.883242733032,Respiratory Therapy,0.983133211175,Respiratory Therapy,0.764043241202,Respiratory Therapy,0.3,Respiratory Therapy,0.954972044926,Respiratory Therapy,1.0,Respiratory Therapy,0.999946265118,Respiratory Therapy,0.999977469444,OR / Anesthesia / Recovery Room,1,1,0,0,0,0,0,0,0,0,0.0766666666667,without,initial,neb,tx,Respiratory Therapy,1.0,Respiratory Therapy,0.860664370612
5,5,861,LEAD PACE NOVUS CAPSUREFIX 5076 52CM,lead pace novus capsurefix 5076 52cm,Implant,ONLINE,2016-09-16,lead,,,,Supply,0.7,Cardiology,0.446240221961,Supply,0.786180846947,Cardiology,0.377012961576,Supply,0.2,Cardiology,0.996625663361,Supply,0.4,Cardiology,0.948109563083,Cardiology,0.59047806263,Supply,4,1,0,1,0,1,0,1,0,0,0.231797871883,lead,,,,Cardiology,0.996625663361,Cardiology,0.671693294522
6,6,6408,HEP B VAC/DPAT/POLIO INJ 0.5ML HEP B VACCINE/DP A T POLIO 0.5 ML V,hepatitis b vaccine/dtap/polio injection 0.5 ml hepatitis b vaccine/dtap polio 0.5 ml v,Pharmacy,ONLINE,2016-10-06,vaccine,,,,Laboratory,0.69,Pharmacy,0.929100449168,Pharmacy,0.998338769933,Pharmacy,0.867816188582,Laboratory,0.4,Pharmacy,0.998786965752,Pharmacy,0.5,Pharmacy,0.999556723261,Pharmacy,0.999999642372,Laboratory,2,1,0,0,0,1,0,0,0,0,0.121111111111,ml,inj,vaccine,hepatitis,Pharmacy,0.999999642372,Pharmacy,0.899085534153
7,7,5167,13735212 - MIDAZOLAM PER 1MG INJ,midazolam per 1_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,1_mg,injection,midazolam,per,Pharmacy,0.87,Pharmacy,0.987976092374,Pharmacy,0.999898215896,Pharmacy,0.933889241091,Pharmacy,1.0,Pharmacy,0.999875754674,Pharmacy,1.0,Pharmacy,0.999999999847,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.976848811542,1_mg,inj,midazolam,per,Pharmacy,1.0,Pharmacy,0.976848811542
8,8,3428,NESIRITIDE 1.5 MG INJ,nesiritide 1.5_mg injection,Pharmacy,RETROSPECTIVE,2016-07-12,inj,1.5_mg,nesiritide,,Plan Benefit,0.79,Pharmacy,0.968057373584,Pharmacy,0.999231788945,Pharmacy,0.877767936137,Pharmacy,1.0,Pharmacy,0.9970786318,Pharmacy,1.0,Pharmacy,0.999999997449,Pharmacy,0.999996781349,Plan Benefit,1,1,0,0,0,0,0,0,0,0,0.0877777777778,inj,1.5_mg,nesiritide,,Pharmacy,1.0,Pharmacy,0.980266563658
9,9,649,HC SMEAR GRAM STAIN,smear gram stain,Laboratory,ONLINE,2016-09-16,smear,stain,gram,,Laboratory,0.96,Laboratory,0.874704550995,Laboratory,0.997306253295,Laboratory,0.875249936362,Laboratory,0.8,Laboratory,0.781288707553,Laboratory,1.0,Laboratory,0.999979240702,Laboratory,1.0,Laboratory,9,1,1,1,1,1,1,1,1,1,0.920947632101,smear,stain,gram,,Laboratory,1.0,Laboratory,0.920947632101
10,10,6206,DOCUSATE 50 MG/5 ML LIQD 2 ML SYRINGE,docusate 50_mg/5_ml liquid 2_ml syringe,Pharmacy,ONLINE,2016-09-16,syringe,2_ml,liqd,docusate,Pharmacy,0.77,Pharmacy,0.994316568553,Pharmacy,0.999752883609,Pharmacy,0.965775244569,Pharmacy,0.6,Pharmacy,0.999987344725,Pharmacy,0.8,Pharmacy,0.999999999958,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.903314671268,syringe,2_ml,liqd,docusate,Pharmacy,1.0,Pharmacy,0.903314671268
