ORIG_DESC,NORM_DESC_pred,CHRG_CLS_actual,CHRG_CLS_pred,CONF_SCORE,Match_Voted
(CONTRAST) IOHEXOL 350 MG/,contrast iohexol 350_mg/,Pharmacy,Pharmacy,0.97,1
*COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,Laboratory,Laboratory,1.0,1
*GLUCOSE METER TEST,glucose meter test,Monitoring,Monitoring,0.92,1
*URINALYSIS AUTOMATED W/O MICRO,urinalysis automated without miscroscopic,Laboratory,Laboratory,0.85,1
0.9% NACL 0.9% SOLN,0.9% sodium_chloride 0.9% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.86,1
0.9% SODIUM CHLORIDE 0.9 % SOLN,0.9% sodium chloride 0.9% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.95,1
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT,0.9% sodium chloride 0.9% solution 50_ml flex cont,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.85,1
03666001 - RB 4 WEST STEP DOWN ICU,room_and_board 4 west step down intensive_care_unit,Room and Board,Room and Board,0.85,1
06600001 - POC BS GLUCOSE 4W ICU (GS),point_of_care blood_sugar glucose 4w intensive_care_unit gast,Monitoring,Monitoring,0.87,1
11021032 - ACETAMINOPHEN SOLN 650MG,acetaminophen solution 650_mg,Pharmacy,Pharmacy,0.88,1
11555222 - CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,Pharmacy,Pharmacy,0.91,1
11625262 - INJ CEFEPIME PER 500MG MB+,injection cefepime per 500_mg mb and,Pharmacy,Pharmacy,0.9,1
12590212 - FUROSEMIDE  UP TO 20 MG  INJ,furosemide up to 20_mg injection,Pharmacy,Pharmacy,0.98,1
12671022 - GABAPENTIN CAPSULE 300MG,gabapentin capsule 300_mg,Pharmacy,Pharmacy,0.96,1
13294212 - LEVOFLOXACIN 750MG TAB,levofloxacin 750_mg tablet,Pharmacy,Pharmacy,0.87,1
13735212 - MIDAZOLAM PER 1MG INJ,midazolam per 1_mg injection,Pharmacy,Pharmacy,0.87,1
14530592 - POTASSIUM CHLORIDE  PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,Pharmacy,0.98,1
14595302 - PREDNISONE PER 5MG TAB (10MG),prednisone per 5_mg tablet 10_mg,Pharmacy,Pharmacy,0.96,1
14630052 - POTASSIUM CHLORIDE PWD 20MEQ,potassium chloride powder 20_meq,Pharmacy,Pharmacy,0.9,1
25 MM BONE SCREWS,25 mm bone screws,Implant,Implant,0.9,1
27125000 - CT CHEST W/O CONTRAST,computed_tomography chest without contrast,Radiology,Radiology,0.85,1
2D ECHO W/DOPPLER + COLOR FW,2 echocardiogram w doppler and color fw,Radiology,Cardiology,0.91,0
46130010 - POC BS GLUCOSE 5S,point_of_care blood_sugar glucose 5s,Monitoring,Monitoring,0.86,1
5 MG SILDENAFIL,5_mg sildenafil,Plan Benefit,Plan Benefit,0.87,1
58836000 - RESPIRATORY ASSESSMENT FOLLOW,respiratory assessment follow,Respiratory Therapy,Respiratory Therapy,0.92,1
58858000 - VENTILATOR-ADULT SUBSEQ DAY,ventilator adult subsequent day,Respiratory Therapy,Respiratory Therapy,0.88,1
58872000 - PATIENT EDUCATION/15 MINUTES,patient education/15 minutes,Education / Training,Education / Training,0.92,1
58889000 - OXYGEN PER HOUR,oxygen per hour,Respiratory Therapy,Respiratory Therapy,0.93,1
59650000 - .9% NACL 500ML,0.9% sodium_chloride 500_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
60615000 - GLUCOSE VL STATISTIC,glucose vial statistic,Laboratory,Laboratory,0.9,1
62002000 - BLOOD GROUP D RH,blood group daily rhesus,Laboratory,Laboratory,0.87,1
63018004 - PHOSPHORUS,63018004 phosphorus,Laboratory,Laboratory,0.85,1
63527001 - BASIC METABOLIC PANEL,basic metabolic panel,Laboratory,Laboratory,0.9,1
64768100 - ACUTE HEPATITIS PANEL,acute hepatitis panel,Laboratory,Laboratory,0.9,1
65002003 - HEMOGLOBIN,65002003 hemoglobin,Laboratory,Laboratory,0.85,1
66046000 - O2 SATURATION DIRECT,oxygen saturation direct,Monitoring,Monitoring,0.9,1
69892001 - VANCOMYCIN,69892001 vancomycin,Pharmacy,Laboratory,0.85,0
77019537 - BLNKT LWR BDY WARM,blanket lower body warm,Supply,Supply,0.88,1
77066025 - FEE CASE CART,fee case cart,Supply,Supply,0.86,1
77074836 - DRESSING FOAM 8X8 MEPILEX AG,dressing foam 8x8 mepilex ag,Supply,Supply,0.95,1
86401005 - WALKING MOVING AROUND,walking moving around,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.98,1
86452000 - OT MISSED TREATMENT LIM TIME,occupational_therapy missed treatment lim time,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.96,1
86611002 - SELF CARE,self care,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.94,1
86648000 - INDIVIDUAL ACTIVITY PER 15 MIN,individual activity per 15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.92,1
86810003 - SELF CARE,self care,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.96,1
89315002 - VOICE GOAL 1-20%,voice goal 1 20%,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.9,1
89319002 - SWALLOW D/C 1-20%,swallow discontinue 1 20%,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.87,1
AB SCREEN,antibody screen,Laboratory,Laboratory,0.87,1
ABG DRAW BY RT,arterial_blood_gas draw by respiratory_therapy,Nursing Services,Nursing Services,0.88,1
ACETAMINOPHEN 325 MG TAB,acetaminophen 325_mg tablet,Pharmacy,Pharmacy,1.0,1
ACETAMINOPHEN 325 MG TABLET,acetaminophen 325_mg tablet,Pharmacy,Pharmacy,0.96,1
ACETAZOLAMIDE SODIUM 500 MG-,acetazolamide sodium 500_mg,Pharmacy,Pharmacy,0.85,1
ALARIS PUMP IV,alaris pump intravenous,Capital Equipment,Capital Equipment,0.97,1
ALARIS PUMP IV ARM,alaris pump intravenous arm,Capital Equipment,Capital Equipment,0.91,1
ALBUMIN 25 % SOLP,albumin 25% solution,Pharmacy,Pharmacy,0.98,1
ALBUMIN 5% 250ML 12.5GM IN,albumin 5% 250_ml 12.5_gm inhibition,Pharmacy,Pharmacy,0.97,1
ALBUMIN HUMAN 5% 500 ML IV,albumin human 5% 500_ml intravenous,Pharmacy,Pharmacy,0.97,1
ALBUMIN HUMAN 5% SOLN,albumin human 5% solution,Pharmacy,Pharmacy,0.98,1
ALBUMIN SERUM PLASMA/WHOLE,albumin serum plasma/whole,Laboratory,Laboratory,0.94,1
ALBUTEROL 2.5 MG/0.5 ML,albuterol 2.5_mg/0.5_ml,Pharmacy,Pharmacy,0.85,1
ALBUTEROL INH (2.5 MG/3ML),albuterol inhaled 2.5_mg/3_ml,Pharmacy,Pharmacy,0.96,1
ALTEPLASE CATHFLO.1 MG-2MG INJ,alteplase cathflo.1_mg 2_mg injection,Pharmacy,Pharmacy,0.86,1
AMINOCAPROIC ACID 5GM/20ML INJ,aminocaproic acid 5_gm/20_ml injection,Pharmacy,Pharmacy,0.88,1
AMYLASE,amylase,Laboratory,Laboratory,0.93,1
ANCHOR/SCRW LEVEL 4,anchor/scrw level 4,Implant,Implant,0.96,1
ANES ANALYS FASTING BLOOD,anesthesia analysis fasting blood,Laboratory,Laboratory,0.87,1
ANES ANALYSIS CALCIUM,anesthesia analysis calcium,Laboratory,Laboratory,0.85,1
ANES LV 3 EA ADD MIN,anesthesia lv 3 each additional minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.85,1
ANESTH PER MINUTE,anesthesia per minute,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.89,1
ANESTHESIA EA MIN,anesthesia each minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.89,1
ANESTHESIA LEVEL 1,anesthesia level 1,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.96,1
ANESTHESIA PER 30MIN > 90MIN HCHG ANESTHESIA PER 30MIN > 90MIN,anesthesia per 30min greater_than 90min minutes anesthesia per 30min greater_than 90min,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.92,1
AQUAPHOR OINTMENT 14OZ 1 TUB E,aquaphor ointment 14oz 1 tube e,Supply,Supply,0.88,1
ARTERIAL PUNCTURE WITH KIT,arterial puncture w kit,Supply,Nursing Services,0.9,0
ASPIRIN 81 MG CHEW TAB,aspirin 81_mg chew tablet,Pharmacy,Pharmacy,0.96,1
ASSAY OF CALCIUM IONIZED,assay of calcium ionized,Laboratory,Laboratory,0.89,1
ASSAY OF SERUM SODIUM,assay of serum sodium,Laboratory,Laboratory,0.9,1
ATORVASTATIN 40MG TABLET,atorvastatin 40_mg tablet,Pharmacy,Pharmacy,0.86,1
