ORIG_DESC,NORM_DESC_pred,CHRG_CLS_actual,CHRG_CLS_pred,CONF_SCORE,Match_Voted
(CONTRAST) IOHEXOL 350 MG/,contrast iohexol 350_mg/,Pharmacy,Pharmacy,0.97,1
*ALBUMIN SERUM,albumin serum,Laboratory,Laboratory,0.9209,1
*COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,Laboratory,Laboratory,1.0,1
*GLUCOSE METER TEST,glucose meter test,Monitoring,Monitoring,0.92,1
*URINALYSIS AUTOMATED W/O MICRO,urinalysis automated without miscroscopic,Laboratory,Laboratory,0.91,1
0.9% NACL 0.9% SOLN,0.9% sodium_chloride 0.9% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.91,1
0.9% SODIUM CHLORIDE 0.9 % SOLN,0.9% sodium chloride 0.9% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.95,1
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT,0.9% sodium chloride 0.9% solution 50_ml flex cont,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.91,1
007T OBSERVATION,007t observation,Room and Board,Supply,0.3,0
01621001 - RB 6E STEP DOWN ICU,room_and_board 6e step down intensive_care_unit,Room and Board,Room and Board,0.895,1
03666001 - RB 4 WEST STEP DOWN ICU,room_and_board 4 west step down intensive_care_unit,Room and Board,Room and Board,0.91,1
06600001 - POC BS GLUCOSE 4W ICU (GS),point_of_care blood_sugar glucose 4w intensive_care_unit gast,Monitoring,Monitoring,0.91,1
11021032 - ACETAMINOPHEN SOLN 650MG,acetaminophen solution 650_mg,Pharmacy,Pharmacy,0.91,1
11041282 - ALTEPLASE 1MG  INJ,alteplase 1_mg injection,Pharmacy,Pharmacy,0.9004,1
11065262 - INFUSION  ALBUMIN 25% 50 ML,infusion albumin 25% 50_ml,Pharmacy,Pharmacy,0.7764,1
11475062 - BUDESONIDE 0.5MG PER 2ML NEB,budesonide 0.5_mg per 2_ml nebulizer,Pharmacy,Pharmacy,0.8695,1
11482222 - BUMETANIDE 0.25MG/ML 10ML,bumetanide 0.25_mg/ml 10_ml,Pharmacy,Pharmacy,0.9003,1
11555222 - CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,Pharmacy,Pharmacy,0.91,1
11625262 - INJ CEFEPIME PER 500MG MB+,injection cefepime per 500_mg mb and,Pharmacy,Pharmacy,0.9,1
12432212 - BASE FLUID *QS* INJ,base fluid quantity_sufficient injection,Diluent / Flush / Irrigant,Pharmacy,0.26,0
12455600 - VANCOMYCIN 50MG PER 1ML ORAL,vancomycin 50_mg per 1_ml oral,Pharmacy,Pharmacy,0.9096,1
12590212 - FUROSEMIDE  UP TO 20 MG  INJ,furosemide up to 20_mg injection,Pharmacy,Pharmacy,0.98,1
12671022 - GABAPENTIN CAPSULE 300MG,gabapentin capsule 300_mg,Pharmacy,Pharmacy,0.96,1
12671082 - GABAPENTIN SOLN 50MG/1ML,gabapentin solution 50_mg/1_ml,Pharmacy,Pharmacy,0.9256,1
12858252 - HYDROCODONE/ACETAMIN 5/325 TAB,hydrocodone/acetamin 5/325 tablet,Pharmacy,Pharmacy,0.9025,1
12882012 - HYDROPHOR OINTMENT 454GM,hydrophor ointment 454_gm,Pharmacy,Pharmacy,0.5902,1
13250212 - LIDOCAINE 2% TOPICAL JELLY 5ML,lidocaine 2% topical jelly 5_ml,Pharmacy,Pharmacy,0.8672,1
13294212 - LEVOFLOXACIN 750MG TAB,levofloxacin 750_mg tablet,Pharmacy,Pharmacy,0.91,1
13510592 - MGSO4 PER 500MG (100ML),13510592_mgso4 per 500_mg 100_ml,Pharmacy,Pharmacy,0.8959,1
13735212 - MIDAZOLAM PER 1MG INJ,midazolam per 1_mg injection,Pharmacy,Pharmacy,0.91,1
13754012 - MONTELUKAST SODIUM TABLET 10MG,montelukast sodium tablet 10_mg,Pharmacy,Pharmacy,0.8804,1
13802212 - MUPIROCIN 2% OINT 22GM,mupirocin 2% ointment 22_gm,Pharmacy,Pharmacy,0.7625,1
14113252 - ONDANSETRON HCL  PER 1MG  INJ,ondansetron hcl per 1_mg injection,Pharmacy,Pharmacy,0.9032,1
14151192 - OXYCODONE HCL TABLET 5MG,oxycodone hcl tablet 5_mg,Pharmacy,Pharmacy,0.9339,1
14382121 - PHARMACY TDM COMP CONSULT,pharmacy tdm component consultation,Pharmacy,Professional Fee,0.6688,0
14530592 - POTASSIUM CHLORIDE  PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,Pharmacy,0.98,1
14595302 - PREDNISONE PER 5MG TAB (10MG),prednisone per 5_mg tablet 10_mg,Pharmacy,Pharmacy,0.96,1
14630052 - POTASSIUM CHLORIDE PWD 20MEQ,potassium chloride powder 20_meq,Pharmacy,Pharmacy,0.9,1
14668212 - PROPOFOL PER 10MG/ 5ML SYR INJ,propofol per 10_mg/5_ml syringe injection,Pharmacy,Pharmacy,0.9064,1
14668262 - PROPOFOL PER 10MG/100ML INJ,propofol per 10_mg/100_ml injection,Pharmacy,Pharmacy,0.9201,1
14987242 - SODIUM CITRATE SOLN 4% 3ML,sodium citrate solution 4% 3_ml,Pharmacy,Pharmacy,0.6234,1
15601252 - VANOMYCIN NEBS FOR INH,vancomycin nebs for inhaled,Pharmacy,Pharmacy,0.6828,1
15610212 - VASOPRESSIN 20U/ML 1ML,vasopressin 20_units/ml 1_ml,Pharmacy,Pharmacy,0.921,1
20 GA ARTERIAL LINE CATHETER,20 ga arterial line catheter,Supply,Supply,0.8566,1
25 MM BONE SCREWS,25 mm bone screws,Implant,Implant,0.9,1
25000522-DORNASE ALPHA 1 MG/ML SOLN 2.5 ML PLAS CONT,dornase alpha 1_mg/ml solution 2.5_ml plastic container,Plan Benefit,Plan Benefit,0.9348,1
27054009 - FLUORO GDE CVAD ACCESS/REM,fluroscopy gde cvad access/rem,Radiology,Radiology,0.2925,1
