Original Description,Normalized Description,Changes,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_DLevenshtein,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
*ALBUMIN SERUM,albumin serum,albumin:albumin||serum:serum||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.96,Laboratory,0.993692667548,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.920923166887,albumin,serum,,
007T OBSERVATION,007t observation,007t:007t||observation:observation||,Supply,0.73,Supply,0.47,Laboratory,0.76,Room and Board,0.902662252555,Supply,"Jaro, DLevenshtein",2,1,1,0,0,0.3,007t,observation,,
01621001 - RB 6E STEP DOWN ICU,room_and_board 6e step down intensive_care_unit,rb:room_and_board||6e:6e||step:step||down:down||icu:intensive_care_unit||,Room and Board,0.74,Room and Board,0.88,Room and Board,0.96,Room and Board,0.999907959364,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.894976989841,step,icu,rb,6e
11041282 - ALTEPLASE 1MG  INJ,alteplase 1_mg injection,alteplase:alteplase||1mg:1_mg||inj:injection||,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.952335104604,Pharmacy,0.999346777302,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.900420470477,1_mg,inj,alteplase,
11065262 - INFUSION  ALBUMIN 25% 50 ML,infusion albumin 25% 50_ml,infusion:infusion||albumin:albumin||25%:25%||50_ml:50_ml||,Diluent / Flush / Irrigant,0.69,Pharmacy,0.43,Pharmacy,0.91202494579,Pharmacy,0.987203512003,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.776409485931,50_ml,albumin,infusion,25%
11475062 - BUDESONIDE 0.5MG PER 2ML NEB,budesonide 0.5_mg per 2_ml nebulizer,budesonide:budesonide||0.5mg:0.5_mg||per:per||2ml:2_ml||neb:nebulizer||,Pharmacy,0.71,Pharmacy,0.81,Pharmacy,0.96,Pharmacy,0.997863922761,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.86946598069,budesonide,0.5_mg,2_ml,neb
11482222 - BUMETANIDE 0.25MG/ML 10ML,bumetanide 0.25_mg/ml 10_ml,bumetanide:bumetanide||0.25mg:0.25_mg||ml:ml||10ml:10_ml||,Pharmacy,0.75,Pharmacy,0.88,Pharmacy,0.972053496447,Pharmacy,0.999334875298,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.900347092936,10_ml,bumetanide,0.25_mg/ml,
12432212 - BASE FLUID *QS* INJ,base fluid quantity_sufficient injection,base:base||fluid:fluid||qs:quantity_sufficient||inj:injection||,Pharmacy,0.66,Pharmacy,0.38,Supply,0.341982494339,Diluent / Flush / Irrigant,0.522070625703,Pharmacy,"Jaro, DLevenshtein",2,1,1,0,0,0.26,inj,base,fluid,quantity_sufficient
12455600 - VANCOMYCIN 50MG PER 1ML ORAL,vancomycin 50_mg per 1_ml oral,vancomycin:vancomycin||50mg:50_mg||per:per||1ml:1_ml||oral:oral||,Laboratory,0.77,Pharmacy,0.81,Pharmacy,0.918851607545,Pharmacy,0.999921359384,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.909590988977,1_ml,50_mg,oral,vancomycin
12671082 - GABAPENTIN SOLN 50MG/1ML,gabapentin solution 50_mg/1_ml,gabapentin:gabapentin||soln:solution||50mg:50_mg||1ml:1_ml||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.972452347409,Pharmacy,0.999963505834,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.925603963311,50_mg/1_ml,soln,gabapentin,
